,,"EU Digital Operational Resilience Act (DORA) Articles 5 to 45
to CRI Profile ver. 2.1 Mapping","EU Digital Operational Resilience Act (DORA) Articles 5 to 45
to CRI Profile ver. 2.1 Mapping",,,,,,,,,
Chapter II: ICT risk management,Section I Article 11,DORA-11-06,"6. As part of their comprehensive ICT risk management, financial entities shall:
(a) test the ICT business continuity plans and the ICT response and recovery plans in relation to ICT systems supporting all functions at least yearly, as well as in the event of any substantive changes to ICT systems supporting critical or important functions;
(b) test the crisis communication plans established in accordance with Article 14. For the purposes of the first subparagraph, point (a), financial entities, other than microenterprises, shall include in the testing plans scenarios of cyber-attacks and switchovers between the primary ICT infrastructure and the redundant capacity, backups and redundant facilities necessary to meet the obligations set out in Article 12. Financial entities shall regularly review their ICT business continuity policy and ICT response and recovery plans, taking into account the results of tests carried out in accordance with the first subparagraph and recommendations stemming from audit checks or supervisory reviews.",Semantic,Subset of,7,9,"Section I Article 11 (Statement 6) specifically mentions that financial entities should annually test ICT business continuity and response and recovery plans, including cyber-attack scenarios and switchovers to redundant systems, and to regularly review these plans based on test results and audit or supervisory feedback, whereas the CRI Profile addresses a broader testing program for resilience, incident management, and disaster recovery without specifying the exact frequency of testing or the inclusion of switchovers in the testing plans.","ID.IM-03.01: A formal process is in place to improve protection controls and processes by integrating recommendations, findings, and lessons learned from exercises, testing, audits, assessments, and incidents.",IDENTIFY / Improvement / Improvements from Lessons Learned,ID.IM-03.01,066.152
Chapter II: ICT risk management,Section I Article 11,DORA-11-06,"6. As part of their comprehensive ICT risk management, financial entities shall:
(a) test the ICT business continuity plans and the ICT response and recovery plans in relation to ICT systems supporting all functions at least yearly, as well as in the event of any substantive changes to ICT systems supporting critical or important functions;
(b) test the crisis communication plans established in accordance with Article 14. For the purposes of the first subparagraph, point (a), financial entities, other than microenterprises, shall include in the testing plans scenarios of cyber-attacks and switchovers between the primary ICT infrastructure and the redundant capacity, backups and redundant facilities necessary to meet the obligations set out in Article 12. Financial entities shall regularly review their ICT business continuity policy and ICT response and recovery plans, taking into account the results of tests carried out in accordance with the first subparagraph and recommendations stemming from audit checks or supervisory reviews.",Semantic,Superset of,9,9,"Section I Article 11 (Statement 6) specifically mentions that financial entities should annually test ICT business continuity and response and recovery plans, including cyber-attack scenarios and switchovers to redundant systems, and to regularly review these plans based on test results and audit or supervisory feedback, whereas the CRI Profile addresses a broader testing program for resilience, incident management, and disaster recovery without specifying the exact frequency of testing or the inclusion of switchovers in the testing plans.","ID.IM-04.08: The organization regularly reviews response strategy, incident management plans, recovery plans, and associated tests and exercises and updates them, as necessary, based on:
(1) Lessons learned from incidents that have occurred (both internal and external to the organization);
(2) Current cyber threat intelligence (both internal and external sources);
(3) Recent and wide-scale cyber attack scenarios;
(4) Operationally and technically plausible future cyber attacks;
(5) Organizational or technical environment changes; and,
(6) New technological developments.",<div>IDENTIFY / Improvement / Plans Affecting Operations</div>,ID.IM-04.08,067.161
Chapter II: ICT risk management,Section I Article 11,DORA-11-06,"6. As part of their comprehensive ICT risk management, financial entities shall:
(a) test the ICT business continuity plans and the ICT response and recovery plans in relation to ICT systems supporting all functions at least yearly, as well as in the event of any substantive changes to ICT systems supporting critical or important functions;
(b) test the crisis communication plans established in accordance with Article 14. For the purposes of the first subparagraph, point (a), financial entities, other than microenterprises, shall include in the testing plans scenarios of cyber-attacks and switchovers between the primary ICT infrastructure and the redundant capacity, backups and redundant facilities necessary to meet the obligations set out in Article 12. Financial entities shall regularly review their ICT business continuity policy and ICT response and recovery plans, taking into account the results of tests carried out in accordance with the first subparagraph and recommendations stemming from audit checks or supervisory reviews.",Semantic,Superset of,9,9,"Section I Article 11 (Statement 6) specifically mentions that financial entities should annually test ICT business continuity and response and recovery plans, including cyber-attack scenarios and switchovers to redundant systems, and to regularly review these plans based on test results and audit or supervisory feedback, whereas the CRI Profile addresses a broader testing program for resilience, incident management, and disaster recovery without specifying the exact frequency of testing or the inclusion of switchovers in the testing plans.","RS.CO-02.03: The organization maintains and regularly tests incident response communication procedures, with associated contact lists, call trees, and automatic notifications, to quickly coordinate and communicate with internal and external stakeholders during or following an incident.",RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Notification,RS.CO-02.03,124.271
Chapter II: ICT risk management,Section I Article 11,DORA-11-06,"6. As part of their comprehensive ICT risk management, financial entities shall:
(a) test the ICT business continuity plans and the ICT response and recovery plans in relation to ICT systems supporting all functions at least yearly, as well as in the event of any substantive changes to ICT systems supporting critical or important functions;
(b) test the crisis communication plans established in accordance with Article 14. For the purposes of the first subparagraph, point (a), financial entities, other than microenterprises, shall include in the testing plans scenarios of cyber-attacks and switchovers between the primary ICT infrastructure and the redundant capacity, backups and redundant facilities necessary to meet the obligations set out in Article 12. Financial entities shall regularly review their ICT business continuity policy and ICT response and recovery plans, taking into account the results of tests carried out in accordance with the first subparagraph and recommendations stemming from audit checks or supervisory reviews.",Semantic,Intersects with,8,9,"Section I Article 11 (Statement 6) specifically mentions that financial entities should annually test ICT business continuity and response and recovery plans, including cyber-attack scenarios and switchovers to redundant systems, and to regularly review these plans based on test results and audit or supervisory feedback, whereas the CRI Profile addresses a broader testing program for resilience, incident management, and disaster recovery without specifying the exact frequency of testing or the inclusion of switchovers in the testing plans.","EX.CN-02.03: Contracts with suppliers address, as relevant to the product or service, the supplier's obligation to maintain and regularly test a business continuity program and disaster recovery capability the meets the defined resilience requirements of the organization.",EXTEND / Third-Party Contracts and Agreements / Contract Cybersecurity-Related Requirements,EX.CN-02.03,148.304
Chapter II: ICT risk management,Section I Article 11,DORA-11-07,"7. Financial entities, other than microenterprises, shall have a crisis management function, which, in the event of activation of their ICT business continuity plans or ICT response and recovery plans, shall, inter alia, set out clear procedures to manage internal and external crisis communications in accordance with Article 14.",Semantic,Intersects with,8,10,No Gaps Identified,"GV.RM-09.01: The organization has an enterprise-wide resilience strategy and program, including architecture, cyber resilience, business continuity, disaster recovery, and incident response, which support its mission, stakeholder obligations, critical infrastructure role, and risk appetite.",GOVERN / Risk Management Strategy  / Business Continuity & Resilience Risk Management,GV.RM-09.01,017.039
Chapter II: ICT risk management,Section I Article 11,DORA-11-07,"7. Financial entities, other than microenterprises, shall have a crisis management function, which, in the event of activation of their ICT business continuity plans or ICT response and recovery plans, shall, inter alia, set out clear procedures to manage internal and external crisis communications in accordance with Article 14.",Semantic,Intersects with,9,10,No Gaps Identified,"ID.IM-04.01: The organization's business continuity, disaster recovery, crisis management, and response plans are in place and managed, aligned with each other, and incorporate considerations of cyber incidents.",<div>IDENTIFY / Improvement / Plans Affecting Operations</div>,ID.IM-04.01,067.154
Chapter II: ICT risk management,Section I Article 11,DORA-11-07,"7. Financial entities, other than microenterprises, shall have a crisis management function, which, in the event of activation of their ICT business continuity plans or ICT response and recovery plans, shall, inter alia, set out clear procedures to manage internal and external crisis communications in accordance with Article 14.",Semantic,Superset of,9,10,No Gaps Identified,"RS.CO-02.01: The organization's incident response program includes defined and approved escalation protocols, linked to organizational decision levels and communication strategies, including which types of information will be shared, with whom (e.g., the organization's governing authority and senior management), and how information provided to the organization will be acted upon.",RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Notification,RS.CO-02.01,124.269
Chapter II: ICT risk management,Section I Article 11,DORA-11-07,"7. Financial entities, other than microenterprises, shall have a crisis management function, which, in the event of activation of their ICT business continuity plans or ICT response and recovery plans, shall, inter alia, set out clear procedures to manage internal and external crisis communications in accordance with Article 14.",Semantic,Superset of,9,10,No Gaps Identified,"RS.CO-02.02: In the event of an incident, the organization notifies impacted stakeholders including, as required, government bodies, self-regulatory agencies and/or other supervisory bodies, within required timeframes.",RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Notification,RS.CO-02.02,124.270
Chapter II: ICT risk management,Section I Article 11,DORA-11-07,"7. Financial entities, other than microenterprises, shall have a crisis management function, which, in the event of activation of their ICT business continuity plans or ICT response and recovery plans, shall, inter alia, set out clear procedures to manage internal and external crisis communications in accordance with Article 14.",Semantic,Superset of,8,10,No Gaps Identified,"RS.CO-02.03: The organization maintains and regularly tests incident response communication procedures, with associated contact lists, call trees, and automatic notifications, to quickly coordinate and communicate with internal and external stakeholders during or following an incident.",RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Notification,RS.CO-02.03,124.271
Chapter II: ICT risk management,Section I Article 11,DORA-11-07,"7. Financial entities, other than microenterprises, shall have a crisis management function, which, in the event of activation of their ICT business continuity plans or ICT response and recovery plans, shall, inter alia, set out clear procedures to manage internal and external crisis communications in accordance with Article 14.",Semantic,Superset of,9,10,No Gaps Identified,"RS.CO-03.02: In the event of an incident, the organization shares authorized information, in a defined manner and through trusted channels, to facilitate the detection, response, resumption and recovery of its own systems and those of other partners and critical sector participants.",RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Information Sharing,RS.CO-03.02,125.273
Chapter II: ICT risk management,Section I Article 11,DORA-11-07,"7. Financial entities, other than microenterprises, shall have a crisis management function, which, in the event of activation of their ICT business continuity plans or ICT response and recovery plans, shall, inter alia, set out clear procedures to manage internal and external crisis communications in accordance with Article 14.",Semantic,Superset of,7,10,No Gaps Identified,"RC.CO-03.01: The organization timely involves and communicates the recovery activities, procedures, cyber risk management issues to the governing body (e.g., the Board or one of its committees), senior management, incident management support teams, and relevant internal stakeholders.",RECOVER / Incident Recovery Communication / Recovery Activity Communication,RC.CO-03.01,138.284
Chapter II: ICT risk management,Section I Article 11,DORA-11-07,"7. Financial entities, other than microenterprises, shall have a crisis management function, which, in the event of activation of their ICT business continuity plans or ICT response and recovery plans, shall, inter alia, set out clear procedures to manage internal and external crisis communications in accordance with Article 14.",Semantic,Superset of,8,10,No Gaps Identified,"RC.CO-03.02: The organization promptly communicates the status of recovery activities to regulatory authorities and relevant external stakeholders, as required or appropriate.",RECOVER / Incident Recovery Communication / Recovery Activity Communication,RC.CO-03.02,138.285
Chapter II: ICT risk management,Section I Article 11,DORA-11-07,"7. Financial entities, other than microenterprises, shall have a crisis management function, which, in the event of activation of their ICT business continuity plans or ICT response and recovery plans, shall, inter alia, set out clear procedures to manage internal and external crisis communications in accordance with Article 14.",Semantic,Superset of,8,10,No Gaps Identified,"RC.CO-04.01: Pre-established communication plans and message templates, and authorized protocols, contacts, media, and communications, are used to notify and inform the public and key external stakeholders about an incident.",RECOVER / Incident Recovery Communication / Public Information Sharing,RC.CO-04.01,139.286
Chapter II: ICT risk management,Section I Article 11,DORA-11-08,8. Financial entities shall keep readily accessible records of activities before and during disruption events when their ICT business continuity plans and ICT response and recovery plans are activated.,Semantic,Superset of,8,9,"The Profile is non-specific with the need for maintaining accessible records tied to the activation of continuity and recovery plans during actual disruption events, but Section I Article 11 (Statement 8) covers the explicit mention for financial entities to keep readily accessible records specifically related to the activities conducted before and during disruption events when their ICT business continuity plans and ICT response and recovery plans are activated.","PR.PS-04.01: The organization establishes and regularly reviews log management standards and practices, to include the types of events to be detected, log content, security and access considerations, monitoring protocols, integrity checking mechanisms, and retention periods.",PROTECT / Platform Security / Log Record Generation,PR.PS-04.01,088.206
Chapter II: ICT risk management,Section I Article 11,DORA-11-08,8. Financial entities shall keep readily accessible records of activities before and during disruption events when their ICT business continuity plans and ICT response and recovery plans are activated.,Semantic,Superset of,8,9,"The Profile is non-specific with the need for maintaining accessible records tied to the activation of continuity and recovery plans during actual disruption events, but Section I Article 11 (Statement 8) covers the explicit mention for financial entities to keep readily accessible records specifically related to the activities conducted before and during disruption events when their ICT business continuity plans and ICT response and recovery plans are activated.","PR.PS-04.03: The organization's activity logs and other security event logs are generated, reviewed, securely stored, and retained in accordance with data retention obligations and established standards.",PROTECT / Platform Security / Log Record Generation,PR.PS-04.03,088.208
Chapter II: ICT risk management,Section I Article 11,DORA-11-08,8. Financial entities shall keep readily accessible records of activities before and during disruption events when their ICT business continuity plans and ICT response and recovery plans are activated.,Semantic,Intersects with,7,9,"The Profile is non-specific with the need for maintaining accessible records tied to the activation of continuity and recovery plans during actual disruption events, but Section I Article 11 (Statement 8) covers the explicit mention for financial entities to keep readily accessible records specifically related to the activities conducted before and during disruption events when their ICT business continuity plans and ICT response and recovery plans are activated.",PR.IR-04.01: Baseline measures of network and system utilization and transaction activity are captured to support capacity planning and anomalous activity detection.,PROTECT / Technology Infrastructure Resilience / Capacity Management,PR.IR-04.01,096.234
Chapter II: ICT risk management,Section I Article 11,DORA-11-08,8. Financial entities shall keep readily accessible records of activities before and during disruption events when their ICT business continuity plans and ICT response and recovery plans are activated.,Semantic,Superset of,7,9,"The Profile is non-specific with the need for maintaining accessible records tied to the activation of continuity and recovery plans during actual disruption events, but Section I Article 11 (Statement 8) covers the explicit mention for financial entities to keep readily accessible records specifically related to the activities conducted before and during disruption events when their ICT business continuity plans and ICT response and recovery plans are activated.","DE.AE-02.01: The organization performs timely collection of event data, as well as advanced and automated analysis (including the use of security tools such as antivirus and IDS/IPS) on the detected events to:
(1) Assess and understand the nature, scope and method of the attack;
(2) Predict and block a similar future attack; and
(3) Report timely risk metrics.",DETECT / Adverse Event Analysis / Potentially Adverse Event Analysis,DE.AE-02.01,105.251
Chapter II: ICT risk management,Section I Article 11,DORA-11-08,8. Financial entities shall keep readily accessible records of activities before and during disruption events when their ICT business continuity plans and ICT response and recovery plans are activated.,Semantic,Superset of,7,9,"The Profile is non-specific with the need for maintaining accessible records tied to the activation of continuity and recovery plans during actual disruption events, but Section I Article 11 (Statement 8) covers the explicit mention for financial entities to keep readily accessible records specifically related to the activities conducted before and during disruption events when their ICT business continuity plans and ICT response and recovery plans are activated.","RS.MA-02.01: Tools and processes are in place to ensure timely detection, inspection, assessment, and analysis of security event data for reliable activation of incident response processes.",<div>RESPOND / Incident Management / Incident Triage &amp; Validation</div>,RS.MA-02.01,114.261
Chapter II: ICT risk management,Section I Article 11,DORA-11-08,8. Financial entities shall keep readily accessible records of activities before and during disruption events when their ICT business continuity plans and ICT response and recovery plans are activated.,Semantic,Intersects with,8,9,"The Profile is non-specific with the need for maintaining accessible records tied to the activation of continuity and recovery plans during actual disruption events, but Section I Article 11 (Statement 8) covers the explicit mention for financial entities to keep readily accessible records specifically related to the activities conducted before and during disruption events when their ICT business continuity plans and ICT response and recovery plans are activated.","RS.MA-04.01: Response activities are centrally coordinated, response progress and milestones are tracked and documented, and new incident information is assimilated into ongoing tasks, assignments, and escalations.",RESPOND / Incident Management / Incident Escalation,RS.MA-04.01,116.263
Chapter II: ICT risk management,Section I Article 11,DORA-11-09,"9. Central securities depositories shall provide the competent authorities with copies of the results of the ICT business continuity tests, or of similar exercises.",Semantic,No relationship,0,0,"Section I Article 11 (Statement 9) explicitly requires central securities depositories to furnish competent authorities with copies of the results from their ICT business continuity tests or similar exercises. This addresses a direct reporting obligation to regulatory bodies, ensuring that financial entities demonstrate their preparedness and resilience in the fact of ICT disruptions through formal documentation of their testing outcomes, which is addressed in the Profile.",,,None,
Chapter II: ICT risk management,Section I Article 11,DORA-11-10,"10. Financial entities, other than microenterprises, shall report to the competent authorities, upon their request, an estimation of aggregated annual costs and losses caused by major ICT-related incidents.",Semantic,Intersects with,7,7,"Section I Article 11 (Statement 10) specifically mentions financial entities to provide competent authorities with estimated annual costs and losses from major ICT-related incidents upon request, whereas the Profile emphasizes the assessment of incident impact, potential financial implications, and materiality, along with prompt communication to stakeholders and regulatory as required, but does not specifically address the reporting of aggregated annual cost and loss estimations to authorities.","RS.AN-08.01: Available incident information is assessed to determine the extent of impact to the organization and its stakeholders, the potential near- and long-term financial implications, and whether or not the incident constitutes a material event.",RESPOND / Incident Analysis / Incident Magnitude Determination,RS.AN-08.01,122.268
Chapter II: ICT risk management,Section I Article 11,DORA-11-10,"10. Financial entities, other than microenterprises, shall report to the competent authorities, upon their request, an estimation of aggregated annual costs and losses caused by major ICT-related incidents.",Semantic,Intersects with,7,7,"Section I Article 11 (Statement 10) specifically mentions financial entities to provide competent authorities with estimated annual costs and losses from major ICT-related incidents upon request, whereas the Profile emphasizes the assessment of incident impact, potential financial implications, and materiality, along with prompt communication to stakeholders and regulatory as required, but does not specifically address the reporting of aggregated annual cost and loss estimations to authorities.","RS.CO-02.02: In the event of an incident, the organization notifies impacted stakeholders including, as required, government bodies, self-regulatory agencies and/or other supervisory bodies, within required timeframes.",RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Notification,RS.CO-02.02,124.270
Chapter II: ICT risk management,Section I Article 11,DORA-11-10,"10. Financial entities, other than microenterprises, shall report to the competent authorities, upon their request, an estimation of aggregated annual costs and losses caused by major ICT-related incidents.",Semantic,Intersects with,7,7,"Section I Article 11 (Statement 10) specifically mentions financial entities to provide competent authorities with estimated annual costs and losses from major ICT-related incidents upon request, whereas the Profile emphasizes the assessment of incident impact, potential financial implications, and materiality, along with prompt communication to stakeholders and regulatory as required, but does not specifically address the reporting of aggregated annual cost and loss estimations to authorities.","RC.CO-03.02: The organization promptly communicates the status of recovery activities to regulatory authorities and relevant external stakeholders, as required or appropriate.",RECOVER / Incident Recovery Communication / Recovery Activity Communication,RC.CO-03.02,138.285
Chapter II: ICT risk management,Section I Article 11,DORA-11-11,"11. In accordance with Article 16 of Regulations (EU) No 1093/2010, (EU) No 1094/2010 and (EU) No 1095/2010, the ESAs, through the Joint Committee, shall by 17 July 2024 develop common guidelines on the estimation of aggregated annual costs and losses referred to in paragraph 10.",Semantic,OOS,0,0,Out of Scope for the Profile,,,None,
Chapter II: ICT risk management,Section I Article 12,DORA-12-01,"1. For the purpose of ensuring the restoration of ICT systems and data with minimum downtime, limited disruption and loss, as part of their ICT risk management framework, financial entities shall develop and document:
(a) backup policies and procedures specifying the scope of the data that is subject to the backup and the minimum frequency of the backup, based on the criticality of information or the confidentiality level of the data;
(b) restoration and recovery procedures and methods.",Semantic,Intersects with,8,10,No Gaps Identified,"GV.RM-09.02: The resilience program ensures that the organization can continue operating critical business functions and deliver services to stakeholders, to include critical infrastructure partners, during adverse incidents and cyber attacks (e.g., propagation of malware or extended system outages).",GOVERN / Risk Management Strategy  / Business Continuity & Resilience Risk Management,GV.RM-09.02,017.040
Chapter II: ICT risk management,Section I Article 12,DORA-12-01,"1. For the purpose of ensuring the restoration of ICT systems and data with minimum downtime, limited disruption and loss, as part of their ICT risk management framework, financial entities shall develop and document:
(a) backup policies and procedures specifying the scope of the data that is subject to the backup and the minimum frequency of the backup, based on the criticality of information or the confidentiality level of the data;
(b) restoration and recovery procedures and methods.",Semantic,Superset of,9,10,No Gaps Identified,"ID.IM-02.06: The organization designs and tests its systems and processes, and employs third-party support resources (e.g., Sheltered Harbor), to enable recovery of accurate data (e.g., material financial transactions) sufficient to support defined business recovery time and recovery point objectives.",IDENTIFY / Improvement / Tests & Exercises,ID.IM-02.06,065.148
Chapter II: ICT risk management,Section I Article 12,DORA-12-01,"1. For the purpose of ensuring the restoration of ICT systems and data with minimum downtime, limited disruption and loss, as part of their ICT risk management framework, financial entities shall develop and document:
(a) backup policies and procedures specifying the scope of the data that is subject to the backup and the minimum frequency of the backup, based on the criticality of information or the confidentiality level of the data;
(b) restoration and recovery procedures and methods.",Semantic,Superset of,9,10,No Gaps Identified,"ID.IM-04.04: The organization has plans to identify, in a timely manner, the status of all transactions and member positions at the time of a disruption, supported by corresponding recovery point objectives.",<div>IDENTIFY / Improvement / Plans Affecting Operations</div>,ID.IM-04.04,067.157
Chapter II: ICT risk management,Section I Article 12,DORA-12-01,"1. For the purpose of ensuring the restoration of ICT systems and data with minimum downtime, limited disruption and loss, as part of their ICT risk management framework, financial entities shall develop and document:
(a) backup policies and procedures specifying the scope of the data that is subject to the backup and the minimum frequency of the backup, based on the criticality of information or the confidentiality level of the data;
(b) restoration and recovery procedures and methods.",Semantic,Intersects with,8,10,No Gaps Identified,"ID.IM-04.05: Recovery plans include restoration of resilience following a long term loss of capability (e.g., at an alternate site or a third-party), detailing when the plan should be activated and implementation steps.",<div>IDENTIFY / Improvement / Plans Affecting Operations</div>,ID.IM-04.05,067.158
Chapter II: ICT risk management,Section I Article 12,DORA-12-01,"1. For the purpose of ensuring the restoration of ICT systems and data with minimum downtime, limited disruption and loss, as part of their ICT risk management framework, financial entities shall develop and document:
(a) backup policies and procedures specifying the scope of the data that is subject to the backup and the minimum frequency of the backup, based on the criticality of information or the confidentiality level of the data;
(b) restoration and recovery procedures and methods.",Semantic,Superset of,9,10,No Gaps Identified,"PR.DS-11.01: The organization defines and implements standards and procedures for configuring and performing backups and data replications, including defining backup requirements by data/application/infrastructure criticality, segregating (e.g., air-gapping) and securing backups, verifying backup integrity, and performing backup restoration testing.",PROTECT / Data Security / Data Backup,PR.DS-11.01,083.192
Chapter II: ICT risk management,Section I Article 12,DORA-12-01,"1. For the purpose of ensuring the restoration of ICT systems and data with minimum downtime, limited disruption and loss, as part of their ICT risk management framework, financial entities shall develop and document:
(a) backup policies and procedures specifying the scope of the data that is subject to the backup and the minimum frequency of the backup, based on the criticality of information or the confidentiality level of the data;
(b) restoration and recovery procedures and methods.",Semantic,Intersects with,8,10,No Gaps Identified,"RC.RP-03.01: Restoration steps include the verification of backups, data replications, system images, and other restoration assets prior to continued use.",RECOVER / Incident Recovery Plan Execution / Backup & Restoration Asset Integrity,RC.RP-03.01,133.279
Chapter II: ICT risk management,Section I Article 12,DORA-12-01,"1. For the purpose of ensuring the restoration of ICT systems and data with minimum downtime, limited disruption and loss, as part of their ICT risk management framework, financial entities shall develop and document:
(a) backup policies and procedures specifying the scope of the data that is subject to the backup and the minimum frequency of the backup, based on the criticality of information or the confidentiality level of the data;
(b) restoration and recovery procedures and methods.",Semantic,Intersects with,8,10,No Gaps Identified,"RC.RP-04.01: Restoration steps include the verification of data integrity, transaction positions, system functionality, and the operation of security controls by appropriate organizational stakeholders and system owners.",RECOVER / Incident Recovery Plan Execution / Post-Incident Operational Norms,RC.RP-04.01,134.280
Chapter II: ICT risk management,Section I Article 12,DORA-12-02,"2. Financial entities shall set up backup systems that can be activated in accordance with the backup policies and procedures, as well as restoration and recovery procedures and methods. The activation of backup systems shall not jeopardise the security of the network and information systems or the availability, authenticity, integrity or confidentiality of data. Testing of the backup procedures and restoration and recovery procedures and methods shall be undertaken periodically",Semantic,Subset of,9,10,No Gaps Identified,"ID.IM-02.06: The organization designs and tests its systems and processes, and employs third-party support resources (e.g., Sheltered Harbor), to enable recovery of accurate data (e.g., material financial transactions) sufficient to support defined business recovery time and recovery point objectives.",IDENTIFY / Improvement / Tests & Exercises,ID.IM-02.06,065.148
Chapter II: ICT risk management,Section I Article 12,DORA-12-02,"2. Financial entities shall set up backup systems that can be activated in accordance with the backup policies and procedures, as well as restoration and recovery procedures and methods. The activation of backup systems shall not jeopardise the security of the network and information systems or the availability, authenticity, integrity or confidentiality of data. Testing of the backup procedures and restoration and recovery procedures and methods shall be undertaken periodically",Semantic,Superset of,8,10,No Gaps Identified,"ID.IM-04.04: The organization has plans to identify, in a timely manner, the status of all transactions and member positions at the time of a disruption, supported by corresponding recovery point objectives.",<div>IDENTIFY / Improvement / Plans Affecting Operations</div>,ID.IM-04.04,067.157
Chapter II: ICT risk management,Section I Article 12,DORA-12-02,"2. Financial entities shall set up backup systems that can be activated in accordance with the backup policies and procedures, as well as restoration and recovery procedures and methods. The activation of backup systems shall not jeopardise the security of the network and information systems or the availability, authenticity, integrity or confidentiality of data. Testing of the backup procedures and restoration and recovery procedures and methods shall be undertaken periodically",Semantic,Superset of,8,10,No Gaps Identified,"ID.IM-04.08: The organization regularly reviews response strategy, incident management plans, recovery plans, and associated tests and exercises and updates them, as necessary, based on:
(1) Lessons learned from incidents that have occurred (both internal and external to the organization);
(2) Current cyber threat intelligence (both internal and external sources);
(3) Recent and wide-scale cyber attack scenarios;
(4) Operationally and technically plausible future cyber attacks;
(5) Organizational or technical environment changes; and,
(6) New technological developments.",<div>IDENTIFY / Improvement / Plans Affecting Operations</div>,ID.IM-04.08,067.161
Chapter II: ICT risk management,Section I Article 12,DORA-12-02,"2. Financial entities shall set up backup systems that can be activated in accordance with the backup policies and procedures, as well as restoration and recovery procedures and methods. The activation of backup systems shall not jeopardise the security of the network and information systems or the availability, authenticity, integrity or confidentiality of data. Testing of the backup procedures and restoration and recovery procedures and methods shall be undertaken periodically",Semantic,Superset of,9,10,No Gaps Identified,"PR.DS-11.01: The organization defines and implements standards and procedures for configuring and performing backups and data replications, including defining backup requirements by data/application/infrastructure criticality, segregating (e.g., air-gapping) and securing backups, verifying backup integrity, and performing backup restoration testing.",PROTECT / Data Security / Data Backup,PR.DS-11.01,083.192
Chapter II: ICT risk management,Section I Article 12,DORA-12-02,"2. Financial entities shall set up backup systems that can be activated in accordance with the backup policies and procedures, as well as restoration and recovery procedures and methods. The activation of backup systems shall not jeopardise the security of the network and information systems or the availability, authenticity, integrity or confidentiality of data. Testing of the backup procedures and restoration and recovery procedures and methods shall be undertaken periodically",Semantic,Subset of,7,10,No Gaps Identified,"PR.IR-03.01:  The organization implements mechanisms (e.g., failsafe, load balancing, hot swaps, redundant equipment, alternate services, backup facilities, etc.) to achieve resilience requirements in normal and adverse situations.",PROTECT / Technology Infrastructure Resilience / Resilience Measures,PR.IR-03.01,095.233
Chapter II: ICT risk management,Section I Article 12,DORA-12-02,"2. Financial entities shall set up backup systems that can be activated in accordance with the backup policies and procedures, as well as restoration and recovery procedures and methods. The activation of backup systems shall not jeopardise the security of the network and information systems or the availability, authenticity, integrity or confidentiality of data. Testing of the backup procedures and restoration and recovery procedures and methods shall be undertaken periodically",Semantic,Superset of,8,10,No Gaps Identified,"RC.RP-03.01: Restoration steps include the verification of backups, data replications, system images, and other restoration assets prior to continued use.",RECOVER / Incident Recovery Plan Execution / Backup & Restoration Asset Integrity,RC.RP-03.01,133.279
Chapter II: ICT risk management,Section I Article 12,DORA-12-02,"2. Financial entities shall set up backup systems that can be activated in accordance with the backup policies and procedures, as well as restoration and recovery procedures and methods. The activation of backup systems shall not jeopardise the security of the network and information systems or the availability, authenticity, integrity or confidentiality of data. Testing of the backup procedures and restoration and recovery procedures and methods shall be undertaken periodically",Semantic,Superset of,8,10,No Gaps Identified,"RC.RP-04.01: Restoration steps include the verification of data integrity, transaction positions, system functionality, and the operation of security controls by appropriate organizational stakeholders and system owners.",RECOVER / Incident Recovery Plan Execution / Post-Incident Operational Norms,RC.RP-04.01,134.280
Chapter II: ICT risk management,Section I Article 12,DORA-12-03,"3. When restoring backup data using own systems, financial entities shall use ICT systems that are physically and logically segregated from the source ICT system. The ICT systems shall be securely protected from any unauthorised access or ICT corruption and allow for the timely restoration of services making use of data and system backups as necessary.For central counterparties, the recovery plans shall enable the recovery of all transactions at the time of disruption to allow the central counterparty to continue to operate with certainty and to complete settlement on the scheduled date. Data reporting service providers shall additionally maintain adequate resources and have back-up and restoration facilities in place in order to offer and maintain their services at all times.",Semantic,Superset of,6,9,"The Profile broadly covers the resilience program's ability to maintain critical functions, the testing of recovery processes, and the implementation of backup and restoration standards, but Section I Article 12 (Statement 3) specifically mentions that central counterparties should have recovery plans that enable the complete recovery of all transactions at the time of disruption to continue operations and complete settlements on schedule, and that data reporting service providers should maintain adequate resources and backup facilitates to ensure the continuous availability of their services.","GV.RM-09.02: The resilience program ensures that the organization can continue operating critical business functions and deliver services to stakeholders, to include critical infrastructure partners, during adverse incidents and cyber attacks (e.g., propagation of malware or extended system outages).",GOVERN / Risk Management Strategy  / Business Continuity & Resilience Risk Management,GV.RM-09.02,017.040
