FFIEC Cybersecurity Assessment Tool (CAT) to CRI Profile ver. 2.1 Mapping,FFIEC Cybersecurity Assessment Tool (CAT) to CRI Profile ver. 2.1 Mapping,FFIEC Cybersecurity Assessment Tool (CAT) to CRI Profile ver. 2.1 Mapping,FFIEC Cybersecurity Assessment Tool (CAT) to CRI Profile ver. 2.1 Mapping,FFIEC Cybersecurity Assessment Tool (CAT) to CRI Profile ver. 2.1 Mapping,,
1: Cyber Risk Management & Oversight / 2: Risk Management / 2: Risk Assessment,D1.RM.RA.A.1: An enterprise-wide risk management function incorporates cyber threat analysis and specific risk exposure as part of the enterprise risk assessment.,Advanced,Full Summarily,"GV.RM-03.03: Technology and cybersecurity risk management and risk assessment processes are consistent with the organization's enterprise risk management policies, procedures, and methodologies and include criteria for the evaluation and categorization of enterprise-specific risks and threats.",GV.RM-03.03,GOVERN / Risk Management Strategy / Enterprise Risk Integration
1: Cyber Risk Management & Oversight / 2: Risk Management / 2: Risk Assessment,"D1.RM.RA.Inn.1: The risk assessment is updated in real time as changes to the risk profile occur, new applicable standards are released or updated, and new exposures are anticipated.",Innovative,Partial,"ID.RA-03.01: The organization, on an ongoing basis, identifies, analyzes, correlates, characterizes, and reports threats that are internal and external to the firm.",ID.RA-03.01,IDENTIFY / Risk Assessment / Threat Identification
1: Cyber Risk Management & Oversight / 2: Risk Management / 2: Risk Assessment,"D1.RM.RA.Inn.1: The risk assessment is updated in real time as changes to the risk profile occur, new applicable standards are released or updated, and new exposures are anticipated.",Innovative,Partial,"ID.RA-05.03: The organization's business units assess, on an ongoing basis, the technology, cybersecurity, and resilience risks associated with the activities of the business unit.",ID.RA-05.03,IDENTIFY / Risk Assessment / Risk Exposure Determination & Prioritization
1: Cyber Risk Management & Oversight / 2: Risk Management / 2: Risk Assessment,"D1.RM.RA.Inn.1: The risk assessment is updated in real time as changes to the risk profile occur, new applicable standards are released or updated, and new exposures are anticipated.",Innovative,Partial,"DE.AE-03.02: The organization performs real-time central analysis, aggregation, and correlation of anomalous activities, network and system alerts, and relevant event and cyber threat intelligence, including both internal and external (cloud and outsourced) environments, to better detect and prevent multifaceted cyber attacks.",DE.AE-03.02,DETECT / Adverse Event Analysis / Event Information Correlation
1: Cyber Risk Management & Oversight / 2: Risk Management / 2: Risk Assessment,D1.RM.RA.Inn.2: The institution uses information from risk assessments to predict threats and drive real-time responses.,Innovative,Partial,"ID.RA-05.02: The organization has established threat modeling capabilities to identify how and why critical assets might be compromised by a threat actor, what level of protection is needed for those critical assets, and what the impact would be if that protection failed.",ID.RA-05.02,IDENTIFY / Risk Assessment / Risk Exposure Determination & Prioritization
1: Cyber Risk Management & Oversight / 2: Risk Management / 2: Risk Assessment,D1.RM.RA.Inn.2: The institution uses information from risk assessments to predict threats and drive real-time responses.,Innovative,Partial,"DE.AE-02.01: The organization performs timely collection of event data, as well as advanced and automated analysis (including the use of security tools such as antivirus and IDS/IPS) on the detected events to:
(1) Assess and understand the nature, scope and method of the attack;
(2) Predict and block a similar future attack; and
(3) Report timely risk metrics.",DE.AE-02.01,DETECT / Adverse Event Analysis / Potentially Adverse Event Analysis
1: Cyber Risk Management & Oversight / 2: Risk Management / 2: Risk Assessment,D1.RM.RA.Inn.2: The institution uses information from risk assessments to predict threats and drive real-time responses.,Innovative,Partial,"DE.AE-03.02: The organization performs real-time central analysis, aggregation, and correlation of anomalous activities, network and system alerts, and relevant event and cyber threat intelligence, including both internal and external (cloud and outsourced) environments, to better detect and prevent multifaceted cyber attacks.",DE.AE-03.02,DETECT / Adverse Event Analysis / Event Information Correlation
1: Cyber Risk Management & Oversight / 2: Risk Management / 2: Risk Assessment,D1.RM.RA.Inn.3: Advanced or automated analytics offer predictive information and real-time risk metrics.,Innovative,Full Summarily,"DE.AE-02.01: The organization performs timely collection of event data, as well as advanced and automated analysis (including the use of security tools such as antivirus and IDS/IPS) on the detected events to:
(1) Assess and understand the nature, scope and method of the attack;
(2) Predict and block a similar future attack; and
(3) Report timely risk metrics.",DE.AE-02.01,DETECT / Adverse Event Analysis / Potentially Adverse Event Analysis
1: Cyber Risk Management & Oversight / 2: Risk Management / 2: Risk Assessment,D1.RM.RA.Inn.3: Advanced or automated analytics offer predictive information and real-time risk metrics.,Innovative,Full Summarily,"DE.AE-03.02: The organization performs real-time central analysis, aggregation, and correlation of anomalous activities, network and system alerts, and relevant event and cyber threat intelligence, including both internal and external (cloud and outsourced) environments, to better detect and prevent multifaceted cyber attacks.",DE.AE-03.02,DETECT / Adverse Event Analysis / Event Information Correlation
1: Cyber Risk Management & Oversight / 2: Risk Management / 3: Audit,"D1.G.RM.Au.B.1: Independent audit or review evaluates policies, procedures, and controls across the institution for significant risks and control issues associated with the institution's operations, including risks in new products, emerging technologies, and information",Baseline,Full Summarily,"GV.AU-01.03: The independent audit function tests technology management, cybersecurity, incident response, and resilience policies and controls.",GV.AU-01.03,GOVERN / Independent Audit Function / Independent Audit Compliance Assessment
1: Cyber Risk Management & Oversight / 2: Risk Management / 3: Audit,"D1.G.RM.Au.B.1: Independent audit or review evaluates policies, procedures, and controls across the institution for significant risks and control issues associated with the institution's operations, including risks in new products, emerging technologies, and information",Baseline,Full Summarily,GV.AU-03.01: The independent audit function reviews technology and cybersecurity practices and identifies weaknesses and gaps.,GV.AU-03.01,GOVERN / Independent Audit Function / Independent Audit Reporting
1: Cyber Risk Management & Oversight / 2: Risk Management / 3: Audit,D1.RM.Au.B.2: The independent audit function validates controls related to the storage or transmission of confidential data.,Baseline,Full,"GV.AU-01.03: The independent audit function tests technology management, cybersecurity, incident response, and resilience policies and controls.",GV.AU-01.03,GOVERN / Independent Audit Function / Independent Audit Compliance Assessment
1: Cyber Risk Management & Oversight / 2: Risk Management / 3: Audit,"D1.RM.Au.B.3: Logging practices are independently reviewed periodically to ensure appropriate log management (e.g., access controls, retention, and maintenance).",Baseline,Partial,"PR.PS-04.01: The organization establishes and regularly reviews log management standards and practices, to include the types of events to be detected, log content, security and access considerations, monitoring protocols, integrity checking mechanisms, and retention periods.",PR.PS-04.01,PROTECT / Platform Security / Log Record Generation
1: Cyber Risk Management & Oversight / 2: Risk Management / 3: Audit,D1.RM.Au.B.4: Issues and corrective actions from internal audits and independent testing/assessments are formally tracked to ensure procedures and control lapses are resolved in a timely manner.,Baseline,Full Summarily,GV.AU-03.02: The independent audit function tracks identified issues and corrective actions from internal audits and independent testing/assessments to ensure timely resolution.,GV.AU-03.02,GOVERN / Independent Audit Function / Independent Audit Reporting
1: Cyber Risk Management & Oversight / 2: Risk Management / 3: Audit,D1.RM.Au.B.4: Issues and corrective actions from internal audits and independent testing/assessments are formally tracked to ensure procedures and control lapses are resolved in a timely manner.,Baseline,Full Summarily,"ID.RA-07.04: Policy exceptions, risk mitigation plans, and risk acceptances resulting from assessments and evaluations, such as testing, exercises, audits, etc., are formally managed, approved, escalated to defined levels of management, and tracked to closure.",ID.RA-07.04,IDENTIFY / Risk Assessment / Change & Exception Management
1: Cyber Risk Management & Oversight / 2: Risk Management / 3: Audit,D1.RM.Au.E.1: The independent audit function validates that the risk management function is commensurate with the institution’s risk and complexity.,Evolving,Full,"GV.AU-01.02: The organization has an independent audit plan that provides for the evaluation of technology and cybersecurity risk, including compliance with the approved risk management framework, policies, and processes for technology, cybersecurity, and resilience; and how well the organization adapts to the evolving risk environment while remaining within its stated risk appetite and tolerance.",GV.AU-01.02,GOVERN / Independent Audit Function / Independent Audit Compliance Assessment
1: Cyber Risk Management & Oversight / 2: Risk Management / 3: Audit,D1.RM.Au.E.2: The independent audit function validates that the institution’s threat information sharing is commensurate with the institution’s risk and complexity.,Evolving,Full Summarily,"GV.AU-01.03: The independent audit function tests technology management, cybersecurity, incident response, and resilience policies and controls.",GV.AU-01.03,GOVERN / Independent Audit Function / Independent Audit Compliance Assessment
1: Cyber Risk Management & Oversight / 2: Risk Management / 3: Audit,D1.RM.Au.E.2: The independent audit function validates that the institution’s threat information sharing is commensurate with the institution’s risk and complexity.,Evolving,Full Summarily,GV.AU-03.01: The independent audit function reviews technology and cybersecurity practices and identifies weaknesses and gaps.,GV.AU-03.01,GOVERN / Independent Audit Function / Independent Audit Reporting
1: Cyber Risk Management & Oversight / 2: Risk Management / 3: Audit,D1.RM.Au.E.3: The independent audit function validates that the institution’s cybersecurity controls function is commensurate with the institution’s risk and complexity.,Evolving,Full Summarily,"GV.AU-01.03: The independent audit function tests technology management, cybersecurity, incident response, and resilience policies and controls.",GV.AU-01.03,GOVERN / Independent Audit Function / Independent Audit Compliance Assessment
1: Cyber Risk Management & Oversight / 2: Risk Management / 3: Audit,D1.RM.Au.E.3: The independent audit function validates that the institution’s cybersecurity controls function is commensurate with the institution’s risk and complexity.,Evolving,Full Summarily,GV.AU-03.01: The independent audit function reviews technology and cybersecurity practices and identifies weaknesses and gaps.,GV.AU-03.01,GOVERN / Independent Audit Function / Independent Audit Reporting
1: Cyber Risk Management & Oversight / 2: Risk Management / 3: Audit,D1.RM.Au.E.4: The independent audit function validates that the institution’s third-party relationship management is commensurate with the institution’s risk and complexity.,Evolving,Full,"GV.AU-01.04: The independent audit function evaluates and tests third-party risk management policies and controls, identifies weaknesses and gaps, and recommends improvements to senior management and the governing authority (e.g., the Board or one of its committees).",GV.AU-01.04,GOVERN / Independent Audit Function / Independent Audit Compliance Assessment
1: Cyber Risk Management & Oversight / 2: Risk Management / 3: Audit,D1.RM.Au.E.5: The independent audit function validates that the institution’s incident response program and resilience are commensurate with the institution’s risk and complexity.,Evolving,Full Summarily,"GV.AU-01.03: The independent audit function tests technology management, cybersecurity, incident response, and resilience policies and controls.",GV.AU-01.03,GOVERN / Independent Audit Function / Independent Audit Compliance Assessment
1: Cyber Risk Management & Oversight / 2: Risk Management / 3: Audit,D1.RM.Au.E.5: The independent audit function validates that the institution’s incident response program and resilience are commensurate with the institution’s risk and complexity.,Evolving,Full Summarily,GV.AU-03.01: The independent audit function reviews technology and cybersecurity practices and identifies weaknesses and gaps.,GV.AU-03.01,GOVERN / Independent Audit Function / Independent Audit Reporting
1: Cyber Risk Management & Oversight / 2: Risk Management / 3: Audit,D1.RM.Au.Int.1: A formal process is in place for the independent audit function to update its procedures based on changes to the institution’s inherent risk profile.,Intermediate,Full,"GV.AU-02.02: A formal process is in place for the independent audit function to update its procedures and audit plans based on changes to the organization's risk appetite, risk tolerance, threat environment, and evolving risk profile.",GV.AU-02.02,GOVERN / Independent Audit Function / Independent Audit Procedures
1: Cyber Risk Management & Oversight / 2: Risk Management / 3: Audit,D1.RM.Au.Int.2: The independent audit function validates that the institution’s threat intelligence and collaboration are commensurate with the institution’s risk and complexity.,Intermediate,Full Summarily,"GV.AU-01.03: The independent audit function tests technology management, cybersecurity, incident response, and resilience policies and controls.",GV.AU-01.03,GOVERN / Independent Audit Function / Independent Audit Compliance Assessment
1: Cyber Risk Management & Oversight / 2: Risk Management / 3: Audit,D1.RM.Au.Int.2: The independent audit function validates that the institution’s threat intelligence and collaboration are commensurate with the institution’s risk and complexity.,Intermediate,Full Summarily,GV.AU-03.01: The independent audit function reviews technology and cybersecurity practices and identifies weaknesses and gaps.,GV.AU-03.01,GOVERN / Independent Audit Function / Independent Audit Reporting
1: Cyber Risk Management & Oversight / 2: Risk Management / 3: Audit,D1.RM.Au.Int.3: The independent audit function regularly reviews management’s cyber risk appetite statement.,Intermediate,Full,"GV.AU-01.02: The organization has an independent audit plan that provides for the evaluation of technology and cybersecurity risk, including compliance with the approved risk management framework, policies, and processes for technology, cybersecurity, and resilience; and how well the organization adapts to the evolving risk environment while remaining within its stated risk appetite and tolerance.",GV.AU-01.02,GOVERN / Independent Audit Function / Independent Audit Compliance Assessment
1: Cyber Risk Management & Oversight / 2: Risk Management / 3: Audit,D1.RM.Au.Int.4: Independent audits or reviews are used to identify gaps in existing security capabilities and expertise.,Intermediate,Full,GV.AU-03.01: The independent audit function reviews technology and cybersecurity practices and identifies weaknesses and gaps.,GV.AU-03.01,GOVERN / Independent Audit Function / Independent Audit Reporting
1: Cyber Risk Management & Oversight / 2: Risk Management / 3: Audit,D1.RM.Au.A.1: A formal process is in place for the independent audit function to update its procedures based on changes to the evolving threat landscape across the sector.,Advanced,Full,"GV.AU-02.01: A formal process is in place for the independent audit function to review and update its procedures and audit plans regularly or in response to changes in relevant standards, the technology environment, or the business environment.",GV.AU-02.01,GOVERN / Independent Audit Function / Independent Audit Procedures
1: Cyber Risk Management & Oversight / 2: Risk Management / 3: Audit,D1.RM.Au.A.2: The independent audit function regularly reviews the institution’s cyber risk appetite statement in comparison to assessment results and incorporates gaps into the audit strategy.,Advanced,Full,"GV.AU-01.02: The organization has an independent audit plan that provides for the evaluation of technology and cybersecurity risk, including compliance with the approved risk management framework, policies, and processes for technology, cybersecurity, and resilience; and how well the organization adapts to the evolving risk environment while remaining within its stated risk appetite and tolerance.",GV.AU-01.02,GOVERN / Independent Audit Function / Independent Audit Compliance Assessment
1: Cyber Risk Management & Oversight / 2: Risk Management / 3: Audit,"D1.RM.Au.A.3: Independent audits or reviews are used to identify cybersecurity weaknesses, root causes, and the potential impact to business units.",Advanced,Full Summarily,"GV.AU-01.03: The independent audit function tests technology management, cybersecurity, incident response, and resilience policies and controls.",GV.AU-01.03,GOVERN / Independent Audit Function / Independent Audit Compliance Assessment
1: Cyber Risk Management & Oversight / 2: Risk Management / 3: Audit,"D1.RM.Au.A.3: Independent audits or reviews are used to identify cybersecurity weaknesses, root causes, and the potential impact to business units.",Advanced,Full Summarily,GV.AU-03.01: The independent audit function reviews technology and cybersecurity practices and identifies weaknesses and gaps.,GV.AU-03.01,GOVERN / Independent Audit Function / Independent Audit Reporting
1: Cyber Risk Management & Oversight / 2: Risk Management / 3: Audit,D1.RM.Au.Inn.1: A formal process is in place for the independent audit function to update its procedures based on changes to the evolving threat landscape across other sectors the institution depends upon.,Innovative,Full,"GV.AU-02.02: A formal process is in place for the independent audit function to update its procedures and audit plans based on changes to the organization's risk appetite, risk tolerance, threat environment, and evolving risk profile.",GV.AU-02.02,GOVERN / Independent Audit Function / Independent Audit Procedures
1: Cyber Risk Management & Oversight / 2: Risk Management / 3: Audit,D1.RM.Au.Inn.2: The independent audit function uses sophisticated data mining tools to perform continuous monitoring of cybersecurity processes or controls.,Innovative,None,None,None,None
1: Cyber Risk Management & Oversight / 3: Resources / 1: Staffing,D1.R.St.B.1: Information security roles and responsibilities have been identified.,Baseline,Full,"GV.RR-02.01: The roles, responsibilities, qualifications, and skill requirements for personnel (employees and third parties) that implement, manage, and oversee the technology, cybersecurity, and resilience programs are defined, aligned, coordinated, and holistically managed.",GV.RR-02.01,"GOVERN / Roles, Responsibilities, and Authorities / Risk Management Roles & Responsibilities"
1: Cyber Risk Management & Oversight / 3: Resources / 1: Staffing,D1.R.St.B.2: Processes are in place to identify additional expertise needed to improve information security defenses.,Baseline,Full Summarily,"GV.RR-02.01: The roles, responsibilities, qualifications, and skill requirements for personnel (employees and third parties) that implement, manage, and oversee the technology, cybersecurity, and resilience programs are defined, aligned, coordinated, and holistically managed.",GV.RR-02.01,"GOVERN / Roles, Responsibilities, and Authorities / Risk Management Roles & Responsibilities"
1: Cyber Risk Management & Oversight / 3: Resources / 1: Staffing,D1.R.St.B.2: Processes are in place to identify additional expertise needed to improve information security defenses.,Baseline,Full Summarily,"GV.RR-03.01: The organization's budgeting and resourcing processes identify, prioritize, and address resource needs to manage identified technology and cybersecurity risks (e.g., skill shortages, headcount, new tools, incident-related expenses, and unsupported systems).",GV.RR-03.01,"GOVERN / Roles, Responsibilities, and Authorities / Resource Adequacy"
1: Cyber Risk Management & Oversight / 3: Resources / 1: Staffing,D1.R.St.B.2: Processes are in place to identify additional expertise needed to improve information security defenses.,Baseline,Full Summarily,"ID.IM-04.07: The organization pre-identifies, pre-qualifies, and retains third party incident management support and forensic service firms, as required, that can be called upon to quickly assist with incident response, investigation, and recovery.",ID.IM-04.07,IDENTIFY / Improvement / Plans Affecting Operations
1: Cyber Risk Management & Oversight / 3: Resources / 1: Staffing,D1.R.St.E.1: A formal process is used to identify cybersecurity tools and expertise that may be needed.,Evolving,Full,"GV.RR-03.01: The organization's budgeting and resourcing processes identify, prioritize, and address resource needs to manage identified technology and cybersecurity risks (e.g., skill shortages, headcount, new tools, incident-related expenses, and unsupported systems).",GV.RR-03.01,"GOVERN / Roles, Responsibilities, and Authorities / Resource Adequacy"
1: Cyber Risk Management & Oversight / 3: Resources / 1: Staffing,D1.R.St.E.2: Management with appropriate knowledge and experience leads the institution's cybersecurity efforts.,Evolving,Full,"GV.RR-01.04: The organization has designated a qualified Cybersecurity Officer (e.g., CISO) who is responsible and accountable for developing a cybersecurity strategy, overseeing and implementing its cybersecurity program, and enforcing its cybersecurity policy.",GV.RR-01.04,"GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility"
1: Cyber Risk Management & Oversight / 3: Resources / 1: Staffing,D1.R.St.E.3: Staff with cybersecurity responsibilities have the requisite qualifications to perform the necessary tasks of the position.,Evolving,Full Summarily,"GV.RR-02.01: The roles, responsibilities, qualifications, and skill requirements for personnel (employees and third parties) that implement, manage, and oversee the technology, cybersecurity, and resilience programs are defined, aligned, coordinated, and holistically managed.",GV.RR-02.01,"GOVERN / Roles, Responsibilities, and Authorities / Risk Management Roles & Responsibilities"
1: Cyber Risk Management & Oversight / 3: Resources / 1: Staffing,D1.R.St.E.3: Staff with cybersecurity responsibilities have the requisite qualifications to perform the necessary tasks of the position.,Evolving,Full Summarily,"PR.AT-02.01: Mechanisms are in place to ensure that the personnel working with cybersecurity and technology (e.g., developers, DBAs, network admins, etc.) maintain current knowledge and skills related to changing threats, countermeasures, new tools, best practices, and their job responsibilities.",PR.AT-02.01,PROTECT / Awareness and Training / Specialized Role Awareness & Training
1: Cyber Risk Management & Oversight / 3: Resources / 1: Staffing,"D1.R.St.E.4: Employment candidates, contractors, and third parties are subject to background verification proportional to the confidentiality of the data accessed, business requirements, and acceptable risk.",Evolving,Full,"GV.RR-04.01: The organization conducts (or causes the conduct of) background/screening checks on all personnel (employees and third party) upon hire/retention, at regular intervals throughout employment, and upon a change in role commensurate with their access to critical data and systems.",GV.RR-04.01,"GOVERN / Roles, Responsibilities, and Authorities / Human Resource Practices"
1: Cyber Risk Management & Oversight / 3: Resources / 1: Staffing,"D1.R.St.Int.1: The institution has a program for talent recruitment, retention, and succession planning for the cybersecurity and resilience staffs.",Intermediate,Full Summarily,"GV.RR-02.01: The roles, responsibilities, qualifications, and skill requirements for personnel (employees and third parties) that implement, manage, and oversee the technology, cybersecurity, and resilience programs are defined, aligned, coordinated, and holistically managed.",GV.RR-02.01,"GOVERN / Roles, Responsibilities, and Authorities / Risk Management Roles & Responsibilities"
1: Cyber Risk Management & Oversight / 3: Resources / 1: Staffing,"D1.R.St.Int.1: The institution has a program for talent recruitment, retention, and succession planning for the cybersecurity and resilience staffs.",Intermediate,Full Summarily,"GV.RR-03.01: The organization's budgeting and resourcing processes identify, prioritize, and address resource needs to manage identified technology and cybersecurity risks (e.g., skill shortages, headcount, new tools, incident-related expenses, and unsupported systems).",GV.RR-03.01,"GOVERN / Roles, Responsibilities, and Authorities / Resource Adequacy"
1: Cyber Risk Management & Oversight / 3: Resources / 1: Staffing,"D1.R.St.A.1: The institution benchmarks its cybersecurity staffing against peers to identify whether its recruitment, retention, and succession planning are commensurate.",Advanced,Partial,"GV.RR-03.01: The organization's budgeting and resourcing processes identify, prioritize, and address resource needs to manage identified technology and cybersecurity risks (e.g., skill shortages, headcount, new tools, incident-related expenses, and unsupported systems).",GV.RR-03.01,"GOVERN / Roles, Responsibilities, and Authorities / Resource Adequacy"
1: Cyber Risk Management & Oversight / 3: Resources / 1: Staffing,"D1.R.St.A.1: The institution benchmarks its cybersecurity staffing against peers to identify whether its recruitment, retention, and succession planning are commensurate.",Advanced,Partial,"ID.IM-01.03: The organization establishes specific objectives, performance criteria, benchmarks, and tolerance limits to identify areas that have improved or are in need of improvement over time.",ID.IM-01.03,IDENTIFY / Improvement / Continuous Improvements Evaluation
1: Cyber Risk Management & Oversight / 3: Resources / 1: Staffing,"D1.R.St.A.2: Dedicated cybersecurity staff develops, or contributes to developing, integrated enterprise-level security and cyber defense strategies.",Advanced,Full Summarily,"GV.RR-02.01: The roles, responsibilities, qualifications, and skill requirements for personnel (employees and third parties) that implement, manage, and oversee the technology, cybersecurity, and resilience programs are defined, aligned, coordinated, and holistically managed.",GV.RR-02.01,"GOVERN / Roles, Responsibilities, and Authorities / Risk Management Roles & Responsibilities"
1: Cyber Risk Management & Oversight / 3: Resources / 1: Staffing,"D1.R.St.A.2: Dedicated cybersecurity staff develops, or contributes to developing, integrated enterprise-level security and cyber defense strategies.",Advanced,Full Summarily,"GV.RR-02.07: Technology and cybersecurity risk management frameworks provide for segregation of duties between policy development, implementation, and oversight.",GV.RR-02.07,"GOVERN / Roles, Responsibilities, and Authorities / Risk Management Roles & Responsibilities"
1: Cyber Risk Management & Oversight / 3: Resources / 1: Staffing,D1.R.St.Inn.1: The institution actively partners with industry associations and academia to inform curricula based on future cybersecurity staffing needs of the industry.,Innovative,Partial,ID.RA-02.02: The organization shares authorized information on its cyber resilience framework and the effectiveness of protection technologies bilaterally with trusted external stakeholders to promote the understanding of each party’s approach to securing systems.,ID.RA-02.02,IDENTIFY / Risk Assessment / Information Sharing Forums
1: Cyber Risk Management & Oversight / 4: Training & Culture / 1: Training,D1.TC.Tr.B.1: Annual information security training is provided.,Baseline,Full,PR.AT-01.01: All personnel receive cybersecurity awareness training upon hire and on a regular basis.,PR.AT-01.01,PROTECT / Awareness and Training / User Awareness & Training
1: Cyber Risk Management & Oversight / 4: Training & Culture / 1: Training,"D1.TC.Tr.B.2: Annual information security training includes incident response, current cyber threats (e.g., phishing, spear phishing, social engineering, and mobile security), and emerging issues.",Baseline,Full Summarily,"PR.AT-01.02: Cybersecurity awareness training includes, at a minimum, awareness of and competencies for data protection, personal data handling, compliance obligations, working with third parties, detecting cyber risks, and how to report any unusual activity or incidents.",PR.AT-01.02,PROTECT / Awareness and Training / User Awareness & Training
1: Cyber Risk Management & Oversight / 4: Training & Culture / 1: Training,"D1.TC.Tr.B.2: Annual information security training includes incident response, current cyber threats (e.g., phishing, spear phishing, social engineering, and mobile security), and emerging issues.",Baseline,Full Summarily,PR.AT-02.03: All personnel (employee and third party) are made aware of and are trained for their role and operational steps in response and recovery plans.,PR.AT-02.03,PROTECT / Awareness and Training / Specialized Role Awareness & Training
1: Cyber Risk Management & Oversight / 4: Training & Culture / 1: Training,D1.TC.Tr.B.3: Situational awareness materials are made available to employees when prompted by highly visible cyber events or by regulatory alerts.,Baseline,Full Summarily,"DE.AE-06.01: The organization has established processes and protocols to communicate, alert, and regularly report potential cyber attacks and incident information, including its corresponding analysis and cyber threat intelligence, to authorized internal and external stakeholders.",DE.AE-06.01,DETECT / Adverse Event Analysis / Event Information Sharing
1: Cyber Risk Management & Oversight / 4: Training & Culture / 1: Training,D1.TC.Tr.B.3: Situational awareness materials are made available to employees when prompted by highly visible cyber events or by regulatory alerts.,Baseline,Full Summarily,"RS.CO-03.01: The organization ensures that cyber threat intelligence is made available, in a secure manner, to authorized staff with responsibility for the mitigation of cyber risks at the strategic, tactical and operational levels within the organization.",RS.CO-03.01,RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Information Sharing
1: Cyber Risk Management & Oversight / 4: Training & Culture / 1: Training,"D1.TC.Tr.B.4: Customer awareness materials are readily available (e.g., DHS’ Cybersecurity Awareness Month materials).",Baseline,Full,"PR.AT-02.06: The organization has established and maintains a cybersecurity awareness program through which the organization's customers are kept aware of new threats and vulnerabilities, basic cybersecurity hygiene practices, and their role in cybersecurity, as appropriate.",PR.AT-02.06,PROTECT / Awareness and Training / Specialized Role Awareness & Training
1: Cyber Risk Management & Oversight / 4: Training & Culture / 1: Training,D1.TC.Tr.E.1: The institution has a program for continuing cybersecurity training and skill development for cybersecurity staff.,Evolving,Full,"PR.AT-02.01: Mechanisms are in place to ensure that the personnel working with cybersecurity and technology (e.g., developers, DBAs, network admins, etc.) maintain current knowledge and skills related to changing threats, countermeasures, new tools, best practices, and their job responsibilities.",PR.AT-02.01,PROTECT / Awareness and Training / Specialized Role Awareness & Training
1: Cyber Risk Management & Oversight / 4: Training & Culture / 1: Training,D1.TC.Tr.E.2: Management is provided cybersecurity training relevant to their job responsibilities.,Evolving,Full,"PR.AT-02.02: High-risk groups, such as those with elevated privileges or in sensitive business functions (including privileged users, senior executives, cybersecurity personnel and third-party stakeholders), receive cybersecurity situational awareness training for their roles and responsibilities.",PR.AT-02.02,PROTECT / Awareness and Training / Specialized Role Awareness & Training
1: Cyber Risk Management & Oversight / 4: Training & Culture / 1: Training,D1.TC.Tr.E.3: Employees with privileged account permissions receive additional cybersecurity training commensurate with their levels of responsibility.,Evolving,Full,"PR.AT-02.02: High-risk groups, such as those with elevated privileges or in sensitive business functions (including privileged users, senior executives, cybersecurity personnel and third-party stakeholders), receive cybersecurity situational awareness training for their roles and responsibilities.",PR.AT-02.02,PROTECT / Awareness and Training / Specialized Role Awareness & Training
1: Cyber Risk Management & Oversight / 4: Training & Culture / 1: Training,D1.TC.Tr.E.4: Business units are provided cybersecurity training relevant to their particular business risks.,Evolving,Full Summarily,"PR.AT-01.02: Cybersecurity awareness training includes, at a minimum, awareness of and competencies for data protection, personal data handling, compliance obligations, working with third parties, detecting cyber risks, and how to report any unusual activity or incidents.",PR.AT-01.02,PROTECT / Awareness and Training / User Awareness & Training
1: Cyber Risk Management & Oversight / 4: Training & Culture / 1: Training,D1.TC.Tr.E.4: Business units are provided cybersecurity training relevant to their particular business risks.,Evolving,Full Summarily,"PR.AT-02.02: High-risk groups, such as those with elevated privileges or in sensitive business functions (including privileged users, senior executives, cybersecurity personnel and third-party stakeholders), receive cybersecurity situational awareness training for their roles and responsibilities.",PR.AT-02.02,PROTECT / Awareness and Training / Specialized Role Awareness & Training
1: Cyber Risk Management & Oversight / 4: Training & Culture / 1: Training,D1.TC.Tr.E.4: Business units are provided cybersecurity training relevant to their particular business risks.,Evolving,Full Summarily,"PR.AT-02.07: The organization's governing body (e.g., the Board or one of its committees) and senior management receive cybersecurity situational awareness training to include appropriate skills and knowledge to: 
(1) Evaluate and manage cyber risks;
(2) Promote a culture that recognizes that staff at all levels have important responsibilities in ensuring the organization's cyber resilience; and
(3) Lead by example.",PR.AT-02.07,PROTECT / Awareness and Training / Specialized Role Awareness & Training
1: Cyber Risk Management & Oversight / 4: Training & Culture / 1: Training,"D1.TC.Tr.E.5: The institution validates the effectiveness of training (e.g., social engineering or phishing tests).",Evolving,Full,"ID.IM-03.01: A formal process is in place to improve protection controls and processes by integrating recommendations, findings, and lessons learned from exercises, testing, audits, assessments, and incidents.",ID.IM-03.01,IDENTIFY / Improvement / Improvements from Lessons Learned
1: Cyber Risk Management & Oversight / 4: Training & Culture / 1: Training,D1.TC.Tr.Int.1: Management incorporates lessons learned from social engineering and phishing exercises to improve the employee awareness programs.,Intermediate,Full Summarily,"ID.IM-03.01: A formal process is in place to improve protection controls and processes by integrating recommendations, findings, and lessons learned from exercises, testing, audits, assessments, and incidents.",ID.IM-03.01,IDENTIFY / Improvement / Improvements from Lessons Learned
1: Cyber Risk Management & Oversight / 4: Training & Culture / 1: Training,D1.TC.Tr.Int.1: Management incorporates lessons learned from social engineering and phishing exercises to improve the employee awareness programs.,Intermediate,Full Summarily,"PR.AT-01.03: Cybersecurity awareness training is updated on a regular basis to reflect risks and threats identified by the organization, the organization's security policies and standards, applicable laws and regulations, and changes in individual responsibilities.",PR.AT-01.03,PROTECT / Awareness and Training / User Awareness & Training
