,,,"NIST Cybersecurity Framework (CSF) ver. 2.0 (Feb. 2024) 
to CRI Profile ver. 2.1 Mapping (Functions, Categories, Subcategories)","NIST Cybersecurity Framework (CSF) ver. 2.0 (Feb. 2024) 
to CRI Profile ver. 2.1 Mapping (Functions, Categories, Subcategories)","NIST Cybersecurity Framework (CSF) ver. 2.0 (Feb. 2024) 
to CRI Profile ver. 2.1 Mapping (Functions, Categories, Subcategories)","NIST Cybersecurity Framework (CSF) ver. 2.0 (Feb. 2024) 
to CRI Profile ver. 2.1 Mapping (Functions, Categories, Subcategories)","NIST Cybersecurity Framework (CSF) ver. 2.0 (Feb. 2024) 
to CRI Profile ver. 2.1 Mapping (Functions, Categories, Subcategories)",,
89,PR.AA-06,S,"PR.AA-06: Physical access to assets is managed, monitored, and enforced commensurate with risk",Syntactic,equal,Same,"PR.AA-06: Physical access to assets is managed, monitored, and enforced commensurate with risk","PROTECT / Identity Management, Authentication, and Access Control / Physical Access",PR.AA-06
90,PR.AT,C,Awareness and Training (PR.AT): The organization's personnel are provided with cybersecurity awareness and training so that they can perform their cybersecurity-related tasks,Syntactic,equal,Same,Awareness and Training (PR.AT): The organization’s personnel are provided with cybersecurity awareness and training so that they can perform their cybersecurity-related tasks,PROTECT / Awareness and Training,PR.AT
91,PR.AT-01,S,PR.AT-01: Personnel are provided with awareness and training so that they possess the knowledge and skills to perform general tasks with cybersecurity risks in mind,Syntactic,equal,Same,PR.AT-01: Personnel are provided with awareness and training so that they possess the knowledge and skills to perform general tasks with cybersecurity risks in mind,PROTECT / Awareness and Training / User Awareness & Training,PR.AT-01
92,PR.AT-02,S,PR.AT-02: Individuals in specialized roles are provided with awareness and training so that they possess the knowledge and skills to perform relevant tasks with cybersecurity risks in mind,Syntactic,equal,Same,PR.AT-02: Individuals in specialized roles are provided with awareness and training so that they possess the knowledge and skills to perform relevant tasks with cybersecurity risks in mind,PROTECT / Awareness and Training / Specialized Role Awareness & Training,PR.AT-02
93,PR.DS,C,"Data Security (PR.DS): Data are managed consistent with the organization's risk strategy to protect the confidentiality, integrity, and availability of information",Syntactic,equal,Same,"Data Security (PR.DS): Data are managed consistent with the organization's risk strategy to protect the confidentiality, integrity, and availability of information",PROTECT / Data Security,PR.DS
94,PR.DS-01,S,"PR.DS-01: The confidentiality, integrity, and availability of data-at-rest are protected",Syntactic,equal,Same,"PR.DS-01: The confidentiality, integrity, and availability of data-at-rest are protected",PROTECT / Data Security / Protection of Data at Rest,PR.DS-01
95,PR.DS-02,S,"PR.DS-02: The confidentiality, integrity, and availability of data-in-transit are protected",Syntactic,equal,Same,"PR.DS-02: The confidentiality, integrity, and availability of data-in-transit are protected",PROTECT / Data Security / Protection of Data in Transit,PR.DS-02
96,PR.DS-10,S,"PR.DS-10: The confidentiality, integrity, and availability of data-in-use are protected",Syntactic,equal,Same,"PR.DS-10: The confidentiality, integrity, and availability of data-in-use are protected",PROTECT / Data Security / Protection of Data in Use,PR.DS-10
97,PR.DS-11,S,"PR.DS-11: Backups of data are created, protected, maintained, and tested",Syntactic,equal,Same,"PR.DS-11: Backups of data are created, protected, maintained, and tested",PROTECT / Data Security / Data Backup,PR.DS-11
98,PR.PS,C,"Platform Security (PR.PS): The hardware, software (e.g., firmware, operating systems, applications), and services of physical and virtual platforms are managed consistent with the organization's risk strategy to protect their confidentiality, integrity, and availability",Semantic,subset of,Same,"Platform Security (PR.PS): The hardware, software (e.g., firmware, operating systems, applications), and services of physical and virtual platforms are managed consistent with the organization’s risk strategy to protect their confidentiality, integrity, and availability",PROTECT / Platform Security,PR.PS
99,PR.PS-01,S,PR.PS-01: Configuration management practices are established and applied,Syntactic,equal,Same,PR.PS-01: Configuration management practices are established and applied,PROTECT / Platform Security / Configuration Management,PR.PS-01
100,PR.PS-02,S,"PR.PS-02: Software is maintained, replaced, and removed commensurate with risk",Semantic,subset of,Same,"PR.PS-02: Software is maintained, replaced, and removed commensurate with risk",PROTECT / Platform Security / Software Maintenance & Replacement,PR.PS-02
101,PR.PS-03,S,"PR.PS-03: Hardware is maintained, replaced, and removed commensurate with risk",Syntactic,equal,Same,"PR.PS-03: Hardware is maintained, replaced, and removed commensurate with risk",PROTECT / Platform Security / Hardware Maintenance,PR.PS-03
102,PR.PS-04,S,PR.PS-04: Log records are generated and made available for continuous monitoring,Semantic,subset of,Same,PR.PS-04: Log records are generated and made available for continuous monitoring,PROTECT / Platform Security / Log Record Generation,PR.PS-04
103,PR.PS-05,S,PR.PS-05: Installation and execution of unauthorized software are prevented,Syntactic,equal,Same,PR.PS-05: Installation and execution of unauthorized software are prevented,PROTECT / Platform Security / Unauthorized Software Installation & Execution,PR.PS-05
104,PR.PS-06,S,"PR.PS-06: Secure software development practices are integrated, and their performance is monitored throughout the software development life cycle",Semantic,subset of,Same,"PR.PS-06: Secure software development practices are integrated, and their performance is monitored throughout the software development life cycle",PROTECT / Platform Security / Secure Systems Development Practices,PR.PS-06
105,PR.PS-07,S,None,,not related to,(CRI Addition),PR.PS-07: The organization's technology operations and service and support functions are designed and managed to address business operational needs and stakeholder requirements.,"PROTECT / Platform Security / Technology Operations, Service, & Support",PR.PS-07
106,PR.IR,C,"Technology Infrastructure Resilience (PR.IR): Security architectures are managed with the organization's risk strategy to protect asset confidentiality, integrity, and availability, and organizational resilience",Semantic,subset of,(CRI Modified),"Technology Infrastructure Resilience (PR.IR): Technology and security architectures are managed with the organization's risk strategy to protect asset confidentiality, integrity, and availability, and organizational resilience",PROTECT / Technology Infrastructure Resilience,PR.IR
107,PR.IR-01,S,PR.IR-01: Networks and environments are protected from unauthorized logical access and usage,Syntactic,equal,Same,PR.IR-01: Networks and environments are protected from unauthorized logical access and usage,PROTECT / Technology Infrastructure Resilience / Logical Access Protections,PR.IR-01
108,PR.IR-02,S,PR.IR-02: The organization's technology assets are protected from environmental threats,Syntactic,equal,Same,PR.IR-02: The organization’s technology assets are protected from environmental threats,PROTECT / Technology Infrastructure Resilience / Environmental Threat Protections,PR.IR-02
109,PR.IR-03,S,PR.IR-03: Mechanisms are implemented to achieve resilience requirements in normal and adverse situations,Syntactic,equal,Same,PR.IR-03: Mechanisms are implemented to achieve resilience requirements in normal and adverse situations,PROTECT / Technology Infrastructure Resilience / Resilience Measures,PR.IR-03
110,PR.IR-04,S,PR.IR-04: Adequate resource capacity to ensure availability is maintained,Syntactic,equal,Same,PR.IR-04: Adequate resource capacity to ensure availability is maintained,PROTECT / Technology Infrastructure Resilience / Capacity Management,PR.IR-04
111,DE,F,DETECT (DE): Possible cybersecurity attacks and compromises are found and analyzed,Semantic,subset of,(CRI Modified),"DETECT (DE): Possible cybersecurity attacks and compromises, and other operationally adverse events, are found and analyzed",DETECT,DE
112,DE.CM,C,"Continuous Monitoring (DE.CM): Assets are monitored to find anomalies, indicators of compromise, and other potentially adverse events",Semantic,subset of,Same,"Continuous Monitoring (DE.CM): Assets are monitored to find anomalies, indicators of compromise, and other potentially adverse events",DETECT / Continuous Monitoring,DE.CM
113,DE.CM-01,S,DE.CM-01: Networks and network services are monitored to find potentially adverse events,Syntactic,equal,Same,DE.CM-01: Networks and network services are monitored to find potentially adverse events,DETECT / Continuous Monitoring / Network Monitoring,DE.CM-01
114,DE.CM-02,S,DE.CM-02: The physical environment is monitored to find potentially adverse events,Syntactic,equal,Same,DE.CM-02: The physical environment is monitored to find potentially adverse events,DETECT / Continuous Monitoring / Physical Environment Monitoring,DE.CM-02
115,DE.CM-03,S,DE.CM-03: Personnel activity and technology usage are monitored to find potentially adverse events,Syntactic,equal,Same,DE.CM-03: Personnel activity and technology usage are monitored to find potentially adverse events,DETECT / Continuous Monitoring / Personnel Activity Monitoring,DE.CM-03
116,DE.CM-06,S,DE.CM-06: External service provider activities and services are monitored to find potentially adverse events,Semantic,subset of,Same,DE.CM-06: External service provider activities and services are monitored to find potentially adverse events,DETECT / Continuous Monitoring / Service Provider Monitoring,DE.CM-06
117,DE.CM-09,S,"DE.CM-09: Computing hardware and software, runtime environments, and their data are monitored to find potentially adverse events",Semantic,subset of,Same,"DE.CM-09: Computing hardware and software, runtime environments, and their data are monitored to find potentially adverse events","DETECT / Continuous Monitoring / Hardware, Software, & Data Monitoring",DE.CM-09
118,DE.AE,C,"Adverse Event Analysis (DE.AE): Anomalies, indicators of compromise, and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",Semantic,subset of,Same,"Adverse Event Analysis (DE.AE): Anomalies, indicators of compromise, and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DETECT / Adverse Event Analysis,DE.AE
119,DE.AE-02,S,DE.AE-02: Potentially adverse events are analyzed to better understand associated activities,Semantic,subset of,Same,DE.AE-02: Potentially adverse events are analyzed to better understand associated activities,DETECT / Adverse Event Analysis / Potentially Adverse Event Analysis,DE.AE-02
120,DE.AE-03,S,DE.AE-03: Information is correlated from multiple sources,Semantic,subset of,Same,DE.AE-03: Information is correlated from multiple sources,DETECT / Adverse Event Analysis / Event Information Correlation,DE.AE-03
121,DE.AE-04,S,DE.AE-04: The estimated impact and scope of adverse events are understood,Semantic,subset of,Same,DE.AE-04: The estimated impact and scope of adverse events are understood,DETECT / Adverse Event Analysis / Impact & Scope Determination,DE.AE-04
122,DE.AE-06,S,DE.AE-06: Information on adverse events is provided to authorized staff and tools,Semantic,subset of,Same,DE.AE-06: Information on adverse events is provided to authorized staff and tools,DETECT / Adverse Event Analysis / Event Information Sharing,DE.AE-06
123,DE.AE-07,S,DE.AE-07: Cyber threat intelligence and other contextual information are integrated into the analysis,Syntactic,equal,Same,DE.AE-07: Cyber threat intelligence and other contextual information are integrated into the analysis,DETECT / Adverse Event Analysis / Contextual Analysis,DE.AE-07
124,DE.AE-08,S,DE.AE-08: Incidents are declared when adverse events meet the defined incident criteria,Syntactic,equal,Same,DE.AE-08: Incidents are declared when adverse events meet the defined incident criteria,DETECT / Adverse Event Analysis / Incident Declaration,DE.AE-08
125,RS,F,RESPOND (RS): Actions regarding a detected cybersecurity incident are taken,Semantic,subset of,(CRI Modified),RESPOND (RS): Actions regarding a detected adverse incidents are taken,RESPOND,RS
126,RS.MA,C,Incident Management (RS.MA): Responses to detected cybersecurity incidents are managed,Semantic,subset of,(CRI Modified),Incident Management (RS.MA): Responses to detected adverse incidents are managed,RESPOND / Incident Management,RS.MA
127,RS.MA-01,S,RS.MA-01: The incident response plan is executed in coordination with relevant third parties once an incident is declared,Semantic,subset of,Same,RS.MA-01: The incident response plan is executed in coordination with relevant third parties once an incident is declared,RESPOND / Incident Management / Response Plan Execution,RS.MA-01
128,RS.MA-02,S,RS.MA-02: Incident reports are triaged and validated,Semantic,subset of,Same,RS.MA-02: Incident reports are triaged and validated,RESPOND / Incident Management / Incident Triage & Validation,RS.MA-02
129,RS.MA-03,S,RS.MA-03: Incidents are categorized and prioritized,Semantic,subset of,Same,RS.MA-03: Incidents are categorized and prioritized,RESPOND / Incident Management / Incident Categorization & Prioritization,RS.MA-03
130,RS.MA-04,S,RS.MA-04: Incidents are escalated or elevated as needed,Semantic,subset of,Same,RS.MA-04: Incidents are escalated or elevated as needed,RESPOND / Incident Management / Incident Escalation,RS.MA-04
131,RS.MA-05,S,RS.MA-05: The criteria for initiating incident recovery are applied,Semantic,subset of,Same,RS.MA-05: The criteria for initiating incident recovery are applied,RESPOND / Incident Management / Recovery Initiation,RS.MA-05
132,RS.AN,C,Incident Analysis (RS.AN): Investigations are conducted to ensure effective response and support forensics and recovery activities,Semantic,subset of,Same,Incident Analysis (RS.AN): Investigations are conducted to ensure effective response and support forensics and recovery activities,RESPOND / Incident Analysis,RS.AN
133,RS.AN-03,S,RS.AN-03: Analysis is performed to establish what has taken place during an incident and the root cause of the incident,Semantic,subset of,Same,RS.AN-03: Analysis is performed to establish what has taken place during an incident and the root cause of the incident,RESPOND / Incident Analysis / Incident Analysis & Root Cause Determination,RS.AN-03
134,RS.AN-06,S,"RS.AN-06: Actions performed during an investigation are recorded, and the records' integrity and provenance are preserved",Semantic,subset of,Same,"RS.AN-06: Actions performed during an investigation are recorded, and the records’ integrity and provenance are preserved",RESPOND / Incident Analysis / Investigation Documentation,RS.AN-06
135,RS.AN-07,S,"RS.AN-07: Incident data and metadata are collected, and their integrity and provenance are preserved",Semantic,subset of,Same,"RS.AN-07: Incident data and metadata are collected, and their integrity and provenance are preserved",RESPOND / Incident Analysis / Incident Data Collection & Preservation,RS.AN-07
136,RS.AN-08,S,RS.AN-08: An incident's magnitude is estimated and validated,Semantic,subset of,Same,RS.AN-08: An incident's magnitude is estimated and validated,RESPOND / Incident Analysis / Incident Magnitude Determination,RS.AN-08
137,RS.CO,C,"Incident Response Reporting and Communication (RS.CO): Response activities are coordinated with internal and external stakeholders as required by laws, regulations, or policies",Syntactic,equal,Same,"Incident Response Reporting and Communication (RS.CO): Response activities are coordinated with internal and external stakeholders as required by laws, regulations, or policies",RESPOND / Incident Response Reporting and Communication,RS.CO
138,RS.CO-02,S,RS.CO-02: Internal and external stakeholders are notified of incidents,Syntactic,equal,Same,RS.CO-02: Internal and external stakeholders are notified of incidents,RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Notification,RS.CO-02
139,RS.CO-03,S,RS.CO-03: Information is shared with designated internal and external stakeholders,Syntactic,equal,Same,RS.CO-03: Information is shared with designated internal and external stakeholders,RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Information Sharing,RS.CO-03
140,RS.MI,C,Incident Mitigation (RS.MI): Activities are performed to prevent expansion of an event and mitigate its effects,Semantic,subset of,Same,Incident Mitigation (RS.MI): Activities are performed to prevent expansion of an event and mitigate its effects,RESPOND / Incident Mitigation,RS.MI
141,RS.MI-01,S,RS.MI-01: Incidents are contained,Semantic,subset of,Same,RS.MI-01: Incidents are contained,RESPOND / Incident Mitigation / Incident Containment,RS.MI-01
142,RS.MI-02,S,RS.MI-02: Incidents are eradicated,Semantic,subset of,Same,RS.MI-02: Incidents are eradicated,RESPOND / Incident Mitigation / Incident Eradication,RS.MI-02
143,RC,F,RECOVER (RC): Assets and operations affected by a cybersecurity incident are restored,Semantic,subset of,(CRI Modified),RECOVER (RC): Assets and operations affected by an adverse incident are restored,RECOVER,RC
144,RC.RP,C,Incident Recovery Plan Execution (RC.RP): Restoration activities are performed to ensure operational availability of systems and services affected by cybersecurity incidents,Semantic,subset of,(CRI Modified),Incident Recovery Plan Execution (RC.RP): Restoration activities are performed to ensure operational availability of systems and services affected by adverse incidents,RECOVER / Incident Recovery Plan Execution,RC.RP
145,RC.RP-01,S,RC.RP-01: The recovery portion of the incident response plan is executed once initiated from the incident response process,Semantic,subset of,Same,RC.RP-01: The recovery portion of the incident response plan is executed once initiated from the incident response process,RECOVER / Incident Recovery Plan Execution / Recovery Plan Execution,RC.RP-01
146,RC.RP-02,S,"RC.RP-02: Recovery actions are selected, scoped, prioritized, and performed",Semantic,subset of,Same,"RC.RP-02: Recovery actions are selected, scoped, prioritized, and performed",RECOVER / Incident Recovery Plan Execution / Recovery Action Performance,RC.RP-02
147,RC.RP-03,S,RC.RP-03: The integrity of backups and other restoration assets is verified before using them for restoration,Semantic,subset of,Same,RC.RP-03: The integrity of backups and other restoration assets is verified before using them for restoration,RECOVER / Incident Recovery Plan Execution / Backup & Restoration Asset Integrity,RC.RP-03
148,RC.RP-04,S,RC.RP-04: Critical mission functions and cybersecurity risk management are considered to establish post-incident operational norms,Syntactic,equal,Same,RC.RP-04: Critical mission functions and cybersecurity risk management are considered to establish post-incident operational norms,RECOVER / Incident Recovery Plan Execution / Post-Incident Operational Norms,RC.RP-04
149,RC.RP-05,S,"RC.RP-05: The integrity of restored assets is verified, systems and services are restored, and normal operating status is confirmed",Syntactic,equal,Same,"RC.RP-05: The integrity of restored assets is verified, systems and services are restored, and normal operating status is confirmed",RECOVER / Incident Recovery Plan Execution / Asset Integrity Restoration,RC.RP-05
150,RC.RP-06,S,"RC.RP-06: The end of incident recovery is declared based on criteria, and incident-related documentation is completed",Syntactic,equal,Same,"RC.RP-06: The end of incident recovery is declared based on criteria, and incident-related documentation is completed",RECOVER / Incident Recovery Plan Execution / End-of-Incident Determination,RC.RP-06
151,RC.CO,C,Incident Recovery Communication (RC.CO): Restoration activities are coordinated with internal and external parties,Syntactic,equal,Same,Incident Recovery Communication (RC.CO): Restoration activities are coordinated with internal and external parties,RECOVER / Incident Recovery Communication,RC.CO
152,RC.CO-03,S,RC.CO-03: Recovery activities and progress in restoring operational capabilities are communicated to designated internal and external stakeholders,Syntactic,equal,Same,RC.CO-03: Recovery activities and progress in restoring operational capabilities are communicated to designated internal and external stakeholders,RECOVER / Incident Recovery Communication / Recovery Activity Communication,RC.CO-03
153,RC.CO-04,S,RC.CO-04: Public updates on incident recovery are shared using approved methods and messaging,Syntactic,equal,Same,RC.CO-04: Public updates on incident recovery are shared using approved methods and messaging,RECOVER / Incident Recovery Communication / Public Information Sharing,RC.CO-04
154,EX,F,None,,not related to,(CRI Addition),"EXTEND (EX): Extend organizational risk management policy and practices over the life cycle of third- (and nth-) party relationships, products, and services",EXTEND,EX
