,,National Association of Insurance Commissioners (NAIC) Insurance Data Security Model Law (IDSML) to CRI Profile ver. 2.1 Mapping,National Association of Insurance Commissioners (NAIC) Insurance Data Security Model Law (IDSML) to CRI Profile ver. 2.1 Mapping,National Association of Insurance Commissioners (NAIC) Insurance Data Security Model Law (IDSML) to CRI Profile ver. 2.1 Mapping,,,,,,,,,
NAIC-IDSML-03,Section 4,Information Security Program,C. Risk Assessment,"The Licensee shall: 
(1) Designate one or more employees, an affiliate, or an outside vendor designated to act on behalf of the Licensee who is responsible for the Information Security Program;
(2) Identify reasonably foreseeable internal or external threats that could result in unauthorized access, transmission, disclosure, misuse, alteration or destruction of Nonpublic Information, including the security of Information Systems and Nonpublic Information that are accessible to, or held by, Third-Party Service Providers;
(3) Assess the likelihood and potential damage of these threats, taking into consideration the sensitivity of the Nonpublic Information;
(4) Assess the sufficiency of policies, procedures, Information Systems and other safeguards in place to manage these threats, including consideration of threats in each relevant area of the Licensee’s operations, including:
(a) Employee training and management;
(b) Information Systems, including network and software design, as well as information classification, governance, processing, storage, transmission, and disposal; and
(c) Detecting, preventing, and responding to attacks, intrusions, or other systems failures; and
(5) Implement information safeguards to manage the threats identified in its ongoing assessment, and no less than annually, assess the effectiveness of the safeguards’ key controls, systems, and procedures.",Semantic,Intersects with,9,10,"ID.RA-03.03: The organization includes in its threat analysis those cyber threats which could trigger extreme but plausible cyber events, even if they are considered unlikely to occur or have never occurred in the past.",IDENTIFY / Risk Assessment / Threat Identification,057.118,ID.RA-03.03,
NAIC-IDSML-03,Section 4,Information Security Program,C. Risk Assessment,"The Licensee shall: 
(1) Designate one or more employees, an affiliate, or an outside vendor designated to act on behalf of the Licensee who is responsible for the Information Security Program;
(2) Identify reasonably foreseeable internal or external threats that could result in unauthorized access, transmission, disclosure, misuse, alteration or destruction of Nonpublic Information, including the security of Information Systems and Nonpublic Information that are accessible to, or held by, Third-Party Service Providers;
(3) Assess the likelihood and potential damage of these threats, taking into consideration the sensitivity of the Nonpublic Information;
(4) Assess the sufficiency of policies, procedures, Information Systems and other safeguards in place to manage these threats, including consideration of threats in each relevant area of the Licensee’s operations, including:
(a) Employee training and management;
(b) Information Systems, including network and software design, as well as information classification, governance, processing, storage, transmission, and disposal; and
(c) Detecting, preventing, and responding to attacks, intrusions, or other systems failures; and
(5) Implement information safeguards to manage the threats identified in its ongoing assessment, and no less than annually, assess the effectiveness of the safeguards’ key controls, systems, and procedures.",Semantic,Superset of,9,10,ID.RA-04.01: The organization's risk assessment approach includes the analysis and characterization of the likelihood and potential business impact of identified risks being realized.,IDENTIFY / Risk Assessment / Impact & Likelihood Analysis,058.120,ID.RA-04.01,
NAIC-IDSML-03,Section 4,Information Security Program,C. Risk Assessment,"The Licensee shall: 
(1) Designate one or more employees, an affiliate, or an outside vendor designated to act on behalf of the Licensee who is responsible for the Information Security Program;
(2) Identify reasonably foreseeable internal or external threats that could result in unauthorized access, transmission, disclosure, misuse, alteration or destruction of Nonpublic Information, including the security of Information Systems and Nonpublic Information that are accessible to, or held by, Third-Party Service Providers;
(3) Assess the likelihood and potential damage of these threats, taking into consideration the sensitivity of the Nonpublic Information;
(4) Assess the sufficiency of policies, procedures, Information Systems and other safeguards in place to manage these threats, including consideration of threats in each relevant area of the Licensee’s operations, including:
(a) Employee training and management;
(b) Information Systems, including network and software design, as well as information classification, governance, processing, storage, transmission, and disposal; and
(c) Detecting, preventing, and responding to attacks, intrusions, or other systems failures; and
(5) Implement information safeguards to manage the threats identified in its ongoing assessment, and no less than annually, assess the effectiveness of the safeguards’ key controls, systems, and procedures.",Semantic,Superset of,9,10,"ID.RA-05.01: Threats, vulnerabilities, likelihoods, and impacts are used to determine overall technology, cybersecurity, and resilience risk to the organization.",IDENTIFY / Risk Assessment / Risk Exposure Determination & Prioritization,059.121,ID.RA-05.01,
NAIC-IDSML-03,Section 4,Information Security Program,C. Risk Assessment,"The Licensee shall: 
(1) Designate one or more employees, an affiliate, or an outside vendor designated to act on behalf of the Licensee who is responsible for the Information Security Program;
(2) Identify reasonably foreseeable internal or external threats that could result in unauthorized access, transmission, disclosure, misuse, alteration or destruction of Nonpublic Information, including the security of Information Systems and Nonpublic Information that are accessible to, or held by, Third-Party Service Providers;
(3) Assess the likelihood and potential damage of these threats, taking into consideration the sensitivity of the Nonpublic Information;
(4) Assess the sufficiency of policies, procedures, Information Systems and other safeguards in place to manage these threats, including consideration of threats in each relevant area of the Licensee’s operations, including:
(a) Employee training and management;
(b) Information Systems, including network and software design, as well as information classification, governance, processing, storage, transmission, and disposal; and
(c) Detecting, preventing, and responding to attacks, intrusions, or other systems failures; and
(5) Implement information safeguards to manage the threats identified in its ongoing assessment, and no less than annually, assess the effectiveness of the safeguards’ key controls, systems, and procedures.",Semantic,Superset of,9,10,"ID.RA-05.02: The organization has established threat modeling capabilities to identify how and why critical assets might be compromised by a threat actor, what level of protection is needed for those critical assets, and what the impact would be if that protection failed.",IDENTIFY / Risk Assessment / Risk Exposure Determination & Prioritization,059.122,ID.RA-05.02,
NAIC-IDSML-03,Section 4,Information Security Program,C. Risk Assessment,"The Licensee shall: 
(1) Designate one or more employees, an affiliate, or an outside vendor designated to act on behalf of the Licensee who is responsible for the Information Security Program;
(2) Identify reasonably foreseeable internal or external threats that could result in unauthorized access, transmission, disclosure, misuse, alteration or destruction of Nonpublic Information, including the security of Information Systems and Nonpublic Information that are accessible to, or held by, Third-Party Service Providers;
(3) Assess the likelihood and potential damage of these threats, taking into consideration the sensitivity of the Nonpublic Information;
(4) Assess the sufficiency of policies, procedures, Information Systems and other safeguards in place to manage these threats, including consideration of threats in each relevant area of the Licensee’s operations, including:
(a) Employee training and management;
(b) Information Systems, including network and software design, as well as information classification, governance, processing, storage, transmission, and disposal; and
(c) Detecting, preventing, and responding to attacks, intrusions, or other systems failures; and
(5) Implement information safeguards to manage the threats identified in its ongoing assessment, and no less than annually, assess the effectiveness of the safeguards’ key controls, systems, and procedures.",Semantic,Superset of,9,10,"ID.RA-05.04: The organization uses scenario planning, table-top-exercises, or similar event analysis techniques to identify vulnerabilities and determine potential impacts to critical infrastructure, technology, and business processes.",IDENTIFY / Risk Assessment / Risk Exposure Determination & Prioritization,059.124,ID.RA-05.04,
NAIC-IDSML-03,Section 4,Information Security Program,C. Risk Assessment,"The Licensee shall: 
(1) Designate one or more employees, an affiliate, or an outside vendor designated to act on behalf of the Licensee who is responsible for the Information Security Program;
(2) Identify reasonably foreseeable internal or external threats that could result in unauthorized access, transmission, disclosure, misuse, alteration or destruction of Nonpublic Information, including the security of Information Systems and Nonpublic Information that are accessible to, or held by, Third-Party Service Providers;
(3) Assess the likelihood and potential damage of these threats, taking into consideration the sensitivity of the Nonpublic Information;
(4) Assess the sufficiency of policies, procedures, Information Systems and other safeguards in place to manage these threats, including consideration of threats in each relevant area of the Licensee’s operations, including:
(a) Employee training and management;
(b) Information Systems, including network and software design, as well as information classification, governance, processing, storage, transmission, and disposal; and
(c) Detecting, preventing, and responding to attacks, intrusions, or other systems failures; and
(5) Implement information safeguards to manage the threats identified in its ongoing assessment, and no less than annually, assess the effectiveness of the safeguards’ key controls, systems, and procedures.",Semantic,Superset of,9,10,"ID.RA-06.03: Technology and cybersecurity programs identify and implement controls to manage applicable risks within the risk appetite set by the governing authority (e.g., the Board or one of its committees).",IDENTIFY / Risk Assessment / Risk Response Determination,060.127,ID.RA-06.03,
NAIC-IDSML-03,Section 4,Information Security Program,C. Risk Assessment,"The Licensee shall: 
(1) Designate one or more employees, an affiliate, or an outside vendor designated to act on behalf of the Licensee who is responsible for the Information Security Program;
(2) Identify reasonably foreseeable internal or external threats that could result in unauthorized access, transmission, disclosure, misuse, alteration or destruction of Nonpublic Information, including the security of Information Systems and Nonpublic Information that are accessible to, or held by, Third-Party Service Providers;
(3) Assess the likelihood and potential damage of these threats, taking into consideration the sensitivity of the Nonpublic Information;
(4) Assess the sufficiency of policies, procedures, Information Systems and other safeguards in place to manage these threats, including consideration of threats in each relevant area of the Licensee’s operations, including:
(a) Employee training and management;
(b) Information Systems, including network and software design, as well as information classification, governance, processing, storage, transmission, and disposal; and
(c) Detecting, preventing, and responding to attacks, intrusions, or other systems failures; and
(5) Implement information safeguards to manage the threats identified in its ongoing assessment, and no less than annually, assess the effectiveness of the safeguards’ key controls, systems, and procedures.",Semantic,Superset of,9,10,"ID.RA-06.04: The organization assesses the threats, impacts, and risks that could adversely affect the organization's ability to provide services on an ongoing basis, and develops its resilience requirements and plans to address those risks.",IDENTIFY / Risk Assessment / Risk Response Determination,060.128,ID.RA-06.04,
NAIC-IDSML-03,Section 4,Information Security Program,C. Risk Assessment,"The Licensee shall: 
(1) Designate one or more employees, an affiliate, or an outside vendor designated to act on behalf of the Licensee who is responsible for the Information Security Program;
(2) Identify reasonably foreseeable internal or external threats that could result in unauthorized access, transmission, disclosure, misuse, alteration or destruction of Nonpublic Information, including the security of Information Systems and Nonpublic Information that are accessible to, or held by, Third-Party Service Providers;
(3) Assess the likelihood and potential damage of these threats, taking into consideration the sensitivity of the Nonpublic Information;
(4) Assess the sufficiency of policies, procedures, Information Systems and other safeguards in place to manage these threats, including consideration of threats in each relevant area of the Licensee’s operations, including:
(a) Employee training and management;
(b) Information Systems, including network and software design, as well as information classification, governance, processing, storage, transmission, and disposal; and
(c) Detecting, preventing, and responding to attacks, intrusions, or other systems failures; and
(5) Implement information safeguards to manage the threats identified in its ongoing assessment, and no less than annually, assess the effectiveness of the safeguards’ key controls, systems, and procedures.",Semantic,Superset of,9,10,"ID.RA-06.06: The organization follows documented procedures, consistent with established risk response processes, for mitigating or accepting the risk of vulnerabilities or weaknesses identified in exercises and testing or when responding to incidents.",IDENTIFY / Risk Assessment / Risk Response Determination,060.130,ID.RA-06.06,
NAIC-IDSML-03,Section 4,Information Security Program,C. Risk Assessment,"The Licensee shall: 
(1) Designate one or more employees, an affiliate, or an outside vendor designated to act on behalf of the Licensee who is responsible for the Information Security Program;
(2) Identify reasonably foreseeable internal or external threats that could result in unauthorized access, transmission, disclosure, misuse, alteration or destruction of Nonpublic Information, including the security of Information Systems and Nonpublic Information that are accessible to, or held by, Third-Party Service Providers;
(3) Assess the likelihood and potential damage of these threats, taking into consideration the sensitivity of the Nonpublic Information;
(4) Assess the sufficiency of policies, procedures, Information Systems and other safeguards in place to manage these threats, including consideration of threats in each relevant area of the Licensee’s operations, including:
(a) Employee training and management;
(b) Information Systems, including network and software design, as well as information classification, governance, processing, storage, transmission, and disposal; and
(c) Detecting, preventing, and responding to attacks, intrusions, or other systems failures; and
(5) Implement information safeguards to manage the threats identified in its ongoing assessment, and no less than annually, assess the effectiveness of the safeguards’ key controls, systems, and procedures.",Semantic,Superset of,9,10,"ID.RA-08.01: The organization has established enterprise processes for soliciting, receiving and appropriately channeling vulnerability disclosures from:
(1) Public sources (e.g., customers and security researchers);
(2) Vulnerability sharing forums (e.g., FS-ISAC); and
(3) Third-parties (e.g., cloud vendors);
(4) Internal sources (e.g., development teams).",IDENTIFY / Risk Assessment / Vulnerability Disclosure Response,062.136,ID.RA-08.01,
NAIC-IDSML-03,Section 4,Information Security Program,C. Risk Assessment,"The Licensee shall: 
(1) Designate one or more employees, an affiliate, or an outside vendor designated to act on behalf of the Licensee who is responsible for the Information Security Program;
(2) Identify reasonably foreseeable internal or external threats that could result in unauthorized access, transmission, disclosure, misuse, alteration or destruction of Nonpublic Information, including the security of Information Systems and Nonpublic Information that are accessible to, or held by, Third-Party Service Providers;
(3) Assess the likelihood and potential damage of these threats, taking into consideration the sensitivity of the Nonpublic Information;
(4) Assess the sufficiency of policies, procedures, Information Systems and other safeguards in place to manage these threats, including consideration of threats in each relevant area of the Licensee’s operations, including:
(a) Employee training and management;
(b) Information Systems, including network and software design, as well as information classification, governance, processing, storage, transmission, and disposal; and
(c) Detecting, preventing, and responding to attacks, intrusions, or other systems failures; and
(5) Implement information safeguards to manage the threats identified in its ongoing assessment, and no less than annually, assess the effectiveness of the safeguards’ key controls, systems, and procedures.",Semantic,Superset of,9,10,"ID.IM-01.01: Technology, cybersecurity, and resilience controls are regularly assessed and/or tested for design and operating effectiveness.",IDENTIFY / Improvement / Continuous Improvements Evaluation,064.138,ID.IM-01.01,
NAIC-IDSML-03,Section 4,Information Security Program,C. Risk Assessment,"The Licensee shall: 
(1) Designate one or more employees, an affiliate, or an outside vendor designated to act on behalf of the Licensee who is responsible for the Information Security Program;
(2) Identify reasonably foreseeable internal or external threats that could result in unauthorized access, transmission, disclosure, misuse, alteration or destruction of Nonpublic Information, including the security of Information Systems and Nonpublic Information that are accessible to, or held by, Third-Party Service Providers;
(3) Assess the likelihood and potential damage of these threats, taking into consideration the sensitivity of the Nonpublic Information;
(4) Assess the sufficiency of policies, procedures, Information Systems and other safeguards in place to manage these threats, including consideration of threats in each relevant area of the Licensee’s operations, including:
(a) Employee training and management;
(b) Information Systems, including network and software design, as well as information classification, governance, processing, storage, transmission, and disposal; and
(c) Detecting, preventing, and responding to attacks, intrusions, or other systems failures; and
(5) Implement information safeguards to manage the threats identified in its ongoing assessment, and no less than annually, assess the effectiveness of the safeguards’ key controls, systems, and procedures.",Semantic,Intersects with,9,10,"ID.IM-04.01: The organization's business continuity, disaster recovery, crisis management, and response plans are in place and managed, aligned with each other, and incorporate considerations of cyber incidents.",<div>IDENTIFY / Improvement / Plans Affecting Operations</div>,067.154,ID.IM-04.01,
NAIC-IDSML-03,Section 4,Information Security Program,C. Risk Assessment,"The Licensee shall: 
(1) Designate one or more employees, an affiliate, or an outside vendor designated to act on behalf of the Licensee who is responsible for the Information Security Program;
(2) Identify reasonably foreseeable internal or external threats that could result in unauthorized access, transmission, disclosure, misuse, alteration or destruction of Nonpublic Information, including the security of Information Systems and Nonpublic Information that are accessible to, or held by, Third-Party Service Providers;
(3) Assess the likelihood and potential damage of these threats, taking into consideration the sensitivity of the Nonpublic Information;
(4) Assess the sufficiency of policies, procedures, Information Systems and other safeguards in place to manage these threats, including consideration of threats in each relevant area of the Licensee’s operations, including:
(a) Employee training and management;
(b) Information Systems, including network and software design, as well as information classification, governance, processing, storage, transmission, and disposal; and
(c) Detecting, preventing, and responding to attacks, intrusions, or other systems failures; and
(5) Implement information safeguards to manage the threats identified in its ongoing assessment, and no less than annually, assess the effectiveness of the safeguards’ key controls, systems, and procedures.",Semantic,Intersects with,9,10,"PR.AT-01.02: Cybersecurity awareness training includes, at a minimum, awareness of and competencies for data protection, personal data handling, compliance obligations, working with third parties, detecting cyber risks, and how to report any unusual activity or incidents.",PROTECT / Awareness and Training / User Awareness & Training,077.176,PR.AT-01.02,
NAIC-IDSML-03,Section 4,Information Security Program,C. Risk Assessment,"The Licensee shall: 
(1) Designate one or more employees, an affiliate, or an outside vendor designated to act on behalf of the Licensee who is responsible for the Information Security Program;
(2) Identify reasonably foreseeable internal or external threats that could result in unauthorized access, transmission, disclosure, misuse, alteration or destruction of Nonpublic Information, including the security of Information Systems and Nonpublic Information that are accessible to, or held by, Third-Party Service Providers;
(3) Assess the likelihood and potential damage of these threats, taking into consideration the sensitivity of the Nonpublic Information;
(4) Assess the sufficiency of policies, procedures, Information Systems and other safeguards in place to manage these threats, including consideration of threats in each relevant area of the Licensee’s operations, including:
(a) Employee training and management;
(b) Information Systems, including network and software design, as well as information classification, governance, processing, storage, transmission, and disposal; and
(c) Detecting, preventing, and responding to attacks, intrusions, or other systems failures; and
(5) Implement information safeguards to manage the threats identified in its ongoing assessment, and no less than annually, assess the effectiveness of the safeguards’ key controls, systems, and procedures.",Semantic,Intersects with,9,10,"PR.AT-01.03: Cybersecurity awareness training is updated on a regular basis to reflect risks and threats identified by the organization, the organization's security policies and standards, applicable laws and regulations, and changes in individual responsibilities.",PROTECT / Awareness and Training / User Awareness & Training,077.177,PR.AT-01.03,
NAIC-IDSML-03,Section 4,Information Security Program,C. Risk Assessment,"The Licensee shall: 
(1) Designate one or more employees, an affiliate, or an outside vendor designated to act on behalf of the Licensee who is responsible for the Information Security Program;
(2) Identify reasonably foreseeable internal or external threats that could result in unauthorized access, transmission, disclosure, misuse, alteration or destruction of Nonpublic Information, including the security of Information Systems and Nonpublic Information that are accessible to, or held by, Third-Party Service Providers;
(3) Assess the likelihood and potential damage of these threats, taking into consideration the sensitivity of the Nonpublic Information;
(4) Assess the sufficiency of policies, procedures, Information Systems and other safeguards in place to manage these threats, including consideration of threats in each relevant area of the Licensee’s operations, including:
(a) Employee training and management;
(b) Information Systems, including network and software design, as well as information classification, governance, processing, storage, transmission, and disposal; and
(c) Detecting, preventing, and responding to attacks, intrusions, or other systems failures; and
(5) Implement information safeguards to manage the threats identified in its ongoing assessment, and no less than annually, assess the effectiveness of the safeguards’ key controls, systems, and procedures.",Semantic,Intersects with,9,10,"PR.AT-02.01: Mechanisms are in place to ensure that the personnel working with cybersecurity and technology (e.g., developers, DBAs, network admins, etc.) maintain current knowledge and skills related to changing threats, countermeasures, new tools, best practices, and their job responsibilities.",PROTECT / Awareness and Training / Specialized Role Awareness & Training,078.179,PR.AT-02.01,
NAIC-IDSML-04,Section 4,Information Security Program,E. Oversight by Board of Directors,"If the Licensee has a board of directors, the board or an appropriate committee of the board shall, at a minimum: 
(1) Require the Licensee’s executive management or its delegates to develop, implement, and maintain the Licensee’s Information Security Program;
(2) Require the Licensee’s executive management or its delegates to report in writing at least annually, the following information:
(a) The overall status of the Information Security Program and the Licensee’s compliance with this Act; and
(b) Material matters related to the Information Security Program, addressing issues such as risk assessment, risk management and control decisions, Third-Party Service Provider arrangements, results of testing, Cybersecurity Events or violations and management’s responses thereto, and recommendations for changes in the Information Security Program.
(3) If executive management delegates any of its responsibilities under Section 4 of this Act, it shall oversee the development, implementation and maintenance of the Licensee’s Information Security Program prepared by the delegate(s) and shall receive a report from the delegate(s) complying with the requirements of the report to the Board of Directors above.",Semantic,Superset of,9,10,"GV.RM-01.01: Technology and cybersecurity risk management strategies and frameworks are approved by the governing authority (e.g., the Board or one of its committees) and incorporated into the overall business strategy and enterprise risk management framework.",GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,009.015,GV.RM-01.01,
NAIC-IDSML-04,Section 4,Information Security Program,E. Oversight by Board of Directors,"If the Licensee has a board of directors, the board or an appropriate committee of the board shall, at a minimum: 
(1) Require the Licensee’s executive management or its delegates to develop, implement, and maintain the Licensee’s Information Security Program;
(2) Require the Licensee’s executive management or its delegates to report in writing at least annually, the following information:
(a) The overall status of the Information Security Program and the Licensee’s compliance with this Act; and
(b) Material matters related to the Information Security Program, addressing issues such as risk assessment, risk management and control decisions, Third-Party Service Provider arrangements, results of testing, Cybersecurity Events or violations and management’s responses thereto, and recommendations for changes in the Information Security Program.
(3) If executive management delegates any of its responsibilities under Section 4 of this Act, it shall oversee the development, implementation and maintenance of the Licensee’s Information Security Program prepared by the delegate(s) and shall receive a report from the delegate(s) complying with the requirements of the report to the Board of Directors above.",Semantic,Superset of,9,10,"GV.RM-02.01: The governing authority (e.g., the Board or one of its committees) endorses and regularly reviews technology and cybersecurity risk appetite and is regularly informed about the status of, and material changes to, the organization's inherent risk profile.",GOVERN / Risk Management Strategy / Risk Appetite & Risk Tolerance Statements,010.020,GV.RM-02.01,
NAIC-IDSML-04,Section 4,Information Security Program,E. Oversight by Board of Directors,"If the Licensee has a board of directors, the board or an appropriate committee of the board shall, at a minimum: 
(1) Require the Licensee’s executive management or its delegates to develop, implement, and maintain the Licensee’s Information Security Program;
(2) Require the Licensee’s executive management or its delegates to report in writing at least annually, the following information:
(a) The overall status of the Information Security Program and the Licensee’s compliance with this Act; and
(b) Material matters related to the Information Security Program, addressing issues such as risk assessment, risk management and control decisions, Third-Party Service Provider arrangements, results of testing, Cybersecurity Events or violations and management’s responses thereto, and recommendations for changes in the Information Security Program.
(3) If executive management delegates any of its responsibilities under Section 4 of this Act, it shall oversee the development, implementation and maintenance of the Licensee’s Information Security Program prepared by the delegate(s) and shall receive a report from the delegate(s) complying with the requirements of the report to the Board of Directors above.",Semantic,Superset of,9,10,"GV.RM-04.01: The governing authority (e.g., the Board or one of its committees) and senior management provide guidance, direction, and credible challenge in the design and implementation of risk management strategies, assessment of identified risks against risk appetite and risk tolerance, and in the selection of risk treatment approaches.",GOVERN / Risk Management Strategy / Risk Response Strategic Direction,012.027,GV.RM-04.01,
NAIC-IDSML-04,Section 4,Information Security Program,E. Oversight by Board of Directors,"If the Licensee has a board of directors, the board or an appropriate committee of the board shall, at a minimum: 
(1) Require the Licensee’s executive management or its delegates to develop, implement, and maintain the Licensee’s Information Security Program;
(2) Require the Licensee’s executive management or its delegates to report in writing at least annually, the following information:
(a) The overall status of the Information Security Program and the Licensee’s compliance with this Act; and
(b) Material matters related to the Information Security Program, addressing issues such as risk assessment, risk management and control decisions, Third-Party Service Provider arrangements, results of testing, Cybersecurity Events or violations and management’s responses thereto, and recommendations for changes in the Information Security Program.
(3) If executive management delegates any of its responsibilities under Section 4 of this Act, it shall oversee the development, implementation and maintenance of the Licensee’s Information Security Program prepared by the delegate(s) and shall receive a report from the delegate(s) complying with the requirements of the report to the Board of Directors above.",Semantic,Superset of,9,10,"GV.RR-01.01: The governing authority (e.g., the Board or one of its committees) oversees and holds senior management accountable for implementing the organization’s technology and cybersecurity risk management strategies and frameworks.","GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",019.041,GV.RR-01.01,
NAIC-IDSML-04,Section 4,Information Security Program,E. Oversight by Board of Directors,"If the Licensee has a board of directors, the board or an appropriate committee of the board shall, at a minimum: 
(1) Require the Licensee’s executive management or its delegates to develop, implement, and maintain the Licensee’s Information Security Program;
(2) Require the Licensee’s executive management or its delegates to report in writing at least annually, the following information:
(a) The overall status of the Information Security Program and the Licensee’s compliance with this Act; and
(b) Material matters related to the Information Security Program, addressing issues such as risk assessment, risk management and control decisions, Third-Party Service Provider arrangements, results of testing, Cybersecurity Events or violations and management’s responses thereto, and recommendations for changes in the Information Security Program.
(3) If executive management delegates any of its responsibilities under Section 4 of this Act, it shall oversee the development, implementation and maintenance of the Licensee’s Information Security Program prepared by the delegate(s) and shall receive a report from the delegate(s) complying with the requirements of the report to the Board of Directors above.",Semantic,Superset of,9,10,"GV.RR-01.02: The governing authority (e.g., the Board or one of its committees) regularly reviews, oversees, and holds senior management accountable for implementing the organization’s third-party risk management strategy and program and for managing the organization's ongoing risks associated with the aggregate and specific use of third parties.","GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",019.042,GV.RR-01.02,
NAIC-IDSML-04,Section 4,Information Security Program,E. Oversight by Board of Directors,"If the Licensee has a board of directors, the board or an appropriate committee of the board shall, at a minimum: 
(1) Require the Licensee’s executive management or its delegates to develop, implement, and maintain the Licensee’s Information Security Program;
(2) Require the Licensee’s executive management or its delegates to report in writing at least annually, the following information:
(a) The overall status of the Information Security Program and the Licensee’s compliance with this Act; and
(b) Material matters related to the Information Security Program, addressing issues such as risk assessment, risk management and control decisions, Third-Party Service Provider arrangements, results of testing, Cybersecurity Events or violations and management’s responses thereto, and recommendations for changes in the Information Security Program.
(3) If executive management delegates any of its responsibilities under Section 4 of this Act, it shall oversee the development, implementation and maintenance of the Licensee’s Information Security Program prepared by the delegate(s) and shall receive a report from the delegate(s) complying with the requirements of the report to the Board of Directors above.",Semantic,Intersects with,9,10,"GV.PO-01.01: Technology and cybersecurity policies are documented, maintained and approved by the governing authority (e.g., the Board or one of its committees) or a designated executive.","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",024.059,GV.PO-01.01,
NAIC-IDSML-04,Section 4,Information Security Program,E. Oversight by Board of Directors,"If the Licensee has a board of directors, the board or an appropriate committee of the board shall, at a minimum: 
(1) Require the Licensee’s executive management or its delegates to develop, implement, and maintain the Licensee’s Information Security Program;
(2) Require the Licensee’s executive management or its delegates to report in writing at least annually, the following information:
(a) The overall status of the Information Security Program and the Licensee’s compliance with this Act; and
(b) Material matters related to the Information Security Program, addressing issues such as risk assessment, risk management and control decisions, Third-Party Service Provider arrangements, results of testing, Cybersecurity Events or violations and management’s responses thereto, and recommendations for changes in the Information Security Program.
(3) If executive management delegates any of its responsibilities under Section 4 of this Act, it shall oversee the development, implementation and maintenance of the Licensee’s Information Security Program prepared by the delegate(s) and shall receive a report from the delegate(s) complying with the requirements of the report to the Board of Directors above.",Semantic,Superset of,8,10,"GV.PO-01.02: The accountable governing body, and applicable cybersecurity program and policies, for any given organizational unit, affiliate, or merged entity are clearly established, applied, and communicated.","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",024.060,GV.PO-01.02,
NAIC-IDSML-04,Section 4,Information Security Program,E. Oversight by Board of Directors,"If the Licensee has a board of directors, the board or an appropriate committee of the board shall, at a minimum: 
(1) Require the Licensee’s executive management or its delegates to develop, implement, and maintain the Licensee’s Information Security Program;
(2) Require the Licensee’s executive management or its delegates to report in writing at least annually, the following information:
(a) The overall status of the Information Security Program and the Licensee’s compliance with this Act; and
(b) Material matters related to the Information Security Program, addressing issues such as risk assessment, risk management and control decisions, Third-Party Service Provider arrangements, results of testing, Cybersecurity Events or violations and management’s responses thereto, and recommendations for changes in the Information Security Program.
(3) If executive management delegates any of its responsibilities under Section 4 of this Act, it shall oversee the development, implementation and maintenance of the Licensee’s Information Security Program prepared by the delegate(s) and shall receive a report from the delegate(s) complying with the requirements of the report to the Board of Directors above.",Semantic,Superset of,9,10,"GV.OV-01.01: The governing authority (e.g., the Board or one of its committees) regularly reviews and evaluates the organization's ability to manage its technology, cybersecurity, third-party, and resilience risks.",GOVERN / Oversight / Risk Management Strategy Outcomes Review,027.068,GV.OV-01.01,
NAIC-IDSML-04,Section 4,Information Security Program,E. Oversight by Board of Directors,"If the Licensee has a board of directors, the board or an appropriate committee of the board shall, at a minimum: 
(1) Require the Licensee’s executive management or its delegates to develop, implement, and maintain the Licensee’s Information Security Program;
(2) Require the Licensee’s executive management or its delegates to report in writing at least annually, the following information:
(a) The overall status of the Information Security Program and the Licensee’s compliance with this Act; and
(b) Material matters related to the Information Security Program, addressing issues such as risk assessment, risk management and control decisions, Third-Party Service Provider arrangements, results of testing, Cybersecurity Events or violations and management’s responses thereto, and recommendations for changes in the Information Security Program.
(3) If executive management delegates any of its responsibilities under Section 4 of this Act, it shall oversee the development, implementation and maintenance of the Licensee’s Information Security Program prepared by the delegate(s) and shall receive a report from the delegate(s) complying with the requirements of the report to the Board of Directors above.",Semantic,Superset of,9,10,"GV.OV-01.02: The designated Cybersecurity Officer (e.g., CISO) periodically reports to the appropriate governing authority (e.g., the Board or one of its committees) or equivalent governing body on the status of cybersecurity within the organization.",GOVERN / Oversight / Risk Management Strategy Outcomes Review,027.069,GV.OV-01.02,
NAIC-IDSML-04,Section 4,Information Security Program,E. Oversight by Board of Directors,"If the Licensee has a board of directors, the board or an appropriate committee of the board shall, at a minimum: 
(1) Require the Licensee’s executive management or its delegates to develop, implement, and maintain the Licensee’s Information Security Program;
(2) Require the Licensee’s executive management or its delegates to report in writing at least annually, the following information:
(a) The overall status of the Information Security Program and the Licensee’s compliance with this Act; and
(b) Material matters related to the Information Security Program, addressing issues such as risk assessment, risk management and control decisions, Third-Party Service Provider arrangements, results of testing, Cybersecurity Events or violations and management’s responses thereto, and recommendations for changes in the Information Security Program.
(3) If executive management delegates any of its responsibilities under Section 4 of this Act, it shall oversee the development, implementation and maintenance of the Licensee’s Information Security Program prepared by the delegate(s) and shall receive a report from the delegate(s) complying with the requirements of the report to the Board of Directors above.",Semantic,Superset of,9,10,"GV.OV-01.03: The designated Technology Officer (e.g., CIO or CTO) regularly reports to the governing authority (e.g., the Board or one of its committees) on the status of technology use and risks within the organization.",GOVERN / Oversight / Risk Management Strategy Outcomes Review,027.070,GV.OV-01.03,
