NIST IR 8374 Ransomware Risk Management Profile to CRI Profile ver. 2.1 Mapping,NIST IR 8374 Ransomware Risk Management Profile to CRI Profile ver. 2.1 Mapping,NIST IR 8374 Ransomware Risk Management Profile to CRI Profile ver. 2.1 Mapping,NIST IR 8374 Ransomware Risk Management Profile to CRI Profile ver. 2.1 Mapping,NIST IR 8374 Ransomware Risk Management Profile to CRI Profile ver. 2.1 Mapping,
"
PROTECT","Information Protection Processes and Procedures (PR.IP): Security policies, processes, and procedures are maintained and used to manage protection of information systems and assets.","PR.IP-01: A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g., concept of least functionality)","Baselines are useful for establishing the set of functions a system needs to perform so that any deviation from that baseline could be evaluated for its cyber risk potential. Unauthorized changes to the configuration can be used as an indicator of a malicious attack, which may lead to the introduction of ransomware.",PR.PS-01.03: The organization employs detection measures and performs regular enforcement checks to ensure that non-compliance with baseline security standards are promptly identified and rectified.,PROTECT / Platform Security / Configuration Management
"
PROTECT","Information Protection Processes and Procedures (PR.IP): Security policies, processes, and procedures are maintained and used to manage protection of information systems and assets.",PR.IP-03: Configuration change control processes are in place,"Proper configuration change processes can help to enforce timely security updates to software, maintain necessary security configuration settings, and discourage replacement of code with products that contain malware or do not satisfy access management policies.","ID.RA-07.01: The organization defines and implements change management standards and procedures, to include emergency change procedures, that explicitly address risk identified both prior to and during a change, any new risk created post-change, as well as the reviewing and approving authorities (e.g., change advisory boards).",IDENTIFY / Risk Assessment / Change & Exception Management
"
PROTECT","Information Protection Processes and Procedures (PR.IP): Security policies, processes, and procedures are maintained and used to manage protection of information systems and assets.","PR.IP-04: Backups of information are conducted, maintained, and tested",Regular backups that are maintained and tested are essential to timely and relatively painless recovery from ransomware events. Backups should be secured to ensure they cannot become corrupted by the ransomware or deleted by the attacker. The backups should be stored offline.,"ID.IM-02.06: The organization designs and tests its systems and processes to enable recovery of accurate data (e.g., material financial transactions) sufficient to support defined business recovery time and recovery point objectives.",IDENTIFY / Improvement / Tests & Exercises
"
PROTECT","Information Protection Processes and Procedures (PR.IP): Security policies, processes, and procedures are maintained and used to manage protection of information systems and assets.","PR.IP-04: Backups of information are conducted, maintained, and tested",Regular backups that are maintained and tested are essential to timely and relatively painless recovery from ransomware events. Backups should be secured to ensure they cannot become corrupted by the ransomware or deleted by the attacker. The backups should be stored offline.,"PR.DS-11.01: The organization defines and implements standards and procedures for configuring and performing backups and data replications, including defining backup requirements by data/application/infrastructure criticality, segregating (e.g., air-gapping) and securing backups, verifying backup integrity, and performing backup restoration testing.",PROTECT / Data Security / Data Backup
"
PROTECT","Information Protection Processes and Procedures (PR.IP): Security policies, processes, and procedures are maintained and used to manage protection of information systems and assets.",PR.IP-09: Response plans (Incident Response and Business Continuity) and recovery plans (Incident Recovery and Disaster Recovery) are in place and managed,Response and recovery plans should include ransomware events. A copy of the response plan should be kept offline in case the incident eliminates access to soft copies held within the targeted network. Ransomware events should be prioritized appropriately during incident triage with the goal of immediate containment to prevent the ransomware’s spread.,"GV.OC-05.03: The organization defines objectives (e.g., Recovery Time Objective, Maximum Tolerable Downtime, Impact Tolerance) for the resumption of critical operations in alignment with business imperatives, stakeholder obligations, and critical infrastructure dependencies.",GOVERN / Organizational Context / Organizational Service Dependencies
"
PROTECT","Information Protection Processes and Procedures (PR.IP): Security policies, processes, and procedures are maintained and used to manage protection of information systems and assets.",PR.IP-09: Response plans (Incident Response and Business Continuity) and recovery plans (Incident Recovery and Disaster Recovery) are in place and managed,Response and recovery plans should include ransomware events. A copy of the response plan should be kept offline in case the incident eliminates access to soft copies held within the targeted network. Ransomware events should be prioritized appropriately during incident triage with the goal of immediate containment to prevent the ransomware’s spread.,"ID.IM-04.01: The organization's business continuity, disaster recovery, crisis management, and response plans are in place and managed, aligned with each other, and incorporate considerations of cyber incidents.",IDENTIFY / Improvement / Plans Affecting Operatons
"
PROTECT","Information Protection Processes and Procedures (PR.IP): Security policies, processes, and procedures are maintained and used to manage protection of information systems and assets.",PR.IP-10: Response and recovery plans are tested,Ransomware response and recovery plans should be tested periodically to ensure that risk and response assumptions and processes are current with respect to evolving ransomware threats. Testing of response and recovery plans should include any associated ICS. Processes need to be updated and maintained to match changing organizational needs and structures as well as new ransomware types and tactics. Testing trains the people who will need to execute the plan.,"ID.IM-02.04: The organization's testing program validates the effectiveness of its resilience strategy and response, disaster recovery, and resumption plans on a regular basis or upon major changes to business or system functions, and includes external stakeholders as required.",IDENTIFY / Improvement / Tests & Exercises
"
PROTECT","Information Protection Processes and Procedures (PR.IP): Security policies, processes, and procedures are maintained and used to manage protection of information systems and assets.",PR.IP-10: Response and recovery plans are tested,Ransomware response and recovery plans should be tested periodically to ensure that risk and response assumptions and processes are current with respect to evolving ransomware threats. Testing of response and recovery plans should include any associated ICS. Processes need to be updated and maintained to match changing organizational needs and structures as well as new ransomware types and tactics. Testing trains the people who will need to execute the plan.,"ID.IM-02.05: The organization establishes testing programs that include a range of scenarios, including severe but plausible scenarios (e.g., disruptive, destructive, corruptive), that could affect the organization's ability to service internal and external stakeholders.",IDENTIFY / Improvement / Tests & Exercises
"
PROTECT",Maintenance (PR.MA): Maintenance and repairs of industrial control and information system components are performed consistent with policies and procedures.,"PR.MA-02: Remote maintenance of organizational assets is approved, logged, and performed in a manner that prevents unauthorized access","Remote maintenance provides an access channel into networks and technology. If not managed properly, criminals may use this access to alter configurations to permit introduction of malware. Remote maintenance of all system components by the organization or its providers must be validated to ensure that this process does not provide backdoor access to OT or IT networks.","PR.PS-03.01: The organization defines and implements controls for the on-site and remote maintenance and repair of the organization's technology assets (e.g., work must be performed by authorized personnel, use of approved procedures and tools, use of original or vendor-approved spare parts).",PROTECT / Platform Security / Hardware Maintenance
"
PROTECT","Protective Technology (PR.PT): Technical security solutions are managed to ensure the security and resilience of systems and assets, consistent with related policies, procedures, and agreements.","PR.PT-01: Audit/log records are determined, documented, implemented, and reviewed in accordance with policy",Availability of audit/log records can assist in detecting unexpected behaviors and support forensics response and recovery processes.,"PR.PS-04.01: The organization establishes and regularly reviews log management standards and practices, to include the types of events to be detected, log content, security and access considerations, monitoring protocols, integrity checking mechanisms, and retention periods.",PROTECT / Platform Security / Log Record Generation
"
PROTECT","Protective Technology (PR.PT): Technical security solutions are managed to ensure the security and resilience of systems and assets, consistent with related policies, procedures, and agreements.","PR.PT-01: Audit/log records are determined, documented, implemented, and reviewed in accordance with policy",Availability of audit/log records can assist in detecting unexpected behaviors and support forensics response and recovery processes.,"PR.PS-04.02: The organization defines the scope and coverage of audit/log records to be created and monitored (i.e., internal and external environments, devices, and applications/services/software to be monitored) and has controls in place to ensure that the intended scope is fully covered and that no logging failures are inhibiting the collection of required logs.",PROTECT / Platform Security / Log Record Generation
"
PROTECT","Protective Technology (PR.PT): Technical security solutions are managed to ensure the security and resilience of systems and assets, consistent with related policies, procedures, and agreements.","PR.PT-01: Audit/log records are determined, documented, implemented, and reviewed in accordance with policy",Availability of audit/log records can assist in detecting unexpected behaviors and support forensics response and recovery processes.,"PR.PS-04.03: The organization's activity logs and other security event logs are generated, reviewed, securely stored, and retained in accordance with data retention obligations and established standards.",PROTECT / Platform Security / Log Record Generation
"
PROTECT","Protective Technology (PR.PT): Technical security solutions are managed to ensure the security and resilience of systems and assets, consistent with related policies, procedures, and agreements.",PR.PT-03: The principle of least functionality is incorporated by configuring systems to provide only essential capabilities.,"Maintaining the principle of least functionality may prevent movement among potential target systems (e.g., moving into an operational process control system from an administrative network).",PR.PS-01.02: The organization's systems are configured to provide only essential capabilities to implement the principle of least functionality.,PROTECT / Platform Security / Configuration Management
"
DETECT",Anomalies and Events (DE.AE): Anomalous activity is detected and the potential impact of events is understood.,DE.AE-03: Event data are collected and correlated from multiple sources and sensors,"Multiple sources and sensors along with a Security Information and Event Management (SIEM) solution improves network visibility, assists in the early detection of ransomware, and aids in understanding how ransomware may propagate through a network.","DE.AE-03.01: The organization implements systematic and real-time logging, collection, monitoring, detection, and alerting measures across multiple layers of the organization's infrastructure, including physical perimeters, network, operating systems, applications, data, and external (cloud and outsourced) environments, sufficient to protect the organization's information assets.",DETECT / Adverse Event Analysis / Event Information Correlation
"
DETECT",Anomalies and Events (DE.AE): Anomalous activity is detected and the potential impact of events is understood.,DE.AE-03: Event data are collected and correlated from multiple sources and sensors,"Multiple sources and sensors along with a Security Information and Event Management (SIEM) solution improves network visibility, assists in the early detection of ransomware, and aids in understanding how ransomware may propagate through a network.","DE.AE-03.02: The organization performs real-time central analysis, aggregation, and correlation of anomalous activities, network and system alerts, and relevant event and cyber threat intelligence, including both internal and external (cloud and outsourced) environments, to better detect and prevent multifaceted cyber attacks.",DETECT / Adverse Event Analysis / Event Information Correlation
"
DETECT",Anomalies and Events (DE.AE): Anomalous activity is detected and the potential impact of events is understood.,DE.AE-04: Impact of events is determined,Determining the impact of events can inform response and recovery priorities for a ransomware attack.,"DE.AE-04.01: The organization has a documented process to analyze and triage incidents to assess root cause, technical impact, mitigation priority, and business impact on the organization, as well as across the financial sector and other third party stakeholders.",DETECT / Adverse Event Analysis / Impact & Scope Determination
"
DETECT",Security Continuous Monitoring (DE.CM): The information system and assets are monitored to identify cybersecurity events and verify the effectiveness of protective measures.,DE.CM-01: The network is monitored to detect potential cybersecurity events,Network monitoring might detect intrusions and initiate protective actions before malicious code can be inserted or large volumes of information are encrypted and exfiltrated.,DE.CM-01.01:  The organization deploys intrusion detection and intrusion prevention capabilities to detect and prevent a potential network intrusion in its early stages for timely containment and recovery.,DETECT / Continuous Monitoring / Network Monitoring
"
DETECT",Security Continuous Monitoring (DE.CM): The information system and assets are monitored to identify cybersecurity events and verify the effectiveness of protective measures.,DE.CM-01: The network is monitored to detect potential cybersecurity events,Network monitoring might detect intrusions and initiate protective actions before malicious code can be inserted or large volumes of information are encrypted and exfiltrated.,"DE.CM-01.02: The organization implements mechanisms, such as alerting and filtering of sudden high volumes and suspicious incoming traffic, to detect and mitigate Denial of Service, ""bot"", and credential stuffing attacks.",DETECT / Continuous Monitoring / Network Monitoring
"
DETECT",Security Continuous Monitoring (DE.CM): The information system and assets are monitored to identify cybersecurity events and verify the effectiveness of protective measures.,DE.CM-01: The network is monitored to detect potential cybersecurity events,Network monitoring might detect intrusions and initiate protective actions before malicious code can be inserted or large volumes of information are encrypted and exfiltrated.,"DE.CM-01.03: The organization has policies, procedures, and tools in place to monitor for, detect, and block unauthorized network connections and data transfers.",DETECT / Continuous Monitoring / Network Monitoring
"
DETECT",Security Continuous Monitoring (DE.CM): The information system and assets are monitored to identify cybersecurity events and verify the effectiveness of protective measures.,DE.CM-01: The network is monitored to detect potential cybersecurity events,Network monitoring might detect intrusions and initiate protective actions before malicious code can be inserted or large volumes of information are encrypted and exfiltrated.,"DE.CM-01.04: The organization has policies, procedures, and tools in place to monitor for, detect, and block access from/to devices that are not authorized or do not conform to security policy (e.g., unpatched systems).",DETECT / Continuous Monitoring / Network Monitoring
"
DETECT",Security Continuous Monitoring (DE.CM): The information system and assets are monitored to identify cybersecurity events and verify the effectiveness of protective measures.,DE.CM-01: The network is monitored to detect potential cybersecurity events,Network monitoring might detect intrusions and initiate protective actions before malicious code can be inserted or large volumes of information are encrypted and exfiltrated.,"DE.CM-01.05: The organization implements measures to detect and block access to unauthorized, inappropriate, or malicious websites and services (e.g. social media, messaging, file sharing).",DETECT / Continuous Monitoring / Network Monitoring
"
DETECT",Security Continuous Monitoring (DE.CM): The information system and assets are monitored to identify cybersecurity events and verify the effectiveness of protective measures.,DE.CM-03: Personnel activity is monitored to detect potential cybersecurity events,Monitoring personnel activity might detect insider threats or insecure staff practices or compromised credentials and thwart potential ransomware events.,"DE.CM-03.02: The organization's controls actively monitor personnel (both authorized and unauthorized) for access, authentication, usage, connections, devices, and anomalous behavior to rapidly detect potential cybersecurity events.",DETECT / Continuous Monitoring / Personnel Activity Monitoring
"
DETECT",Security Continuous Monitoring (DE.CM): The information system and assets are monitored to identify cybersecurity events and verify the effectiveness of protective measures.,DE.CM-03: Personnel activity is monitored to detect potential cybersecurity events,Monitoring personnel activity might detect insider threats or insecure staff practices or compromised credentials and thwart potential ransomware events.,"DE.CM-03.03: The organization logs and reviews the activities of privileged users and accounts, and monitoring for anomalous behaviors is implemented.",DETECT / Continuous Monitoring / Personnel Activity Monitoring
"
DETECT",Security Continuous Monitoring (DE.CM): The information system and assets are monitored to identify cybersecurity events and verify the effectiveness of protective measures.,DE.CM-04: Malicious code is detected,"Detection may indicate that a ransomware event is occurring or may be about to occur. Malicious code is often not immediately executed, so there may be time between insertion of malicious code and its activation to detect it before the ransomware attack is executed.","PR.PS-05.01: The organization has policies, procedures, and tools in place to detect and block malware from infecting networks and systems, including automatically updating malware signatures and behavior profiles on all endpoints.",PROTECT / Platform Security / Unauthorized Software Installation & Execution
"
DETECT",Security Continuous Monitoring (DE.CM): The information system and assets are monitored to identify cybersecurity events and verify the effectiveness of protective measures.,DE.CM-04: Malicious code is detected,"Detection may indicate that a ransomware event is occurring or may be about to occur. Malicious code is often not immediately executed, so there may be time between insertion of malicious code and its activation to detect it before the ransomware attack is executed.","PR.PS-05.02: The organization implements safeguards against unauthorized mobile code (e.g., JavaScript, ActiveX, VBScript, PowerShell, etc.) on mobile, end point, and server systems.",PROTECT / Platform Security / Unauthorized Software Installation & Execution
"
DETECT",Security Continuous Monitoring (DE.CM): The information system and assets are monitored to identify cybersecurity events and verify the effectiveness of protective measures.,DE.CM-04: Malicious code is detected,"Detection may indicate that a ransomware event is occurring or may be about to occur. Malicious code is often not immediately executed, so there may be time between insertion of malicious code and its activation to detect it before the ransomware attack is executed.","PR.PS-05.03: The organization has policies, procedures, and tools in place to detect, isolate, and block the use of attached malware or malicious links present in email or message services.",PROTECT / Platform Security / Unauthorized Software Installation & Execution
"
DETECT",Security Continuous Monitoring (DE.CM): The information system and assets are monitored to identify cybersecurity events and verify the effectiveness of protective measures.,"DE.CM-07: Monitoring for unauthorized personnel, connections, devices, and software is performed","Unauthorized people, connections, devices, and software are potential resources from which to launch a ransomware attack. Monitoring can detect many ransomware attacks before they are executed.","DE.CM-01.03: The organization has policies, procedures, and tools in place to monitor for, detect, and block unauthorized network connections and data transfers.",DETECT / Continuous Monitoring / Network Monitoring
"
DETECT",Security Continuous Monitoring (DE.CM): The information system and assets are monitored to identify cybersecurity events and verify the effectiveness of protective measures.,"DE.CM-07: Monitoring for unauthorized personnel, connections, devices, and software is performed","Unauthorized people, connections, devices, and software are potential resources from which to launch a ransomware attack. Monitoring can detect many ransomware attacks before they are executed.","DE.CM-01.05: The organization implements measures to detect and block access to unauthorized, inappropriate, or malicious websites and services (e.g. social media, messaging, file sharing).",DETECT / Continuous Monitoring / Network Monitoring
"
DETECT",Security Continuous Monitoring (DE.CM): The information system and assets are monitored to identify cybersecurity events and verify the effectiveness of protective measures.,"DE.CM-07: Monitoring for unauthorized personnel, connections, devices, and software is performed","Unauthorized people, connections, devices, and software are potential resources from which to launch a ransomware attack. Monitoring can detect many ransomware attacks before they are executed.","DE.CM-03.02: The organization's controls actively monitor personnel (both authorized and unauthorized) for access, authentication, usage, connections, devices, and anomalous behavior to rapidly detect potential cybersecurity events.",DETECT / Continuous Monitoring / Personnel Activity Monitoring
"
DETECT",Security Continuous Monitoring (DE.CM): The information system and assets are monitored to identify cybersecurity events and verify the effectiveness of protective measures.,"DE.CM-07: Monitoring for unauthorized personnel, connections, devices, and software is performed","Unauthorized people, connections, devices, and software are potential resources from which to launch a ransomware attack. Monitoring can detect many ransomware attacks before they are executed.","DE.CM-06.01: The organization reviews, documents, authorizes, and monitors all third-party connections, data transfer mechanisms, and Application Programming Interfaces (APIs).",DETECT / Continuous Monitoring / Service Provider Monitoring
"
DETECT",Security Continuous Monitoring (DE.CM): The information system and assets are monitored to identify cybersecurity events and verify the effectiveness of protective measures.,"DE.CM-07: Monitoring for unauthorized personnel, connections, devices, and software is performed","Unauthorized people, connections, devices, and software are potential resources from which to launch a ransomware attack. Monitoring can detect many ransomware attacks before they are executed.","DE.CM-09.03: The organization has policies, procedures, and tools in place to monitor for, detect, and block the use of unsupported or unauthorized software, hardware, or configuration changes.","DETECT / Continuous Monitoring / Hardware, Software, & Data Monitoring"
"
DETECT",Security Continuous Monitoring (DE.CM): The information system and assets are monitored to identify cybersecurity events and verify the effectiveness of protective measures.,DE.CM-08: Vulnerability scans are performed,Vulnerabilities can be exploited during a ransomware attack. Regular scans can allow an organization to detect and mitigate most vulnerabilities before they are used to execute ransomware.,"ID.RA-01.03: The organization establishes and maintains standards and capabilities for ongoing vulnerability management, including systematic scans, or reviews reasonably designed to identify known cyber vulnerabilities and upgrade opportunities, across the organization's environments and assets.",IDENTIFY / Risk Assessment / Asset Vulnerability Identification
"
DETECT",Security Continuous Monitoring (DE.CM): The information system and assets are monitored to identify cybersecurity events and verify the effectiveness of protective measures.,DE.CM-08: Vulnerability scans are performed,Vulnerabilities can be exploited during a ransomware attack. Regular scans can allow an organization to detect and mitigate most vulnerabilities before they are used to execute ransomware.,"ID.IM-02.01: The organization conducts regular, independent penetration testing and red team testing on the organization's network, internet-facing  systems, critical applications, and associated controls to identify gaps in cybersecurity defenses.",IDENTIFY / Improvement / Tests & Exercises
"
DETECT",Detection Processes (DE.DP): Detection processes and procedures are maintained and tested to ensure awareness of anomalous events.,DE.DP-01: Roles and responsibilities for detection are well defined to ensure accountability,Clear understanding of roles and responsibilities is key to accountability and encourages adherence to organizational policies and procedures to help detect ransomware attacks.,"GV.RR-02.02: The organization has established and assigned roles and responsibilities for systematic cybersecurity threat identification, monitoring, detection, and event reporting processes, and ensures adequate coverage and organizational alignment for these functions.","GOVERN / Roles, Responsibilities, and Authorities / Risk Management Roles & Responsibilities"
"
DETECT",Detection Processes (DE.DP): Detection processes and procedures are maintained and tested to ensure awareness of anomalous events.,DE.DP-02: Detection activities comply with all applicable requirements,Detection activities should be conducted in adherence to organization policy and procedures.,"DE.AE-03.02: The organization performs real-time central analysis, aggregation, and correlation of anomalous activities, network and system alerts, and relevant event and cyber threat intelligence, including both internal and external (cloud and outsourced) environments, to better detect and prevent multifaceted cyber attacks.",DETECT / Adverse Event Analysis / Event Information Correlation
"
DETECT",Detection Processes (DE.DP): Detection processes and procedures are maintained and tested to ensure awareness of anomalous events.,DE.DP-02: Detection activities comply with all applicable requirements,Detection activities should be conducted in adherence to organization policy and procedures.,"PR.PS-04.01: The organization establishes and regularly reviews log management standards and practices, to include the types of events to be detected, log content, security and access considerations, monitoring protocols, integrity checking mechanisms, and retention periods.",PROTECT / Platform Security / Log Record Generation
"
DETECT",Detection Processes (DE.DP): Detection processes and procedures are maintained and tested to ensure awareness of anomalous events.,DE.DP-03: Detection processes are tested,"Testing provides assurance of correct detection processes for ransomware- based attacks, recognizing not that all intrusion attempts will be detected. Testing trains the people who will need to execute the plan.","ID.IM-02.03: The organization tests and validates the effectiveness of the incident detection, reporting, and communication processes and protocols with internal and external stakeholders.",IDENTIFY / Improvement / Tests & Exercises
"
DETECT",Detection Processes (DE.DP): Detection processes and procedures are maintained and tested to ensure awareness of anomalous events.,DE.DP-04: Event detection information is communicated,Timely communication of anomalous events is necessary for being able to take remedial actions before a ransomware attack can be fully realized.,"DE.AE-06.01: The organization has established processes and protocols to communicate, alert, and regularly report potential cyber attacks and incident information, including its corresponding analysis and cyber threat intelligence, to authorized internal and external stakeholders.",DETECT / Adverse Event Analysis / Event Information Sharing
"
DETECT",Detection Processes (DE.DP): Detection processes and procedures are maintained and tested to ensure awareness of anomalous events.,DE.DP-05: Detection processes are continuously improved,"The tactics used in ransomware attacks are continuously being refined, so detection processes must continuously evolve to keep up with new threats.","ID.IM-03.02: The organization establishes a systematic and comprehensive program to regularly evaluate and improve its monitoring and detection processes and controls as the threat environment changes, tools and techniques evolve, and lessons are learned.",IDENTIFY / Improvement / Improvements from Lessons Learned
"
RESPOND","Response Planning (RS.RP): Response processes and procedures are executed and maintained, to ensure response to detected cybersecurity incidents.",RS.RP-01: Response plan is executed during or after an incident,"Immediate execution of the response plan’s public relations and communications response components is necessary to stop any corruption or continuing exfiltration of data, stem the spread of an infection to other systems and networks, and initiate preemptive messaging to minimize further damage, including reputational or legal harm.","RS.MA-01.01: The organization's response plans are in place and executed during or after an incident, to include coordination with relevant third parties and engagement of third-party incident support services.",RESPOND / Incident Management / Response Plan Execution
"
RESPOND","Communications (RS.CO): Response activities are coordinated with internal and external stakeholders (e.g., external support from law enforcement agencies).",RS.CO-01: Personnel know their roles and order of operations when a response is needed,Response to ransomware events includes both technical and business responses. An effective and efficient response requires all parties to understand their roles and responsibilities. Communications response roles should be formally documented in incident response and recovery plans and should be reinforced by exercising the plans.,"ID.IM-04.02: The organization's incident response and business continuity plans contain clearly defined roles, responsibilities, and levels of decision-making authority, and include all needed areas of participation and expertise across the organization and key third-parties.",IDENTIFY / Improvement / Plans Affecting Operatons
"
RESPOND","Communications (RS.CO): Response activities are coordinated with internal and external stakeholders (e.g., external support from law enforcement agencies).",RS.CO-01: Personnel know their roles and order of operations when a response is needed,Response to ransomware events includes both technical and business responses. An effective and efficient response requires all parties to understand their roles and responsibilities. Communications response roles should be formally documented in incident response and recovery plans and should be reinforced by exercising the plans.,PR.AT-02.03: All personnel (employee and third party) are made aware of and are trained for their role and operational steps in response and recovery plans.,PROTECT / Awareness and Training / Specialized Role Awareness & Training
"
RESPOND","Communications (RS.CO): Response activities are coordinated with internal and external stakeholders (e.g., external support from law enforcement agencies).",RS.CO-02: Incidents are reported consistent with established criteria,Response to ransomware events includes both technical and business responses. An effective and efficient response requires pre-established criteria for reporting and adherence to those criteria during an event.,RS.MA-05.01: The organization's incident response plans define severity levels and associated criteria for initiating response plans and escalating event response to appropriate stakeholders and management levels.,RESPOND / Incident Management / Recovery Initiation
"
RESPOND","Communications (RS.CO): Response activities are coordinated with internal and external stakeholders (e.g., external support from law enforcement agencies).",RS.CO-02: Incidents are reported consistent with established criteria,Response to ransomware events includes both technical and business responses. An effective and efficient response requires pre-established criteria for reporting and adherence to those criteria during an event.,"RS.CO-02.01: The organization's incident response program includes defined and approved escalation protocols, linked to organizational decision levels and communication strategies, including which types of information will be shared, with whom (e.g., the organization's governing authority and senior management), and how information provided to the organization will be acted upon.",RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Notification
"
RESPOND","Communications (RS.CO): Response activities are coordinated with internal and external stakeholders (e.g., external support from law enforcement agencies).",RS.CO-03: Information is shared consistent with response plans,Information sharing priorities include stemming the spread of an infection to other systems and networks as well as preemptive messaging.,"RS.CO-03.02: In the event of an incident, the organization shares authorized information, in a defined manner and through trusted channels, to facilitate the detection, response, resumption and recovery of its own systems and those of other partners and critical sector participants.",RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Information Sharing
"
RESPOND","Communications (RS.CO): Response activities are coordinated with internal and external stakeholders (e.g., external support from law enforcement agencies).",RS.CO-04: Coordination with stakeholders occurs consistent with response plans,Coordination with key internal and external stakeholders is important for priorities such as stemming the spread of misinformation and establishing preemptive messaging.,"RS.CO-03.01: The organization ensures that cyber threat intelligence is made available, in a secure manner, to authorized staff with responsibility for the mitigation of cyber risks at the strategic, tactical and operational levels within the organization.",RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Information Sharing
"
RESPOND","Communications (RS.CO): Response activities are coordinated with internal and external stakeholders (e.g., external support from law enforcement agencies).",RS.CO-05: Voluntary information sharing occurs with external stakeholders to achieve broader cybersecurity situational awareness,Information sharing may yield forensic benefits and reduce the impact and profitability of ransomware attacks. Voluntary sharing should complement any regulatory or other compliance requirements for reporting and sharing.,"RS.CO-03.02: In the event of an incident, the organization shares authorized information, in a defined manner and through trusted channels, to facilitate the detection, response, resumption and recovery of its own systems and those of other partners and critical sector participants.",RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Information Sharing
"
RESPOND",Analysis (RS.AN): Analysis is conducted to ensure effective response and support recovery activities.,RS.AN-01: Notifications from detection systems are investigated ,"Notifications from detection systems should be promptly and fully investigated, as these may often indicate a ransomware attack in its early stages so that it can be preempted or so impacts can be mitigated.","RS.MA-02.01: Tools and processes are in place to ensure timely detection, inspection, assessment, and analysis of security event data for reliable activation of incident response processes.",RESPOND / Incident Management / Incident Triage & Validaton
"
RESPOND",Analysis (RS.AN): Analysis is conducted to ensure effective response and support recovery activities.,RS.AN-02: The impact of the incident is understood,"Understanding impact will shape the implementation of the recovery plan. Organizations should seek to understand the technical impact of a ransomware attack (e.g., what systems are unavailable) and then understand the resulting impact on the business (e.g., which business processes can’t be delivered). This will help to ensure that the response and recovery effort is properly prioritized and resourced, and business continuity plans can be implemented in the meantime.","RS.AN-03.01: The organization performs a thorough investigation to determine the nature and scope of an event, possible root causes, and the potential damage inflicted.",RESPOND / Incident Analysis / Incident Analysis & Root Cause Determination
"
RESPOND",Analysis (RS.AN): Analysis is conducted to ensure effective response and support recovery activities.,RS.AN-03: Forensics are performed,"Forensics help identify the root cause to contain and eradicate the attack, including things like resetting passwords of credentials stolen by the attacker, deleting malware used by the attacker, and removing persistence mechanisms used by the attacker. Forensics can also inform the recovery process and assist with reporting and sharing actions.","RS.AN-06.01: The organization establishes a risk-based approach and procedures for quarantining systems, conducting investigations, and collecting and preserving evidence per best practices and forensic standards.",RESPOND / Incident Analysis / Investigation Documentation
"
RESPOND",Analysis (RS.AN): Analysis is conducted to ensure effective response and support recovery activities.,"RS.AN-05: Processes are established to receive, analyze and respond to vulnerabilities disclosed to the organization from internal and external sources (e.g. internal testing, security bulletins, or security researchers)",Analysis processes can prevent future successful attacks and the spread of the ransomware to other systems and networks. It can also help restore confidence among stakeholders.,"ID.RA-08.01: The organization has established enterprise processes for soliciting, receiving and appropriately channeling vulnerability disclosures from:
(1) Public sources (e.g., customers and security researchers);
(2) Vulnerability sharing forums (e.g., FS-ISAC); and
(3) Third-parties (e.g., cloud vendors);
(4) Internal sources (e.g., development teams).",IDENTIFY / Risk Assessment / Vulnerability Disclosure Response
"
RESPOND",Analysis (RS.AN): Analysis is conducted to ensure effective response and support recovery activities.,"RS.AN-05: Processes are established to receive, analyze and respond to vulnerabilities disclosed to the organization from internal and external sources (e.g. internal testing, security bulletins, or security researchers)",Analysis processes can prevent future successful attacks and the spread of the ransomware to other systems and networks. It can also help restore confidence among stakeholders.,"ID.RA-08.02: The organization has established enterprise processes to analyze disclosed vulnerabilities with a focus on:
(1) Determining its validity;
(2) Assessing its scope (e.g., affected assets);
(3) Determining it's severity and impact;
(4) Identifying affected stakeholders or customers; and
(5) Analyzing options to respond.",IDENTIFY / Risk Assessment / Vulnerability Disclosure Response
"
RESPOND","Mitigation (RS.MI): Activities are performed to prevent expansion of an event, mitigate its effects, and resolve the incident.",RS.MI-01: Incidents are contained,"Immediate action must be taken to prevent the spread of the ransomware to other systems and networks, mitigate its effects, and resolve the incident. Containment of ransomware includes any associated ICS.","RS.MI-01.01: The organization has established processes to implement vulnerability mitigation plans, involve third-party partners and outside expertise as needed, and contain incidents in a timely manner.",RESPOND / Incident Mitigation / Incident Containment
"
RESPOND","Mitigation (RS.MI): Activities are performed to prevent expansion of an event, mitigate its effects, and resolve the incident.",RS.MI-02: Incidents are mitigated,"Immediate action must be taken to isolate the ransomware in order to minimize damage to data, prevent the infection from spreading within the network and to other systems and networks, and minimize the impact on the mission or business.","RC.RP-02.02: Recovery plans are executed by first resuming critical services and core business functions, while minimizing any potential concurrent and widespread interruptions to interconnected entities and critical infrastructure, such as energy and telecommunications.",RECOVER / Incident Recovery Plan Execution / Recovery Action Performance
