,,,Canada Office of the Superintendent of Financial Institutions (OSFI) Cyber Security Self-Assessment (CSSA) to CRI Profile v2.1 Mapping,Canada Office of the Superintendent of Financial Institutions (OSFI) Cyber Security Self-Assessment (CSSA) to CRI Profile v2.1 Mapping,Canada Office of the Superintendent of Financial Institutions (OSFI) Cyber Security Self-Assessment (CSSA) to CRI Profile v2.1 Mapping,Canada Office of the Superintendent of Financial Institutions (OSFI) Cyber Security Self-Assessment (CSSA) to CRI Profile v2.1 Mapping,Canada Office of the Superintendent of Financial Institutions (OSFI) Cyber Security Self-Assessment (CSSA) to CRI Profile v2.1 Mapping,Canada Office of the Superintendent of Financial Institutions (OSFI) Cyber Security Self-Assessment (CSSA) to CRI Profile v2.1 Mapping,Canada Office of the Superintendent of Financial Institutions (OSFI) Cyber Security Self-Assessment (CSSA) to CRI Profile v2.1 Mapping,,
OSFI CSSA-14,Identify,Business Environment,14,"The FRFI has identified its critical technology assets and has implemented appropriate controls to ensure confidentiality, integrity and availability. The controls are regularly reviewed and tested.",Functional ,Superset of,7,10,"PR.IR-01.07: The organization defines and implements controls for securely configuring and operating Operational Technologies, Industrial Control Systems, and Internet-of-Things (IoT) devices (e.g., segregated printer networks, resetting of default passwords, etc.)",PROTECT / Technology Infrastructure Resilience / Logical Access Protections,PR.IR-01.07
OSFI CSSA-14,Identify,Business Environment,14,"The FRFI has identified its critical technology assets and has implemented appropriate controls to ensure confidentiality, integrity and availability. The controls are regularly reviewed and tested.",Functional ,Superset of,7,10,"PR.IR-01.08: The organization implements policies, procedures, end-user agreements, and technical controls to address the risks of end-user mobile or personal computing devices accessing the organization's network and resources.",PROTECT / Technology Infrastructure Resilience / Logical Access Protections,PR.IR-01.08
OSFI CSSA-15,Identify,Business Environment,15,"The FRFI ensures that contracts for outsourcing and external services (e.g., third party providers, Cloud Service Providers) include supplier and service provider responsibilities for the security of the FRFI's information.",Functional ,Equal,8,10,"GV.SC-02.01: The organization clearly defines, and includes in contractual agreements, the division of cybersecurity and technology risk management responsibilities between the organization and its third parties (e.g., a Shared Responsibilities Model).",GOVERN / Supply Chain Risk Management / Third Party Roles & Responsibilities,GV.SC-02.01
OSFI CSSA-15,Identify,Business Environment,15,"The FRFI ensures that contracts for outsourcing and external services (e.g., third party providers, Cloud Service Providers) include supplier and service provider responsibilities for the security of the FRFI's information.",Functional ,Intersects with,8,10,"EX.CN-01.01: Contracts with suppliers clearly detail the general terms, nature, and scope of the arrangement, to include the distribution of responsibilities between the parties; costs, compensation, reimbursements, incentives, and penalties; service level agreements, performance measures, and benchmarks; responsibilities for providing, receiving, and retaining information; recourse provisions; and the organization's rights to review, monitor, and audit the supplier's activities.",EXTEND / Third-Party Contracts and Agreements / Contract General Requirements,EX.CN-01.01
OSFI CSSA-15,Identify,Business Environment,15,"The FRFI ensures that contracts for outsourcing and external services (e.g., third party providers, Cloud Service Providers) include supplier and service provider responsibilities for the security of the FRFI's information.",Functional ,Subset of ,8,10,"EX.CN-02.01: The organization's contracts require third-parties to implement minimum technology and cybersecurity management requirements, to maintain those practices for the life of the relationship, and to provide evidence of compliance on an ongoing basis.",EXTEND / Third-Party Contracts and Agreements / Contract Cybersecurity-Related Requirements,EX.CN-02.01
OSFI CSSA-15,Identify,Business Environment,15,"The FRFI ensures that contracts for outsourcing and external services (e.g., third party providers, Cloud Service Providers) include supplier and service provider responsibilities for the security of the FRFI's information.",Functional ,Superset of,7,10,"EX.CN-02.02: Minimum cybersecurity requirements for third-parties include requirements for incident and vulnerability notification, to include the types of events requiring notification, notification timeframes, and escalation protocols.",EXTEND / Third-Party Contracts and Agreements / Contract Cybersecurity-Related Requirements,EX.CN-02.02
OSFI CSSA-15,Identify,Business Environment,15,"The FRFI ensures that contracts for outsourcing and external services (e.g., third party providers, Cloud Service Providers) include supplier and service provider responsibilities for the security of the FRFI's information.",Functional ,Superset of,7,10,"EX.CN-02.03: Contracts with suppliers address, as relevant to the product or service, the supplier's obligation to maintain and regularly test a business continuity program and disaster recovery capability the meets the defined resilience requirements of the organization.",EXTEND / Third-Party Contracts and Agreements / Contract Cybersecurity-Related Requirements,EX.CN-02.03
OSFI CSSA-16,Identify,	Asset Management,16,"The FRFI maintains a configuration management database (CMDB) or similar utility for documenting and tracking IT component configurations (i.e., hardware, software, network addresses, security systems, dependencies, etc.).",Functional ,Superset of,9,9,"ID.AM-01.01: The organization maintains a current and complete asset inventory of physical devices, hardware, and information systems.",IDENTIFY / Asset Management / Hardware Inventory,ID.AM-01.01
OSFI CSSA-16,Identify,	Asset Management,16,"The FRFI maintains a configuration management database (CMDB) or similar utility for documenting and tracking IT component configurations (i.e., hardware, software, network addresses, security systems, dependencies, etc.).",Functional ,Superset of,9,9,"ID.AM-02.01: The organization maintains a current and complete inventory of software platforms, business applications, and other software assets (e.g., virtual machines and virtual network devices).","IDENTIFY / Asset Management / Software, Services, & Systems Inventory",ID.AM-02.01
OSFI CSSA-16,Identify,	Asset Management,16,"The FRFI maintains a configuration management database (CMDB) or similar utility for documenting and tracking IT component configurations (i.e., hardware, software, network addresses, security systems, dependencies, etc.).",Functional ,Superset of,7,9,"ID.AM-03.01: The organization maintains current maps of network resources, mobile resources, external connections, network-connected third parties, and network data flows.",IDENTIFY / Asset Management / Network Communications & Data Flows,ID.AM-03.01
OSFI CSSA-16,Identify,	Asset Management,16,"The FRFI maintains a configuration management database (CMDB) or similar utility for documenting and tracking IT component configurations (i.e., hardware, software, network addresses, security systems, dependencies, etc.).",Functional ,Intersects with,7,9,"ID.AM-07.01: The organization maintains a current inventory of the data being created, stored, or processed by its information assets and data flow diagrams depicting key internal and external data flows.",IDENTIFY / Asset Management / Data & Metadata Inventory,ID.AM-07.01
OSFI CSSA-17,Identify,	Asset Management,17,	The FRFI's IT assets and information are classified and managed according to a classification scheme.,Functional ,Superset of,9,10,"ID.AM-05.01: The organization establishes and maintains risk-based policies and procedures for the classification of hardware, software, and data assets based on sensitivity and criticality.",IDENTIFY / Asset Management / Asset Protection Prioritization,ID.AM-05.01
OSFI CSSA-17,Identify,	Asset Management,17,	The FRFI's IT assets and information are classified and managed according to a classification scheme.,Functional ,Superset of,9,10,"ID.AM-05.02: The organization's hardware, software, and data assets are prioritized for protection based on their sensitivity, criticality, vulnerability, business value, and dependency role in the delivery of critical services.",IDENTIFY / Asset Management / Asset Protection Prioritization,ID.AM-05.02
OSFI CSSA-17,Identify,	Asset Management,17,	The FRFI's IT assets and information are classified and managed according to a classification scheme.,Functional ,Intersects with,8,10,"PR.DS-01.01: Data-at-rest is protected commensurate with the criticality and sensitivity of the information and in alignment with the data classification and protection policy (e.g., through the use of encryption, authentication, access control, segregation, masking, tokenization, and file integrity monitoring).",PROTECT / Data Security / Protection of Data at Rest,PR.DS-01.01
OSFI CSSA-17,Identify,	Asset Management,17,	The FRFI's IT assets and information are classified and managed according to a classification scheme.,Functional ,Intersects with,8,10,"PR.DS-02.01: Data-in-transit is protected commensurate with the criticality and sensitivity of the information and in alignment with the data classification and protection policy (e.g., through the use of encryption, authentication, access control, masking, tokenization, and alternate transit paths).",PROTECT / Data Security / Protection of Data in Transit,PR.DS-02.01
OSFI CSSA-17,Identify,	Asset Management,17,	The FRFI's IT assets and information are classified and managed according to a classification scheme.,Functional ,Intersects with,8,10,"PR.DS-10.01: Data-in-use is protected commensurate with the criticality and sensitivity of the information and in alignment with the data classification and protection policy (e.g., through the use of encryption, authentication, access control, masking, tokenization, visual shielding, memory integrity monitoring, etc.)",PROTECT / Data Security / Protection of Data in Use,PR.DS-10.01
OSFI CSSA-18,Identify,	Asset Management,18,	The FRFI has established procedures for the disposal or destruction of IT assets.,Functional ,Subset of ,8,10,"ID.AM-08.01: The organization establishes and maintains asset lifecycle management policies and procedures to ensure that assets are acquired, tracked, implemented, used, decommissioned, and protected commensurate with their sensitivity, criticality, and business value.",IDENTIFY / Asset Management / Asset Life Cycle Management,ID.AM-08.01
OSFI CSSA-18,Identify,	Asset Management,18,	The FRFI has established procedures for the disposal or destruction of IT assets.,Functional ,Subset of ,9,10,"ID.AM-08.04: The organization's asset management processes ensure the protection of sensitive data throughout removal, transfers, maintenance, end-of-life, and secure disposal or re-use.",IDENTIFY / Asset Management / Asset Life Cycle Management,ID.AM-08.04
OSFI CSSA-19,Identify,Risk Assessment,19,"	The FRFI conducts Threat and Risk Assessments in the early stages of new initiatives/projects or prior to changes in existing systems and data, to identify and prioritize threats, risks and remediation options.",Functional ,Intersects with,8,10,"GV.RM-07.01: The organization has mechanisms in place to ensure that strategies, initiatives, opportunities, and emerging technologies (e.g., artificial intelligence, quantum computing, etc.) are evaluated both in terms of risks and uncertainties that are potentially detrimental to the organization, as well as potentially advantageous to the organization (i.e., positive risks).",GOVERN / Risk Management Strategy / Strategic Opportunities,GV.RM-07.01
OSFI CSSA-19,Identify,Risk Assessment,19,"	The FRFI conducts Threat and Risk Assessments in the early stages of new initiatives/projects or prior to changes in existing systems and data, to identify and prioritize threats, risks and remediation options.",Functional ,Intersects with,8,10,"GV.RM-08.01: Technology and cybersecurity risk management frameworks are applied to, and are adapted as needed by, the organization's innovations in technology use and adoption of emerging technologies.",GOVERN / Risk Management Strategy  / Technology Assimilation & Implementations,GV.RM-08.01
OSFI CSSA-19,Identify,Risk Assessment,19,"	The FRFI conducts Threat and Risk Assessments in the early stages of new initiatives/projects or prior to changes in existing systems and data, to identify and prioritize threats, risks and remediation options.",Functional ,Intersects with,9,10,"GV.RM-08.02: Technology and cybersecurity risk management frameworks are applied to all technology projects and procurements to ensure that security requirements (e.g., data confidentiality, access control, event logging, etc.) are addressed consistently from project onset.",GOVERN / Risk Management Strategy  / Technology Assimilation & Implementations,GV.RM-08.02
OSFI CSSA-19,Identify,Risk Assessment,19,"	The FRFI conducts Threat and Risk Assessments in the early stages of new initiatives/projects or prior to changes in existing systems and data, to identify and prioritize threats, risks and remediation options.",Functional ,Intersects with,8,10,"GV.RM-08.04: The organization integrates the use of technology architecture in its governance processes to support consistent approaches to security and technology design, integration of third party services, consideration and adoption of new technologies, and investment and procurement decisioning.",GOVERN / Risk Management Strategy  / Technology Assimilation & Implementations,GV.RM-08.04
OSFI CSSA-19,Identify,Risk Assessment,19,"	The FRFI conducts Threat and Risk Assessments in the early stages of new initiatives/projects or prior to changes in existing systems and data, to identify and prioritize threats, risks and remediation options.",Functional ,Intersects with,9,10,"GV.RM-08.06: Technology programs and projects are formally governed and stakeholder engagement is managed to facilitate effective communication, awareness, credible challenge, and decision-making.",GOVERN / Risk Management Strategy  / Technology Assimilation & Implementations,GV.RM-08.06
OSFI CSSA-20,Identify,Risk Assessment,20,"The FRFI should periodically assess their cyber risks, which will require consideration for and assessment of the robustness, currency and completeness of the cyber risk practices and controls.",Functional ,Intersects with,8,10,"GV.RM-03.03: Technology and cybersecurity risk management and risk assessment processes are consistent with the organization's enterprise risk management policies, procedures, and methodologies and include criteria for the evaluation and categorization of enterprise-specific risks and threats.",GOVERN / Risk Management Strategy / Enterprise Risk Integration,GV.RM-03.03
OSFI CSSA-20,Identify,Risk Assessment,20,"The FRFI should periodically assess their cyber risks, which will require consideration for and assessment of the robustness, currency and completeness of the cyber risk practices and controls.",Functional ,Superset of,8,10,"GV.RM-06.01: Technology and cybersecurity risk management and risk assessment processes and methodologies are documented and regularly reviewed and updated to address changes in the risk profile and risk appetite, the evolving threat environment, and new technologies, products, services, and interdependencies.",GOVERN / Risk Management Strategy / Standardized Risk Management Method,GV.RM-06.01
OSFI CSSA-20,Identify,Risk Assessment,20,"The FRFI should periodically assess their cyber risks, which will require consideration for and assessment of the robustness, currency and completeness of the cyber risk practices and controls.",Functional ,Superset of,8,10,"GV.OV-02.01: The organization regularly assesses its inherent technology and cybersecurity risks and ensures that changes to the business and threat environment lead to updates to the organization's strategies, programs, risk appetite and risk tolerance.",GOVERN / Oversight / Risk Management Strategy Review & Adjustment,GV.OV-02.01
OSFI CSSA-20,Identify,Risk Assessment,20,"The FRFI should periodically assess their cyber risks, which will require consideration for and assessment of the robustness, currency and completeness of the cyber risk practices and controls.",Functional ,Intersects with,8,10,GV.IR-02.01: The independent risk management function regularly evaluates the appropriateness of the technology and cybersecurity risk management programs to the organization's risk appetite and inherent risk environment,GOVERN / Independent Risk Management Function / Independent Risk Management Evaluation,GV.IR-02.01
OSFI CSSA-20,Identify,Risk Assessment,20,"The FRFI should periodically assess their cyber risks, which will require consideration for and assessment of the robustness, currency and completeness of the cyber risk practices and controls.",Functional ,Intersects with,8,10,"GV.IR-02.02: The independent risk management function regularly assesses the organization's controls and cybersecurity risk exposure, identifies opportunities for improvement based on assessment results, and recommends program improvements",GOVERN / Independent Risk Management Function / Independent Risk Management Evaluation,GV.IR-02.02
OSFI CSSA-20,Identify,Risk Assessment,20,"The FRFI should periodically assess their cyber risks, which will require consideration for and assessment of the robustness, currency and completeness of the cyber risk practices and controls.",Functional ,Superset of,8,10,"ID.RA-01.01: The organization identifies, assesses, and documents risks and potential vulnerabilities associated with assets, to include workforce, data, technology, facilities, services, and connections.",IDENTIFY / Risk Assessment / Asset Vulnerability Identification,ID.RA-01.01
OSFI CSSA-20,Identify,Risk Assessment,20,"The FRFI should periodically assess their cyber risks, which will require consideration for and assessment of the robustness, currency and completeness of the cyber risk practices and controls.",Functional ,Superset of,8,10,"ID.RA-03.01: The organization, on an ongoing basis, identifies, analyzes, correlates, characterizes, and reports threats that are internal and external to the firm.",IDENTIFY / Risk Assessment / Threat Identification,ID.RA-03.01
OSFI CSSA-20,Identify,Risk Assessment,20,"The FRFI should periodically assess their cyber risks, which will require consideration for and assessment of the robustness, currency and completeness of the cyber risk practices and controls.",Functional ,Superset of,8,10,ID.RA-04.01: The organization's risk assessment approach includes the analysis and characterization of the likelihood and potential business impact of identified risks being realized.,IDENTIFY / Risk Assessment / Impact & Likelihood Analysis,ID.RA-04.01
OSFI CSSA-20,Identify,Risk Assessment,20,"The FRFI should periodically assess their cyber risks, which will require consideration for and assessment of the robustness, currency and completeness of the cyber risk practices and controls.",Functional ,Superset of,8,10,"ID.RA-05.03: The organization's business units assess, on an ongoing basis, the technology, cybersecurity, and resilience risks associated with the activities of the business unit.",IDENTIFY / Risk Assessment / Risk Exposure Determination & Prioritization,ID.RA-05.03
OSFI CSSA-20,Identify,Risk Assessment,20,"The FRFI should periodically assess their cyber risks, which will require consideration for and assessment of the robustness, currency and completeness of the cyber risk practices and controls.",Functional ,Superset of,8,10,"ID.RA-06.01: Technology and cybersecurity risk management programs and risk assessment processes produce actionable recommendations that the organization uses to select, design, prioritize, implement, maintain, evaluate, and modify cybersecurity and technology controls.",IDENTIFY / Risk Assessment / Risk Response Determination,ID.RA-06.01
OSFI CSSA-20,Identify,Risk Assessment,20,"The FRFI should periodically assess their cyber risks, which will require consideration for and assessment of the robustness, currency and completeness of the cyber risk practices and controls.",Functional ,Superset of,8,10,"ID.IM-01.01: Technology, cybersecurity, and resilience controls are regularly assessed and/or tested for design and operating effectiveness.",IDENTIFY / Improvement / Continuous Improvements Evaluation,ID.IM-01.01
OSFI CSSA-21,Identify,Risk Assessment,21,"The FRFI conducts regular penetration testing against the network, Cloud environment and all critical IT systems to identify security gaps and deficiencies, and to affirm strengths.",Functional ,Equal,10,10,"ID.IM-02.01: The organization conducts regular, independent penetration testing and red team testing on the organization's network, internet-facing systems, critical applications, and associated controls to identify gaps in cybersecurity defenses.",IDENTIFY / Improvement / Tests & Exercises,ID.IM-02.01
OSFI CSSA-22,Defend,	Identity Management and Access Control,22,"The FRFI implements a consistent access control model (e.g., Role Based Access Control) across all critical systems.",Functional ,Subset of ,10,10,"PR.AA-05.01: The organization limits access privileges to the minimum necessary and with consideration of separation of duties (e.g., through role-based access control, asset owner access recertifications, etc.).","PROTECT / Identity Management, Authentication, and Access Control / Access Authorizations",PR.AA-05.01
OSFI CSSA-23,Defend,	Identity Management and Access Control,23,"The FRFI requires that all persons, systems or services be identified, authenticated and authorized prior to granting access to FRFI systems, services or data.",Functional ,Subset of ,9,10,"PR.AA-02.01: The organization authenticates identity, validates the authorization level of a user before granting access to its systems, limits the use of an account to a single individual, and attributes activities to the user in logs and transactions.","PROTECT / Identity Management, Authentication, and Access Control / Identity Binding to Credentials",PR.AA-02.01
OSFI CSSA-23,Defend,	Identity Management and Access Control,23,"The FRFI requires that all persons, systems or services be identified, authenticated and authorized prior to granting access to FRFI systems, services or data.",Functional ,Intersects with,9,10,"PR.AA-03.01: Based on the risk level of a user access or a specific transaction, the organization defines and implements authentication requirements, which may include multi-factor or out-of-band authentication, and may adopt other real-time risk prevention or mitigation tactics.","PROTECT / Identity Management, Authentication, and Access Control / Authentication",PR.AA-03.01
OSFI CSSA-23,Defend,	Identity Management and Access Control,23,"The FRFI requires that all persons, systems or services be identified, authenticated and authorized prior to granting access to FRFI systems, services or data.",Functional ,Intersects with,9,10,"PR.AA-03.02: Decisions to authorize user access to devices and other assets are made with consideration of: 
(1) Business need for the access;
(2) The type of data being accessed (e.g., customer PII, public data);
(3) The risk of the transaction (e.g., internal-to-internal, external-to-internal);
(4) The organization's level of trust for the accessing agent (e.g., external application, internal user); and
(5) The potential for harm.","PROTECT / Identity Management, Authentication, and Access Control / Authentication",PR.AA-03.02
OSFI CSSA-24,Defend,	Identity Management and Access Control,24,"The FRFI consistently applies the principle of ""least privilege"", such that the permissions and access granted to an authenticated person, system or service is sufficient to their operational need, and no higher.",Functional ,Equal,10,10,"PR.AA-05.01: The organization limits access privileges to the minimum necessary and with consideration of separation of duties (e.g., through role-based access control, asset owner access recertifications, etc.).","PROTECT / Identity Management, Authentication, and Access Control / Access Authorizations",PR.AA-05.01
OSFI CSSA-24,Defend,	Identity Management and Access Control,24,"The FRFI consistently applies the principle of ""least privilege"", such that the permissions and access granted to an authenticated person, system or service is sufficient to their operational need, and no higher.",Functional ,Intersects with,8,10,"PR.AA-05.02: The organization institutes controls over privileged system access by strictly limiting and closely managing staff and services with elevated system entitlements (e.g., multi-factor authentication, dual accounts, privilege and time constraints, etc.)","PROTECT / Identity Management, Authentication, and Access Control / Access Authorizations",PR.AA-05.02
OSFI CSSA-25,Defend,	Identity Management and Access Control,25,"The FRFI ensures that permissions are revoked and accounts or active connections are terminated, when no longer required.",Functional ,Subset of ,9,10,"GV.RR-04.02: The organization establishes processes and controls to mitigate cyber risks related to employment termination, as permitted by law, to include the return or disposition of all organizational assets.","GOVERN / Roles, Responsibilities, and Authorities / Human Resource Practices",GV.RR-04.02
OSFI CSSA-25,Defend,	Identity Management and Access Control,25,"The FRFI ensures that permissions are revoked and accounts or active connections are terminated, when no longer required.",Functional ,Intersects with,9,10,"PR.AA-01.01: Identities and credentials are actively managed or automated for authorized devices and users (e.g., removal of default and factory passwords, password strength requirements, automatic revocation of credentials under defined conditions, regular asset owner access review, etc.).","PROTECT / Identity Management, Authentication, and Access Control / Identity & Credential Management",PR.AA-01.01
OSFI CSSA-25,Defend,	Identity Management and Access Control,25,"The FRFI ensures that permissions are revoked and accounts or active connections are terminated, when no longer required.",Functional ,Intersects with,8,10,"PR.AA-04.01: Access credential and authorization mechanisms for internal systems and across security perimeters (e.g., leveraging directory services, directory synchronization, single sign-on, federated access, credential mapping, etc.) are designed to maintain security, integrity, and authenticity.","PROTECT / Identity Management, Authentication, and Access Control / Identity Assertions",PR.AA-04.01
OSFI CSSA-26,Defend,	Identity Management and Access Control,26,The FRFI implements Multi-Factor Authentication for access to critical systems and for remote access to the FRFI network.,Functional ,Subset of ,9,10,"PR.AA-03.01: Based on the risk level of a user access or a specific transaction, the organization defines and implements authentication requirements, which may include multi-factor or out-of-band authentication, and may adopt other real-time risk prevention or mitigation tactics.","PROTECT / Identity Management, Authentication, and Access Control / Authentication",PR.AA-03.01
OSFI CSSA-26,Defend,	Identity Management and Access Control,26,The FRFI implements Multi-Factor Authentication for access to critical systems and for remote access to the FRFI network.,Functional ,Intersects with,9,10,"PR.AA-05.02: The organization institutes controls over privileged system access by strictly limiting and closely managing staff and services with elevated system entitlements (e.g., multi-factor authentication, dual accounts, privilege and time constraints, etc.)","PROTECT / Identity Management, Authentication, and Access Control / Access Authorizations",PR.AA-05.02
OSFI CSSA-26,Defend,	Identity Management and Access Control,26,The FRFI implements Multi-Factor Authentication for access to critical systems and for remote access to the FRFI network.,Functional ,Intersects with,9,10,"PR.PS-01.09: Endpoint systems implemented using virtualization technologies employ mechanisms to protect network, application, and data integrity, such as restricting access to local network and peripheral devices, multi-factor authentication, locking-down device source network locations, and data leakage protections.",PROTECT / Platform Security / Configuration Management,PR.PS-01.09
OSFI CSSA-26,Defend,	Identity Management and Access Control,26,The FRFI implements Multi-Factor Authentication for access to critical systems and for remote access to the FRFI network.,Functional ,Subset of ,9,10,"PR.IR-01.05: Remote access is carefully controlled (e.g., restricted to defined systems, access is actively managed (e.g., session timeouts, logging, forced disconnect, etc.), and encrypted connections with multi-factor authentication are used).",PROTECT / Technology Infrastructure Resilience / Logical Access Protections,PR.IR-01.05
OSFI CSSA-27,Defend,	Identity Management and Access Control,27,"The FRFI encrypts and securely stores identity and access control credentials (e.g. passwords), separate from other data.",Functional ,Subset of ,8,10,"PR.AA-01.01: Identities and credentials are actively managed or automated for authorized devices and users (e.g., removal of default and factory passwords, password strength requirements, automatic revocation of credentials under defined conditions, regular asset owner access review, etc.).","PROTECT / Identity Management, Authentication, and Access Control / Identity & Credential Management",PR.AA-01.01
OSFI CSSA-27,Defend,	Identity Management and Access Control,27,"The FRFI encrypts and securely stores identity and access control credentials (e.g. passwords), separate from other data.",Functional ,Intersects with,9,10,"PR.AA-04.01: Access credential and authorization mechanisms for internal systems and across security perimeters (e.g., leveraging directory services, directory synchronization, single sign-on, federated access, credential mapping, etc.) are designed to maintain security, integrity, and authenticity.","PROTECT / Identity Management, Authentication, and Access Control / Identity Assertions",PR.AA-04.01
OSFI CSSA-27,Defend,	Identity Management and Access Control,27,"The FRFI encrypts and securely stores identity and access control credentials (e.g. passwords), separate from other data.",Functional ,Intersects with,7,10,PR.PS-01.06: The organization employs defined encryption methods and management practices commensurate with the criticality of the information being protected and the inherent risk of the technical environment where used.,PROTECT / Platform Security / Configuration Management,PR.PS-01.06
OSFI CSSA-28,Defend,	Identity Management and Access Control,28,"Privileged account credentials are managed, monitored and secured.",Functional ,Subset of ,9,10,"PR.AA-05.02: The organization institutes controls over privileged system access by strictly limiting and closely managing staff and services with elevated system entitlements (e.g., multi-factor authentication, dual accounts, privilege and time constraints, etc.)","PROTECT / Identity Management, Authentication, and Access Control / Access Authorizations",PR.AA-05.02
OSFI CSSA-28,Defend,	Identity Management and Access Control,28,"Privileged account credentials are managed, monitored and secured.",Functional ,Subset of ,9,10,"PR.AA-05.03: The organization institutes controls over service account (i.e., accounts used by systems to access other systems) lifecycles to ensure strict security over creation, use, and termination; access credentials (e.g., no embedded passwords in code); frequent reviews of account ownership; visibility for unauthorized use; and hardening against malicious insider use.","PROTECT / Identity Management, Authentication, and Access Control / Access Authorizations",PR.AA-05.03
OSFI CSSA-28,Defend,	Identity Management and Access Control,28,"Privileged account credentials are managed, monitored and secured.",Functional ,Intersects with,8,10,"DE.CM-03.03: The organization logs and reviews the activities of privileged users and accounts, and monitoring for anomalous behaviors is implemented.",DETECT / Continuous Monitoring / Personnel Activity Monitoring,DE.CM-03.03
OSFI CSSA-29,Defend,Network Security,29,"The FRFI follows a positive security model for network security, allowing only pre-defined and authorized traffic (IP addresses, protocols, ports, etc.).",Functional ,Intersects with,8,10,"PR.PS-01.01: The organization establishes and maintains standard system security configuration baselines, informed by industry standards and hardening guidelines, to facilitate the consistent application of security settings, configurations, and versions.",PROTECT / Platform Security / Configuration Management,PR.PS-01.01
OSFI CSSA-29,Defend,Network Security,29,"The FRFI follows a positive security model for network security, allowing only pre-defined and authorized traffic (IP addresses, protocols, ports, etc.).",Functional ,Intersects with,8,10,PR.PS-01.02: The organization's systems are configured to provide only essential capabilities to implement the principle of least functionality.,PROTECT / Platform Security / Configuration Management,PR.PS-01.02
OSFI CSSA-29,Defend,Network Security,29,"The FRFI follows a positive security model for network security, allowing only pre-defined and authorized traffic (IP addresses, protocols, ports, etc.).",Functional ,Intersects with,9,10,"PR.IR-01.02: Network device configurations (e.g., firewall rules, ports, and protocols) are documented, reviewed and updated regularly and upon change to ensure alignment with network access, segmentation, traversal, and deny-all default requirements.",PROTECT / Technology Infrastructure Resilience / Logical Access Protections,PR.IR-01.02
OSFI CSSA-29,Defend,Network Security,29,"The FRFI follows a positive security model for network security, allowing only pre-defined and authorized traffic (IP addresses, protocols, ports, etc.).",Functional ,Intersects with,8,10,"PR.IR-01.03: The integrity and resilience of the organization's communications and control network services are enhanced through controls such as denial of service protections, secure name/address resolution, and/or alternate communications paths.",PROTECT / Technology Infrastructure Resilience / Logical Access Protections,PR.IR-01.03
OSFI CSSA-29,Defend,Network Security,29,"The FRFI follows a positive security model for network security, allowing only pre-defined and authorized traffic (IP addresses, protocols, ports, etc.).",Functional ,Intersects with,9,10,PR.IR-01.06: The organization's production and non-production environments and data are segregated and managed to prevent unauthorized access or changes to the information assets.,PROTECT / Technology Infrastructure Resilience / Logical Access Protections,PR.IR-01.06
OSFI CSSA-29,Defend,Network Security,29,"The FRFI follows a positive security model for network security, allowing only pre-defined and authorized traffic (IP addresses, protocols, ports, etc.).",Functional ,Intersects with,8,10,"PR.IR-01.07: The organization defines and implements controls for securely configuring and operating Operational Technologies, Industrial Control Systems, and Internet-of-Things (IoT) devices (e.g., segregated printer networks, resetting of default passwords, etc.)",PROTECT / Technology Infrastructure Resilience / Logical Access Protections,PR.IR-01.07
OSFI CSSA-29,Defend,Network Security,29,"The FRFI follows a positive security model for network security, allowing only pre-defined and authorized traffic (IP addresses, protocols, ports, etc.).",Functional ,Intersects with,8,10,"PR.IR-01.08: The organization implements policies, procedures, end-user agreements, and technical controls to address the risks of end-user mobile or personal computing devices accessing the organization's network and resources.",PROTECT / Technology Infrastructure Resilience / Logical Access Protections,PR.IR-01.08
OSFI CSSA-29,Defend,Network Security,29,"The FRFI follows a positive security model for network security, allowing only pre-defined and authorized traffic (IP addresses, protocols, ports, etc.).",Functional ,Intersects with,7,10,PR.IR-04.01: Baseline measures of network and system utilization and transaction activity are captured to support capacity planning and anomalous activity detection.,PROTECT / Technology Infrastructure Resilience / Capacity Management,PR.IR-04.01
OSFI CSSA-29,Defend,Network Security,29,"The FRFI follows a positive security model for network security, allowing only pre-defined and authorized traffic (IP addresses, protocols, ports, etc.).",Functional ,Intersects with,7,10,"DE.CM-01.03: The organization has policies, procedures, and tools in place to monitor for, detect, and block unauthorized network connections and data transfers.",DETECT / Continuous Monitoring / Network Monitoring,DE.CM-01.03
OSFI CSSA-29,Defend,Network Security,29,"The FRFI follows a positive security model for network security, allowing only pre-defined and authorized traffic (IP addresses, protocols, ports, etc.).",Functional ,Intersects with,7,10,"DE.CM-01.06: The organization employs deception techniques and technologies (e.g., honeypots) to detect and prevent a potential intrusion in its early stages to support timely containment and recovery.",DETECT / Continuous Monitoring / Network Monitoring,DE.CM-01.06
OSFI CSSA-30,Defend,Network Security,30,"The FRFI defines logical network zones, and applies controls to segregate and limit or block traffic between those zones, to help track, manage and secure the assets within those zones.",Functional ,Intersects with,7,10,"ID.AM-03.01: The organization maintains current maps of network resources, mobile resources, external connections, network-connected third parties, and network data flows.",IDENTIFY / Asset Management / Network Communications & Data Flows,ID.AM-03.01
