,,"NY Department of Financial Services (NYDFS) Cybersecurity Regulation (23 NYCRR 500 Second Amendment)
to CRI Profile ver. 2.1 Mapping","NY Department of Financial Services (NYDFS) Cybersecurity Regulation (23 NYCRR 500 Second Amendment)
to CRI Profile ver. 2.1 Mapping","NY Department of Financial Services (NYDFS) Cybersecurity Regulation (23 NYCRR 500 Second Amendment)
to CRI Profile ver. 2.1 Mapping","NY Department of Financial Services (NYDFS) Cybersecurity Regulation (23 NYCRR 500 Second Amendment)
to CRI Profile ver. 2.1 Mapping","NY Department of Financial Services (NYDFS) Cybersecurity Regulation (23 NYCRR 500 Second Amendment)
to CRI Profile ver. 2.1 Mapping","NY Department of Financial Services (NYDFS) Cybersecurity Regulation (23 NYCRR 500 Second Amendment)
to CRI Profile ver. 2.1 Mapping","NY Department of Financial Services (NYDFS) Cybersecurity Regulation (23 NYCRR 500 Second Amendment)
to CRI Profile ver. 2.1 Mapping","NY Department of Financial Services (NYDFS) Cybersecurity Regulation (23 NYCRR 500 Second Amendment)
to CRI Profile ver. 2.1 Mapping",,
NYDFS-11,500.4 Cybersecurity governance,500.4.d,"The senior governing body of the covered entity shall exercise oversight of the covered entity’s cybersecurity risk management, including by: 
(1) having sufficient understanding of cybersecurity-related matters to exercise such oversight, which may include the use of advisors; 
(2) requiring the covered entity’s executive management or its designees to develop, implement and maintain the covered entity’s cybersecurity program; 
(3) regularly receiving and reviewing management reports about cybersecurity matters; and 
(4) confirming that the covered entity’s management has allocated sufficient resources to implement and maintain an effective cybersecurity program.",Semantic,Superset of,6,10,No Gaps Identified,"GV.OV-01.02: The designated Cybersecurity Officer (e.g., CISO) periodically reports to the appropriate governing authority (e.g., the Board or one of its committees) or equivalent governing body on the status of cybersecurity within the organization.",GOVERN / Oversight / Risk Management Strategy Outcomes Review,GV.OV-01.02
NYDFS-11,500.4 Cybersecurity governance,500.4.d,"The senior governing body of the covered entity shall exercise oversight of the covered entity’s cybersecurity risk management, including by: 
(1) having sufficient understanding of cybersecurity-related matters to exercise such oversight, which may include the use of advisors; 
(2) requiring the covered entity’s executive management or its designees to develop, implement and maintain the covered entity’s cybersecurity program; 
(3) regularly receiving and reviewing management reports about cybersecurity matters; and 
(4) confirming that the covered entity’s management has allocated sufficient resources to implement and maintain an effective cybersecurity program.",Semantic,Intersects with,6,10,No Gaps Identified,"GV.OV-03.01: The organization develops, implements, and reports to management and the governing body (e.g., the Board or one of its committees) key technology and cybersecurity risk and performance indicators and metrics to measure, monitor, and report actionable indicators.",GOVERN / Oversight / Risk Management Performance Measurement,GV.OV-03.01
NYDFS-11,500.4 Cybersecurity governance,500.4.d,"The senior governing body of the covered entity shall exercise oversight of the covered entity’s cybersecurity risk management, including by: 
(1) having sufficient understanding of cybersecurity-related matters to exercise such oversight, which may include the use of advisors; 
(2) requiring the covered entity’s executive management or its designees to develop, implement and maintain the covered entity’s cybersecurity program; 
(3) regularly receiving and reviewing management reports about cybersecurity matters; and 
(4) confirming that the covered entity’s management has allocated sufficient resources to implement and maintain an effective cybersecurity program.",Semantic,Intersects with,8,10,No Gaps Identified,"GV.IR-01.02: The independent risk management function has sufficient independence, stature, authority, resources, and access to the governing body (e.g., the Board or one of its committees), including reporting lines, to ensure consistency with the organization's risk management frameworks.",GOVERN / Independent Risk Management Function / Independent Risk Management Function,GV.IR-01.02
NYDFS-11,500.4 Cybersecurity governance,500.4.d,"The senior governing body of the covered entity shall exercise oversight of the covered entity’s cybersecurity risk management, including by: 
(1) having sufficient understanding of cybersecurity-related matters to exercise such oversight, which may include the use of advisors; 
(2) requiring the covered entity’s executive management or its designees to develop, implement and maintain the covered entity’s cybersecurity program; 
(3) regularly receiving and reviewing management reports about cybersecurity matters; and 
(4) confirming that the covered entity’s management has allocated sufficient resources to implement and maintain an effective cybersecurity program.",Semantic,Superset of,8,10,No Gaps Identified,"GV.IR-03.01: The independent risk management function reports to the governing authority (e.g., the Board or one of its committees) and to the designated risk management officer within the organization on the implementation of the technology and cybersecurity risk management frameworks throughout the organization and its independent assessment of risk posture.",GOVERN / Independent Risk Management Function / Independent Risk Management Reporting,GV.IR-03.01
NYDFS-11,500.4 Cybersecurity governance,500.4.d,"The senior governing body of the covered entity shall exercise oversight of the covered entity’s cybersecurity risk management, including by: 
(1) having sufficient understanding of cybersecurity-related matters to exercise such oversight, which may include the use of advisors; 
(2) requiring the covered entity’s executive management or its designees to develop, implement and maintain the covered entity’s cybersecurity program; 
(3) regularly receiving and reviewing management reports about cybersecurity matters; and 
(4) confirming that the covered entity’s management has allocated sufficient resources to implement and maintain an effective cybersecurity program.",Semantic,Intersects with,9,10,No Gaps Identified,"PR.AT-02.07: The organization's governing body (e.g., the Board or one of its committees) and senior management receive cybersecurity situational awareness training to include appropriate skills and knowledge to: 
(1) Evaluate and manage cyber risks;
(2) Promote a culture that recognizes that staff at all levels have important responsibilities in ensuring the organization's cyber resilience; and
(3) Lead by example.",PROTECT / Awareness and Training / Specialized Role Awareness & Training,PR.AT-02.07
NYDFS-11,500.4 Cybersecurity governance,500.4.d,"The senior governing body of the covered entity shall exercise oversight of the covered entity’s cybersecurity risk management, including by: 
(1) having sufficient understanding of cybersecurity-related matters to exercise such oversight, which may include the use of advisors; 
(2) requiring the covered entity’s executive management or its designees to develop, implement and maintain the covered entity’s cybersecurity program; 
(3) regularly receiving and reviewing management reports about cybersecurity matters; and 
(4) confirming that the covered entity’s management has allocated sufficient resources to implement and maintain an effective cybersecurity program.",Semantic,Intersects with,9,10,No Gaps Identified,"PR.AT-02.08: Where the organization's governing authority (e.g., the Board or one of its committees) does not have adequate cybersecurity expertise, they should have direct access to the senior officer responsible for cybersecurity and independent sources of expertise to discuss cybersecurity related matters.",PROTECT / Awareness and Training / Specialized Role Awareness & Training,PR.AT-02.08
NYDFS-12,500.5 Vulnerability management,500.5.a,"Each covered entity shall, in accordance with its risk assessment, develop and implement written policies and procedures for vulnerability management that are designed to assess and maintain the effectiveness of  its cybersecurity program.  These policies and procedures shall be designed to ensure that covered entities 
(a) conduct, at a minimum:
(1) penetration testing of their information systems from both inside and outside the information systems’ boundaries by a qualified internal or external party at least annually; and
(2) automated scans of information systems, and a manual review of systems not covered by such scans, for the purpose of discovering, analyzing and reporting vulnerabilities at a frequency determined by the risk assessment, and promptly after any material system changes",Semantic,Superset of,9,9,"The Profile requires penetration testing and vulnerability assessments, but Section 500.05 is more specific, requiring: annual penetration testing and biannual vulnerability assessments for entity's without effective continuous monitoring.  Please refer to the Diagnostic Statement Workbook, which provides greater detail on examples of effective evidence. ","ID.RA-01.03: The organization establishes and maintains standards and capabilities for ongoing vulnerability management, including systematic scans, or reviews reasonably designed to identify known cyber vulnerabilities and upgrade opportunities, across the organization's environments and assets.",IDENTIFY / Risk Assessment / Asset Vulnerability Identification,ID.RA-01.03
NYDFS-12,500.5 Vulnerability management,500.5.a,"Each covered entity shall, in accordance with its risk assessment, develop and implement written policies and procedures for vulnerability management that are designed to assess and maintain the effectiveness of  its cybersecurity program.  These policies and procedures shall be designed to ensure that covered entities 
(a) conduct, at a minimum:
(1) penetration testing of their information systems from both inside and outside the information systems’ boundaries by a qualified internal or external party at least annually; and
(2) automated scans of information systems, and a manual review of systems not covered by such scans, for the purpose of discovering, analyzing and reporting vulnerabilities at a frequency determined by the risk assessment, and promptly after any material system changes",Semantic,Superset of,8,9,"The Profile requires penetration testing and vulnerability assessments, but Section 500.05 is more specific, requiring: annual penetration testing and biannual vulnerability assessments for entity's without effective continuous monitoring.  Please refer to the Diagnostic Statement Workbook, which provides greater detail on examples of effective evidence. ","ID.IM-02.01: The organization conducts regular, independent penetration testing and red team testing on the organization's network, internet-facing systems, critical applications, and associated controls to identify gaps in cybersecurity defenses.",IDENTIFY / Improvement / Tests & Exercises,ID.IM-02.01
NYDFS-12,500.5 Vulnerability management,500.5.a,"Each covered entity shall, in accordance with its risk assessment, develop and implement written policies and procedures for vulnerability management that are designed to assess and maintain the effectiveness of  its cybersecurity program.  These policies and procedures shall be designed to ensure that covered entities 
(a) conduct, at a minimum:
(1) penetration testing of their information systems from both inside and outside the information systems’ boundaries by a qualified internal or external party at least annually; and
(2) automated scans of information systems, and a manual review of systems not covered by such scans, for the purpose of discovering, analyzing and reporting vulnerabilities at a frequency determined by the risk assessment, and promptly after any material system changes",Semantic,Intersects with,7,9,"The Profile requires penetration testing and vulnerability assessments, but Section 500.05 is more specific, requiring: annual penetration testing and biannual vulnerability assessments for entity's without effective continuous monitoring.  Please refer to the Diagnostic Statement Workbook, which provides greater detail on examples of effective evidence. ",PR.PS-02.02: The organization establishes standards and practices for ongoing application management to ensure that applications remain secure and continue to meet organizational needs.,PROTECT / Platform Security / Software Maintenance & Replacement,PR.PS-02.02
NYDFS-13,500.5 Vulnerability management,500.5.b,These policies and procedures shall be designed to ensure that covered entities are promptly informed of new security vulnerabilities by having a monitoring process in place; and,Semantic,Intersects with,7,10,No Gaps Identified,"ID.RA-01.01: The organization identifies, assesses, and documents risks and potential vulnerabilities associated with assets, to include workforce, data, technology, facilities, services, and connections.",IDENTIFY / Risk Assessment / Asset Vulnerability Identification,ID.RA-01.01
NYDFS-13,500.5 Vulnerability management,500.5.b,These policies and procedures shall be designed to ensure that covered entities are promptly informed of new security vulnerabilities by having a monitoring process in place; and,Semantic,Intersects with,7,10,No Gaps Identified,"ID.RA-01.02: The organization's business units ensure that information regarding cyber risk is shared with the appropriate level of senior management in a timely manner, so that they can address and respond to emerging cyber risk.",IDENTIFY / Risk Assessment / Asset Vulnerability Identification,ID.RA-01.02
NYDFS-13,500.5 Vulnerability management,500.5.b,These policies and procedures shall be designed to ensure that covered entities are promptly informed of new security vulnerabilities by having a monitoring process in place; and,Semantic,Superset of,8,10,No Gaps Identified,"ID.RA-01.03: The organization establishes and maintains standards and capabilities for ongoing vulnerability management, including systematic scans, or reviews reasonably designed to identify known cyber vulnerabilities and upgrade opportunities, across the organization's environments and assets.",IDENTIFY / Risk Assessment / Asset Vulnerability Identification,ID.RA-01.03
NYDFS-13,500.5 Vulnerability management,500.5.b,These policies and procedures shall be designed to ensure that covered entities are promptly informed of new security vulnerabilities by having a monitoring process in place; and,Semantic,Intersects with,5,10,No Gaps Identified,"ID.RA-05.04: The organization uses scenario planning, table-top-exercises, or similar event analysis techniques to identify vulnerabilities and determine potential impacts to critical infrastructure, technology, and business processes.",IDENTIFY / Risk Assessment / Risk Exposure Determination & Prioritization,ID.RA-05.04
NYDFS-13,500.5 Vulnerability management,500.5.b,These policies and procedures shall be designed to ensure that covered entities are promptly informed of new security vulnerabilities by having a monitoring process in place; and,Semantic,Superset of,7,10,No Gaps Identified,"ID.RA-08.01: The organization has established enterprise processes for soliciting, receiving and appropriately channeling vulnerability disclosures from:
(1) Public sources (e.g., customers and security researchers);
(2) Vulnerability sharing forums (e.g., FS-ISAC); and
(3) Third-parties (e.g., cloud vendors);
(4) Internal sources (e.g., development teams).",IDENTIFY / Risk Assessment / Vulnerability Disclosure Response,ID.RA-08.01
NYDFS-13,500.5 Vulnerability management,500.5.b,These policies and procedures shall be designed to ensure that covered entities are promptly informed of new security vulnerabilities by having a monitoring process in place; and,Semantic,Superset of,7,10,No Gaps Identified,"ID.RA-08.02: The organization has established enterprise processes to analyze disclosed vulnerabilities with a focus on:
(1) Determining its validity;
(2) Assessing its scope (e.g., affected assets);
(3) Determining it's severity and impact;
(4) Identifying affected stakeholders or customers; and
(5) Analyzing options to respond.",IDENTIFY / Risk Assessment / Vulnerability Disclosure Response,ID.RA-08.02
NYDFS-13,500.5 Vulnerability management,500.5.b,These policies and procedures shall be designed to ensure that covered entities are promptly informed of new security vulnerabilities by having a monitoring process in place; and,Semantic,Intersects with,7,10,No Gaps Identified,"ID.IM-02.01: The organization conducts regular, independent penetration testing and red team testing on the organization's network, internet-facing systems, critical applications, and associated controls to identify gaps in cybersecurity defenses.",IDENTIFY / Improvement / Tests & Exercises,ID.IM-02.01
NYDFS-13,500.5 Vulnerability management,500.5.b,These policies and procedures shall be designed to ensure that covered entities are promptly informed of new security vulnerabilities by having a monitoring process in place; and,Semantic,Intersects with,7,10,No Gaps Identified,PR.PS-02.02: The organization establishes standards and practices for ongoing application management to ensure that applications remain secure and continue to meet organizational needs.,PROTECT / Platform Security / Software Maintenance & Replacement,PR.PS-02.02
NYDFS-13,500.5 Vulnerability management,500.5.b,These policies and procedures shall be designed to ensure that covered entities are promptly informed of new security vulnerabilities by having a monitoring process in place; and,Semantic,Intersects with,5,10,No Gaps Identified,"EX.CN-02.02: Minimum cybersecurity requirements for third-parties include requirements for incident and vulnerability notification, to include the types of events requiring notification, notification timeframes, and escalation protocols.",EXTEND / Third-Party Contracts and Agreements / Contract Cybersecurity-Related Requirements,EX.CN-02.02
NYDFS-14,500.5 Vulnerability management,500.5.c,"Timely remediate vulnerabilities, giving priority to vulnerabilities based on the risk they pose to the covered entity; and",Semantic,Superset of,9,10,No Gaps Identified,"ID.RA-06.05: The organization defines and implements standards and procedures to prioritize and remediate issues identified in vulnerability scanning or penetration testing, including emergency or zero-day threats and vulnerabilities.",IDENTIFY / Risk Assessment / Risk Response Determination,ID.RA-06.05
NYDFS-14,500.5 Vulnerability management,500.5.c,"Timely remediate vulnerabilities, giving priority to vulnerabilities based on the risk they pose to the covered entity; and",Semantic,Superset of,8,10,No Gaps Identified,"ID.RA-06.06: The organization follows documented procedures, consistent with established risk response processes, for mitigating or accepting the risk of vulnerabilities or weaknesses identified in exercises and testing or when responding to incidents.",IDENTIFY / Risk Assessment / Risk Response Determination,ID.RA-06.06
NYDFS-14,500.5 Vulnerability management,500.5.c,"Timely remediate vulnerabilities, giving priority to vulnerabilities based on the risk they pose to the covered entity; and",Semantic,Superset of,9,10,No Gaps Identified,"PR.PS-02.01: The organization defines and implements controls to identify patches to technology assets, assess patch criticality and risk, test patches, and apply patches within risk/criticality-based target time frames.",PROTECT / Platform Security / Software Maintenance & Replacement,PR.PS-02.01
NYDFS-14,500.5 Vulnerability management,500.5.c,"Timely remediate vulnerabilities, giving priority to vulnerabilities based on the risk they pose to the covered entity; and",Semantic,Intersects with,7,10,No Gaps Identified,PR.PS-02.02: The organization establishes standards and practices for ongoing application management to ensure that applications remain secure and continue to meet organizational needs.,PROTECT / Platform Security / Software Maintenance & Replacement,PR.PS-02.02
NYDFS-14,500.5 Vulnerability management,500.5.c,"Timely remediate vulnerabilities, giving priority to vulnerabilities based on the risk they pose to the covered entity; and",Semantic,Intersects with,6,10,No Gaps Identified,"PR.PS-06.06: The system development lifecycle remediates known critical vulnerabilities, and critical vulnerabilities discovered during testing, prior to production deployment.",PROTECT / Platform Security / Secure Systems Development Practices,PR.PS-06.06
NYDFS-15,500.6 Audit trail,500.6.a,"Each Covered Entity shall securely maintain systems that, to the extent applicable and based on its Risk Assessment:

(1) are designed to reconstruct material financial transactions sufficient to support normal operations and obligations of the Covered Entity; and
(2) include audit trails designed to detect and respond to Cybersecurity Events that have a reasonable likelihood of materially harming any material part of the normal operations of the Covered Entity.",Semantic,Intersects with,7,10,No Gaps Identified,"GV.OC-04.03: Resilience requirements to support the delivery of critical services are established for all operating states (e.g., under duress/attack, during recovery, and normal operations).",GOVERN / Organizational Context / Stakeholder Service Expectations,GV.OC-04.03
NYDFS-15,500.6 Audit trail,500.6.a,"Each Covered Entity shall securely maintain systems that, to the extent applicable and based on its Risk Assessment:

(1) are designed to reconstruct material financial transactions sufficient to support normal operations and obligations of the Covered Entity; and
(2) include audit trails designed to detect and respond to Cybersecurity Events that have a reasonable likelihood of materially harming any material part of the normal operations of the Covered Entity.",Semantic,Intersects with,8,10,No Gaps Identified,"GV.OC-05.03: The organization defines objectives (e.g., Recovery Time Objective, Maximum Tolerable Downtime, Impact Tolerance) for the resumption of critical operations in alignment with business imperatives, stakeholder obligations, and critical infrastructure dependencies.",GOVERN / Organizational Context / Organizational Service Dependencies,GV.OC-05.03
NYDFS-15,500.6 Audit trail,500.6.a,"Each Covered Entity shall securely maintain systems that, to the extent applicable and based on its Risk Assessment:

(1) are designed to reconstruct material financial transactions sufficient to support normal operations and obligations of the Covered Entity; and
(2) include audit trails designed to detect and respond to Cybersecurity Events that have a reasonable likelihood of materially harming any material part of the normal operations of the Covered Entity.",Semantic,Intersects with,8,10,No Gaps Identified,"GV.OC-05.04: Recovery point objectives to support data integrity are consistent with the organization's recovery time objectives, information flow dependencies between systems, and business obligations.",GOVERN / Organizational Context / Organizational Service Dependencies,GV.OC-05.04
NYDFS-15,500.6 Audit trail,500.6.a,"Each Covered Entity shall securely maintain systems that, to the extent applicable and based on its Risk Assessment:

(1) are designed to reconstruct material financial transactions sufficient to support normal operations and obligations of the Covered Entity; and
(2) include audit trails designed to detect and respond to Cybersecurity Events that have a reasonable likelihood of materially harming any material part of the normal operations of the Covered Entity.",Semantic,Intersects with,7,10,No Gaps Identified,"GV.RM-09.02: The resilience program ensures that the organization can continue operating critical business functions and deliver services to stakeholders, to include critical infrastructure partners, during adverse incidents and cyber attacks (e.g., propagation of malware or extended system outages).",GOVERN / Risk Management Strategy  / Business Continuity & Resilience Risk Management,GV.RM-09.02
NYDFS-15,500.6 Audit trail,500.6.a,"Each Covered Entity shall securely maintain systems that, to the extent applicable and based on its Risk Assessment:

(1) are designed to reconstruct material financial transactions sufficient to support normal operations and obligations of the Covered Entity; and
(2) include audit trails designed to detect and respond to Cybersecurity Events that have a reasonable likelihood of materially harming any material part of the normal operations of the Covered Entity.",Semantic,Intersects with,6,10,No Gaps Identified,"ID.IM-02.06: The organization designs and tests its systems and processes, and employs third-party support resources (e.g., Sheltered Harbor), to enable recovery of accurate data (e.g., material financial transactions) sufficient to support defined business recovery time and recovery point objectives.",IDENTIFY / Improvement / Tests & Exercises,ID.IM-02.06
NYDFS-15,500.6 Audit trail,500.6.a,"Each Covered Entity shall securely maintain systems that, to the extent applicable and based on its Risk Assessment:

(1) are designed to reconstruct material financial transactions sufficient to support normal operations and obligations of the Covered Entity; and
(2) include audit trails designed to detect and respond to Cybersecurity Events that have a reasonable likelihood of materially harming any material part of the normal operations of the Covered Entity.",Semantic,Superset of,9,10,No Gaps Identified,"ID.IM-04.04: The organization has plans to identify, in a timely manner, the status of all transactions and member positions at the time of a disruption, supported by corresponding recovery point objectives.",IDENTIFY / Improvement / Plans Affecting Operations,ID.IM-04.04
NYDFS-15,500.6 Audit trail,500.6.a,"Each Covered Entity shall securely maintain systems that, to the extent applicable and based on its Risk Assessment:

(1) are designed to reconstruct material financial transactions sufficient to support normal operations and obligations of the Covered Entity; and
(2) include audit trails designed to detect and respond to Cybersecurity Events that have a reasonable likelihood of materially harming any material part of the normal operations of the Covered Entity.",Semantic,Intersects with,5,10,No Gaps Identified,"PR.PS-04.01: The organization establishes and regularly reviews log management standards and practices, to include the types of events to be detected, log content, security and access considerations, monitoring protocols, integrity checking mechanisms, and retention periods.",PROTECT / Platform Security / Log Record Generation,PR.PS-04.01
NYDFS-15,500.6 Audit trail,500.6.a,"Each Covered Entity shall securely maintain systems that, to the extent applicable and based on its Risk Assessment:

(1) are designed to reconstruct material financial transactions sufficient to support normal operations and obligations of the Covered Entity; and
(2) include audit trails designed to detect and respond to Cybersecurity Events that have a reasonable likelihood of materially harming any material part of the normal operations of the Covered Entity.",Semantic,Intersects with,5,10,No Gaps Identified,"PR.PS-04.03: The organization's activity logs and other security event logs are generated, reviewed, securely stored, and retained in accordance with data retention obligations and established standards.",PROTECT / Platform Security / Log Record Generation,PR.PS-04.03
NYDFS-15,500.6 Audit trail,500.6.a,"Each Covered Entity shall securely maintain systems that, to the extent applicable and based on its Risk Assessment:

(1) are designed to reconstruct material financial transactions sufficient to support normal operations and obligations of the Covered Entity; and
(2) include audit trails designed to detect and respond to Cybersecurity Events that have a reasonable likelihood of materially harming any material part of the normal operations of the Covered Entity.",Semantic,Intersects with,9,10,No Gaps Identified,"PR.PS-06.03: Functional, operational, resilience, and security requirements for system development and implementation projects are documented, agreed to by relevant stakeholders, and tracked and managed through development, testing, assurance, acceptance, and delivery.",PROTECT / Platform Security / Secure Systems Development Practices,PR.PS-06.03
NYDFS-16,500.6 Audit trail,500.6.b,Each  covered  entity  shall  maintain  records  required  by  paragraph  (a)(1)  of  this  section  for  not  fewer  than  five  years  and  shall  maintain  records  required  by  paragraph  (a)(2)  of  this  section  for  not  fewer  than  three  years,Semantic,Intersects with,6,10,No Gaps Identified,"ID.AM-08.03: The organization establishes policies, standards, and procedures for data governance, data management, and data retention consistent with its legal obligations and the value of data as an organizational asset.",IDENTIFY / Asset Management / Asset Life Cycle Management,ID.AM-08.03
NYDFS-16,500.6 Audit trail,500.6.b,Each  covered  entity  shall  maintain  records  required  by  paragraph  (a)(1)  of  this  section  for  not  fewer  than  five  years  and  shall  maintain  records  required  by  paragraph  (a)(2)  of  this  section  for  not  fewer  than  three  years,Semantic,Superset of,7,10,No Gaps Identified,"PR.PS-04.03: The organization's activity logs and other security event logs are generated, reviewed, securely stored, and retained in accordance with data retention obligations and established standards.",PROTECT / Platform Security / Log Record Generation,PR.PS-04.03
NYDFS-17,500.7 Access privileges and management,500.7.a,"As part of its cybersecurity program, based on the covered entity’s risk assessment each covered entity shall: 
(1) limit user access privileges to information systems that provide access to nonpublic information to only those necessary to perform the user’s job; 
(2) limit the number of privileged accounts and limit the access functions of privileged accounts to only those necessary to perform the user’s job;
(3) limit the use of privileged accounts to only when performing functions requiring the use of such access;
(4) periodically, but at a minimum annually, review all user access privileges and remove or disable accounts and access that are no longer necessary;
(5) disable or securely configure all protocols that permit remote control of devices; and
(6) promptly terminate access following departures.",Semantic,Superset of,8,9,"The Profile specifies a regular access privilege review to be done, but Section 500.7.a is more specific, requiring annual access privilege reviews.
","GV.RR-04.02: The organization establishes processes and controls to mitigate cyber risks related to employment termination, as permitted by law, to include the return or disposition of all organizational assets.","GOVERN / Roles, Responsibilities, and Authorities / Human Resource Practices",GV.RR-04.02
NYDFS-17,500.7 Access privileges and management,500.7.a,"As part of its cybersecurity program, based on the covered entity’s risk assessment each covered entity shall: 
(1) limit user access privileges to information systems that provide access to nonpublic information to only those necessary to perform the user’s job; 
(2) limit the number of privileged accounts and limit the access functions of privileged accounts to only those necessary to perform the user’s job;
(3) limit the use of privileged accounts to only when performing functions requiring the use of such access;
(4) periodically, but at a minimum annually, review all user access privileges and remove or disable accounts and access that are no longer necessary;
(5) disable or securely configure all protocols that permit remote control of devices; and
(6) promptly terminate access following departures.",Semantic,Superset of,9,9,"The Profile specifies a regular access privilege review to be done, but Section 500.7.a is more specific, requiring annual access privilege reviews.
","PR.AA-01.01: Identities and credentials are actively managed or automated for authorized devices and users (e.g., removal of default and factory passwords, password strength requirements, automatic revocation of credentials under defined conditions, regular asset owner access review, etc.).","PROTECT / Identity Management, Authentication, and Access Control / Identity & Credential Management",PR.AA-01.01
NYDFS-17,500.7 Access privileges and management,500.7.a,"As part of its cybersecurity program, based on the covered entity’s risk assessment each covered entity shall: 
(1) limit user access privileges to information systems that provide access to nonpublic information to only those necessary to perform the user’s job; 
(2) limit the number of privileged accounts and limit the access functions of privileged accounts to only those necessary to perform the user’s job;
(3) limit the use of privileged accounts to only when performing functions requiring the use of such access;
(4) periodically, but at a minimum annually, review all user access privileges and remove or disable accounts and access that are no longer necessary;
(5) disable or securely configure all protocols that permit remote control of devices; and
(6) promptly terminate access following departures.",Semantic,Superset of,8,9,"The Profile specifies a regular access privilege review to be done, but Section 500.7.a is more specific, requiring annual access privilege reviews.
","PR.AA-01.02: Physical and logical access to systems is permitted only for individuals who have a legitimate business requirement, have been authorized, and who are adequately trained and monitored.","PROTECT / Identity Management, Authentication, and Access Control / Identity & Credential Management",PR.AA-01.02
NYDFS-17,500.7 Access privileges and management,500.7.a,"As part of its cybersecurity program, based on the covered entity’s risk assessment each covered entity shall: 
(1) limit user access privileges to information systems that provide access to nonpublic information to only those necessary to perform the user’s job; 
(2) limit the number of privileged accounts and limit the access functions of privileged accounts to only those necessary to perform the user’s job;
(3) limit the use of privileged accounts to only when performing functions requiring the use of such access;
(4) periodically, but at a minimum annually, review all user access privileges and remove or disable accounts and access that are no longer necessary;
(5) disable or securely configure all protocols that permit remote control of devices; and
(6) promptly terminate access following departures.",Semantic,Superset of,7,9,"The Profile specifies a regular access privilege review to be done, but Section 500.7.a is more specific, requiring annual access privilege reviews.
","PR.AA-02.01: The organization authenticates identity, validates the authorization level of a user before granting access to its systems, limits the use of an account to a single individual, and attributes activities to the user in logs and transactions.","PROTECT / Identity Management, Authentication, and Access Control / Identity Binding to Credentials",PR.AA-02.01
NYDFS-17,500.7 Access privileges and management,500.7.a,"As part of its cybersecurity program, based on the covered entity’s risk assessment each covered entity shall: 
(1) limit user access privileges to information systems that provide access to nonpublic information to only those necessary to perform the user’s job; 
(2) limit the number of privileged accounts and limit the access functions of privileged accounts to only those necessary to perform the user’s job;
(3) limit the use of privileged accounts to only when performing functions requiring the use of such access;
(4) periodically, but at a minimum annually, review all user access privileges and remove or disable accounts and access that are no longer necessary;
(5) disable or securely configure all protocols that permit remote control of devices; and
(6) promptly terminate access following departures.",Semantic,Superset of,9,9,"The Profile specifies a regular access privilege review to be done, but Section 500.7.a is more specific, requiring annual access privilege reviews.
","PR.AA-03.02: Decisions to authorize user access to devices and other assets are made with consideration of: 
(1) Business need for the access;
(2) The type of data being accessed (e.g., customer PII, public data);
(3) The risk of the transaction (e.g., internal-to-internal, external-to-internal);
(4) The organization's level of trust for the accessing agent (e.g., external application, internal user); and
(5) The potential for harm.","PROTECT / Identity Management, Authentication, and Access Control / Authentication",PR.AA-03.02
NYDFS-17,500.7 Access privileges and management,500.7.a,"As part of its cybersecurity program, based on the covered entity’s risk assessment each covered entity shall: 
(1) limit user access privileges to information systems that provide access to nonpublic information to only those necessary to perform the user’s job; 
(2) limit the number of privileged accounts and limit the access functions of privileged accounts to only those necessary to perform the user’s job;
(3) limit the use of privileged accounts to only when performing functions requiring the use of such access;
(4) periodically, but at a minimum annually, review all user access privileges and remove or disable accounts and access that are no longer necessary;
(5) disable or securely configure all protocols that permit remote control of devices; and
(6) promptly terminate access following departures.",Semantic,Superset of,7,9,"The Profile specifies a regular access privilege review to be done, but Section 500.7.a is more specific, requiring annual access privilege reviews.
","PR.AA-04.01: Access credential and authorization mechanisms for internal systems and across security perimeters (e.g., leveraging directory services, directory synchronization, single sign-on, federated access, credential mapping, etc.) are designed to maintain security, integrity, and authenticity.","PROTECT / Identity Management, Authentication, and Access Control / Identity Assertions",PR.AA-04.01
NYDFS-17,500.7 Access privileges and management,500.7.a,"As part of its cybersecurity program, based on the covered entity’s risk assessment each covered entity shall: 
(1) limit user access privileges to information systems that provide access to nonpublic information to only those necessary to perform the user’s job; 
(2) limit the number of privileged accounts and limit the access functions of privileged accounts to only those necessary to perform the user’s job;
(3) limit the use of privileged accounts to only when performing functions requiring the use of such access;
(4) periodically, but at a minimum annually, review all user access privileges and remove or disable accounts and access that are no longer necessary;
(5) disable or securely configure all protocols that permit remote control of devices; and
(6) promptly terminate access following departures.",Semantic,Superset of,8,9,"The Profile specifies a regular access privilege review to be done, but Section 500.7.a is more specific, requiring annual access privilege reviews.
","PR.AA-05.01: The organization limits access privileges to the minimum necessary and with consideration of separation of duties (e.g., through role-based access control, asset owner access recertifications, etc.).","PROTECT / Identity Management, Authentication, and Access Control / Access Authorizations",PR.AA-05.01
