,"European Central Bank, ""Cyber resilience oversight expectations for financial market infrastructures"" (CROE) (Dec 2018)
to CRI Profile ver. 2.1 Mapping","European Central Bank, ""Cyber resilience oversight expectations for financial market infrastructures"" (CROE) (Dec 2018)
to CRI Profile ver. 2.1 Mapping","European Central Bank, ""Cyber resilience oversight expectations for financial market infrastructures"" (CROE) (Dec 2018)
to CRI Profile ver. 2.1 Mapping","European Central Bank, ""Cyber resilience oversight expectations for financial market infrastructures"" (CROE) (Dec 2018)
to CRI Profile ver. 2.1 Mapping","European Central Bank, ""Cyber resilience oversight expectations for financial market infrastructures"" (CROE) (Dec 2018)
to CRI Profile ver. 2.1 Mapping",,
2.3 Protection / 2.3.2.1 Protection of processes and assets / Logical and physical security management,2.3.2.1.29,"The FMI should establish policies, procedures and controls that address access privileges and how that access should be administered. The information system access should be evaluated regularly to identify unneeded access or privileges. Physical, logical and/or remote access to critical systems should be restricted and logged and unauthorised access should be blocked. Administration rights on systems should be strictly limited to operational needs. Procedures should be in place for a periodic review of all access rights.",Evolving,Full Summarily,"PR.IR-01.05: Remote access is carefully controlled (e.g., restricted to defined systems, access is actively managed (e.g., session timeouts, logging, forced disconnect, etc.), and encrypted connections with multi-factor authentication are used).",PROTECT / Technology Infrastructure Resilience / Logical Access Protections,PR.IR-01.05
2.3 Protection / 2.3.2.1 Protection of processes and assets / Logical and physical security management,2.3.2.1.29,"The FMI should establish policies, procedures and controls that address access privileges and how that access should be administered. The information system access should be evaluated regularly to identify unneeded access or privileges. Physical, logical and/or remote access to critical systems should be restricted and logged and unauthorised access should be blocked. Administration rights on systems should be strictly limited to operational needs. Procedures should be in place for a periodic review of all access rights.",Evolving,Full Summarily,"DE.CM-03.01: Account access, authentication, and authorization activities are logged and monitored, for both users and devices, to enforce authorized access.",DETECT / Continuous Monitoring / Personnel Activity Monitoring,DE.CM-03.01
2.3 Protection / 2.3.2.1 Protection of processes and assets / Logical and physical security management,2.3.2.1.29,"The FMI should establish policies, procedures and controls that address access privileges and how that access should be administered. The information system access should be evaluated regularly to identify unneeded access or privileges. Physical, logical and/or remote access to critical systems should be restricted and logged and unauthorised access should be blocked. Administration rights on systems should be strictly limited to operational needs. Procedures should be in place for a periodic review of all access rights.",Evolving,Full Summarily,"DE.CM-03.02: The organization's controls actively monitor personnel (both authorized and unauthorized) for access, authentication, usage, connections, devices, and anomalous behavior to rapidly detect potential cybersecurity events.",DETECT / Continuous Monitoring / Personnel Activity Monitoring,DE.CM-03.02
2.3 Protection / 2.3.2.1 Protection of processes and assets / Logical and physical security management,2.3.2.1.30,"The FMI should establish and administer user accounts in accordance with a role-based access control (RBAC) scheme that organises allowed information system access rights and privileges into roles. Role assignments should be reviewed regularly by appropriate staff (e.g. management and system owners, etc.) in order to take appropriate action when privileged role assignments are no longer appropriate.",Evolving,Full Summarily,"PR.AA-01.01: Identities and credentials are actively managed or automated for authorized devices and users (e.g., removal of default and factory passwords, password strength requirements, automatic revocation of credentials under defined conditions, regular asset owner access review, etc.).","PROTECT / Identity Management, Authentication, and Access Control / Identity & Credential Management",PR.AA-01.01
2.3 Protection / 2.3.2.1 Protection of processes and assets / Logical and physical security management,2.3.2.1.30,"The FMI should establish and administer user accounts in accordance with a role-based access control (RBAC) scheme that organises allowed information system access rights and privileges into roles. Role assignments should be reviewed regularly by appropriate staff (e.g. management and system owners, etc.) in order to take appropriate action when privileged role assignments are no longer appropriate.",Evolving,Full Summarily,"PR.AA-05.01: The organization limits access privileges to the minimum necessary and with consideration of separation of duties (e.g., through role-based access control, asset owner access recertifications, etc.).","PROTECT / Identity Management, Authentication, and Access Control / Access Authorizations",PR.AA-05.01
2.3 Protection / 2.3.2.1 Protection of processes and assets / Logical and physical security management,2.3.2.1.31,"The FMI should establish processes to manage the creation, modification or deletion of user access rights. Such actions should be submitted to and approved by appropriate staff, and should be recorded for review if necessary.",Evolving,Full,"PR.AA-01.01: Identities and credentials are actively managed or automated for authorized devices and users (e.g., removal of default and factory passwords, password strength requirements, automatic revocation of credentials under defined conditions, regular asset owner access review, etc.).","PROTECT / Identity Management, Authentication, and Access Control / Identity & Credential Management",PR.AA-01.01
2.3 Protection / 2.3.2.1 Protection of processes and assets / Logical and physical security management,2.3.2.1.32,"The FMI should implement specific procedures to allocate privileged access on a need-to-use or an event-by-event basis. Administrators should have two types of accounts: one for general purpose and one to carry out their administrative tasks. The use of privileged accounts should be tightly monitored and controlled. The use of generic accounts for administration purpose should be strictly limited and traced. Whenever possible, user and administrator accounts should be nominative and clearly identifiable (e.g. using dedicated taxonomy for usernames, which ensures that the positions and roles are not apparent).",Evolving,Full Summarily,"PR.AA-05.02: The organization institutes controls over privileged system access by strictly limiting and closely managing staff and services with elevated system entitlements (e.g., multi-factor authentication, dual accounts, privilege and time constraints, etc.)","PROTECT / Identity Management, Authentication, and Access Control / Access Authorizations",PR.AA-05.02
2.3 Protection / 2.3.2.1 Protection of processes and assets / Logical and physical security management,2.3.2.1.32,"The FMI should implement specific procedures to allocate privileged access on a need-to-use or an event-by-event basis. Administrators should have two types of accounts: one for general purpose and one to carry out their administrative tasks. The use of privileged accounts should be tightly monitored and controlled. The use of generic accounts for administration purpose should be strictly limited and traced. Whenever possible, user and administrator accounts should be nominative and clearly identifiable (e.g. using dedicated taxonomy for usernames, which ensures that the positions and roles are not apparent).",Evolving,Full Summarily,"DE.CM-03.03: The organization logs and reviews the activities of privileged users and accounts, and monitoring for anomalous behaviors is implemented.",DETECT / Continuous Monitoring / Personnel Activity Monitoring,DE.CM-03.03
2.3 Protection / 2.3.2.1 Protection of processes and assets / Logical and physical security management,2.3.2.1.33,"The FMI should have a dedicated policy that covers all the characteristics of its authentication mechanisms (e.g. password, smart cards and biometrics, etc.) and is in line with relevant standards (e.g. NIST-800-63). Default authentication settings (e.g. passwords and unnecessary default accounts) should be deactivated, changed or removed before systems, software and/or services go live.",Evolving,Full Summarily,"PR.AA-01.01: Identities and credentials are actively managed or automated for authorized devices and users (e.g., removal of default and factory passwords, password strength requirements, automatic revocation of credentials under defined conditions, regular asset owner access review, etc.).","PROTECT / Identity Management, Authentication, and Access Control / Identity & Credential Management",PR.AA-01.01
2.3 Protection / 2.3.2.1 Protection of processes and assets / Logical and physical security management,2.3.2.1.33,"The FMI should have a dedicated policy that covers all the characteristics of its authentication mechanisms (e.g. password, smart cards and biometrics, etc.) and is in line with relevant standards (e.g. NIST-800-63). Default authentication settings (e.g. passwords and unnecessary default accounts) should be deactivated, changed or removed before systems, software and/or services go live.",Evolving,Full Summarily,"PR.AA-03.01: Based on the risk level of a user access or a specific transaction, the organization defines and implements authentication requirements, which may include multi-factor or out-of-band authentication, and may adopt other real-time risk prevention or mitigation tactics.","PROTECT / Identity Management, Authentication, and Access Control / Authentication",PR.AA-03.01
2.3 Protection / 2.3.2.1 Protection of processes and assets / Logical and physical security management,2.3.2.1.33,"The FMI should have a dedicated policy that covers all the characteristics of its authentication mechanisms (e.g. password, smart cards and biometrics, etc.) and is in line with relevant standards (e.g. NIST-800-63). Default authentication settings (e.g. passwords and unnecessary default accounts) should be deactivated, changed or removed before systems, software and/or services go live.",Evolving,Full Summarily,"PR.PS-01.05: Acceptable encryption standards, methods, and management practices are established in accordance with defined industry standards.",PROTECT / Platform Security / Configuration Management,PR.PS-01.05
2.3 Protection / 2.3.2.1 Protection of processes and assets / Logical and physical security management,2.3.2.1.34,"The FMI should develop appropriate controls (e.g. encryption, authentication and access control) to protect data at rest, in use and in transit. The controls should be commensurate to the criticality and the sensitivity of the data held, used or being transmitted, as per the risk assessment conducted in the identification phase.",Evolving,Full Summarily,"PR.DS-01.01: Data-at-rest is protected commensurate with the criticality and sensitivity of the information and in alignment with the data classification and protection policy (e.g., through the use of encryption, authentication, access control, segregation, masking, tokenization, and file integrity monitoring).",PROTECT / Data Security / Protection of Data at Rest,PR.DS-01.01
2.3 Protection / 2.3.2.1 Protection of processes and assets / Logical and physical security management,2.3.2.1.34,"The FMI should develop appropriate controls (e.g. encryption, authentication and access control) to protect data at rest, in use and in transit. The controls should be commensurate to the criticality and the sensitivity of the data held, used or being transmitted, as per the risk assessment conducted in the identification phase.",Evolving,Full Summarily,"PR.DS-02.01: Data-in-transit is protected commensurate with the criticality and sensitivity of the information and in alignment with the data classification and protection policy (e.g., through the use of encryption, authentication, access control, masking, tokenization, and alternate transit paths).",PROTECT / Data Security / Protection of Data in Transit,PR.DS-02.01
2.3 Protection / 2.3.2.1 Protection of processes and assets / Logical and physical security management,2.3.2.1.34,"The FMI should develop appropriate controls (e.g. encryption, authentication and access control) to protect data at rest, in use and in transit. The controls should be commensurate to the criticality and the sensitivity of the data held, used or being transmitted, as per the risk assessment conducted in the identification phase.",Evolving,Full Summarily,"PR.DS-10.01: Data-in-use is protected commensurate with the criticality and sensitivity of the information and in alignment with the data classification and protection policy (e.g., through the use of encryption, authentication, access control, masking, tokenization, visual shielding, memory integrity monitoring, etc.)",PROTECT / Data Security / Protection of Data in Use,PR.DS-10.01
2.3 Protection / 2.3.2.1 Protection of processes and assets / Logical and physical security management,2.3.2.1.35,The FMI should have dedicated controls to prevent unauthorised access to cryptographic keys. Dedicated policy and procedures should be defined for the management of and access to cryptographic materials.,Evolving,Full,"PR.PS-01.07: Cryptographic keys and certificates are tracked, managed, and protected throughout their lifecycles, to include for compromise and revocation.",PROTECT / Platform Security / Configuration Management,PR.PS-01.07
2.3 Protection / 2.3.2.1 Protection of processes and assets / Logical and physical security management,2.3.2.1.36,The FMI should implement controls to prevent unauthorised privileged escalation (e.g. technical controls that trigger automated notification to appropriate staff in the case of changes to user access profiles).,Advancing,Full Summarily,"PR.AA-05.02: The organization institutes controls over privileged system access by strictly limiting and closely managing staff and services with elevated system entitlements (e.g., multi-factor authentication, dual accounts, privilege and time constraints, etc.)","PROTECT / Identity Management, Authentication, and Access Control / Access Authorizations",PR.AA-05.02
2.3 Protection / 2.3.2.1 Protection of processes and assets / Logical and physical security management,2.3.2.1.36,The FMI should implement controls to prevent unauthorised privileged escalation (e.g. technical controls that trigger automated notification to appropriate staff in the case of changes to user access profiles).,Advancing,Full Summarily,"PR.AA-05.03: The organization institutes controls over service account (i.e., accounts used by systems to access other systems) lifecycles to ensure strict security over creation, use, and termination; access credentials (e.g., no embedded passwords in code); frequent reviews of account ownership; visibility for unauthorized use; and hardening against malicious insider use.","PROTECT / Identity Management, Authentication, and Access Control / Access Authorizations",PR.AA-05.03
2.3 Protection / 2.3.2.1 Protection of processes and assets / Logical and physical security management,2.3.2.1.36,The FMI should implement controls to prevent unauthorised privileged escalation (e.g. technical controls that trigger automated notification to appropriate staff in the case of changes to user access profiles).,Advancing,Full Summarily,"DE.CM-03.02: The organization's controls actively monitor personnel (both authorized and unauthorized) for access, authentication, usage, connections, devices, and anomalous behavior to rapidly detect potential cybersecurity events.",DETECT / Continuous Monitoring / Personnel Activity Monitoring,DE.CM-03.02
2.3 Protection / 2.3.2.1 Protection of processes and assets / Logical and physical security management,2.3.2.1.37,"The FMI should encrypt data as a result of its data classification and risk assessment processes. The FMI should also use encryption and general cryptographic controls in line with recognised standards and processes, which cover aspects such as algorithm, key length and key generation, etc.",Advancing,Full Summarily,"PR.DS-01.01: Data-at-rest is protected commensurate with the criticality and sensitivity of the information and in alignment with the data classification and protection policy (e.g., through the use of encryption, authentication, access control, segregation, masking, tokenization, and file integrity monitoring).",PROTECT / Data Security / Protection of Data at Rest,PR.DS-01.01
2.3 Protection / 2.3.2.1 Protection of processes and assets / Logical and physical security management,2.3.2.1.37,"The FMI should encrypt data as a result of its data classification and risk assessment processes. The FMI should also use encryption and general cryptographic controls in line with recognised standards and processes, which cover aspects such as algorithm, key length and key generation, etc.",Advancing,Full Summarily,"PR.DS-02.01: Data-in-transit is protected commensurate with the criticality and sensitivity of the information and in alignment with the data classification and protection policy (e.g., through the use of encryption, authentication, access control, masking, tokenization, and alternate transit paths).",PROTECT / Data Security / Protection of Data in Transit,PR.DS-02.01
2.3 Protection / 2.3.2.1 Protection of processes and assets / Logical and physical security management,2.3.2.1.37,"The FMI should encrypt data as a result of its data classification and risk assessment processes. The FMI should also use encryption and general cryptographic controls in line with recognised standards and processes, which cover aspects such as algorithm, key length and key generation, etc.",Advancing,Full Summarily,"PR.DS-10.01: Data-in-use is protected commensurate with the criticality and sensitivity of the information and in alignment with the data classification and protection policy (e.g., through the use of encryption, authentication, access control, masking, tokenization, visual shielding, memory integrity monitoring, etc.)",PROTECT / Data Security / Protection of Data in Use,PR.DS-10.01
2.3 Protection / 2.3.2.1 Protection of processes and assets / Logical and physical security management,2.3.2.1.37,"The FMI should encrypt data as a result of its data classification and risk assessment processes. The FMI should also use encryption and general cryptographic controls in line with recognised standards and processes, which cover aspects such as algorithm, key length and key generation, etc.",Advancing,Full Summarily,"PR.PS-01.05: Acceptable encryption standards, methods, and management practices are established in accordance with defined industry standards.",PROTECT / Platform Security / Configuration Management,PR.PS-01.05
2.3 Protection / 2.3.2.1 Protection of processes and assets / Logical and physical security management,2.3.2.1.37,"The FMI should encrypt data as a result of its data classification and risk assessment processes. The FMI should also use encryption and general cryptographic controls in line with recognised standards and processes, which cover aspects such as algorithm, key length and key generation, etc.",Advancing,Full Summarily,PR.PS-01.06: The organization employs defined encryption methods and management practices commensurate with the criticality of the information being protected and the inherent risk of the technical environment where used.,PROTECT / Platform Security / Configuration Management,PR.PS-01.06
2.3 Protection / 2.3.2.1 Protection of processes and assets / Logical and physical security management,2.3.2.1.38,"The FMI should implement automated mechanisms to support the management of information system access accounts. This might include implementing security controls embedded in the information system, allowing it to automatically disable and/or remove inactive, temporary and emergency accounts after a predefined period of time.",Advancing,Full,"PR.AA-05.03: The organization institutes controls over service account (i.e., accounts used by systems to access other systems) lifecycles to ensure strict security over creation, use, and termination; access credentials (e.g., no embedded passwords in code); frequent reviews of account ownership; visibility for unauthorized use; and hardening against malicious insider use.","PROTECT / Identity Management, Authentication, and Access Control / Access Authorizations",PR.AA-05.03
2.3 Protection / 2.3.2.1 Protection of processes and assets / Logical and physical security management,2.3.2.1.39,"The FMI should establish strong governance on identity and access management enforced by the use of dedicated tools such as Identity and Access Management (IAM), in an integrated way, ensuring all systems update each other consistently.",Innovating,Full,"PR.AA-01.01: Identities and credentials are actively managed or automated for authorized devices and users (e.g., removal of default and factory passwords, password strength requirements, automatic revocation of credentials under defined conditions, regular asset owner access review, etc.).","PROTECT / Identity Management, Authentication, and Access Control / Identity & Credential Management",PR.AA-01.01
2.3 Protection / 2.3.2.1 Protection of processes and assets / Logical and physical security management,2.3.2.1.40,The FMI should seek to use an attribute-based access control (ABAC) paradigm that allows it to manage access to its IT environment contextually and dynamically.,Innovating,Partial,"PR.AA-01.01: Identities and credentials are actively managed or automated for authorized devices and users (e.g., removal of default and factory passwords, password strength requirements, automatic revocation of credentials under defined conditions, regular asset owner access review, etc.).","PROTECT / Identity Management, Authentication, and Access Control / Identity & Credential Management",PR.AA-01.01
2.3 Protection / 2.3.2.1 Protection of processes and assets / Logical and physical security management,2.3.2.1.40,The FMI should seek to use an attribute-based access control (ABAC) paradigm that allows it to manage access to its IT environment contextually and dynamically.,Innovating,Partial,"PR.AA-02.01: The organization authenticates identity, validates the authorization level of a user before granting access to its systems, limits the use of an account to a single individual, and attributes activities to the user in logs and transactions.","PROTECT / Identity Management, Authentication, and Access Control / Identity Binding to Credentials",PR.AA-02.01
2.3 Protection / 2.3.2.1 Protection of processes and assets / Logical and physical security management,2.3.2.1.41,"The FMI should employ automated mechanisms that allow account creation, modification, enabling, disabling and removal actions to be monitored and audited continuously, in order to notify appropriate staff when potential malicious behaviour or damage is detected. The FMI should implement adaptive access controls to prevent potential malicious behaviour or damage.",Innovating,Full Summarily,"DE.CM-03.01: Account access, authentication, and authorization activities are logged and monitored, for both users and devices, to enforce authorized access.",DETECT / Continuous Monitoring / Personnel Activity Monitoring,DE.CM-03.01
2.3 Protection / 2.3.2.1 Protection of processes and assets / Logical and physical security management,2.3.2.1.41,"The FMI should employ automated mechanisms that allow account creation, modification, enabling, disabling and removal actions to be monitored and audited continuously, in order to notify appropriate staff when potential malicious behaviour or damage is detected. The FMI should implement adaptive access controls to prevent potential malicious behaviour or damage.",Innovating,Full Summarily,"DE.CM-03.02: The organization's controls actively monitor personnel (both authorized and unauthorized) for access, authentication, usage, connections, devices, and anomalous behavior to rapidly detect potential cybersecurity events.",DETECT / Continuous Monitoring / Personnel Activity Monitoring,DE.CM-03.02
2.3 Protection / 2.3.2.1 Protection of processes and assets / Logical and physical security management,2.3.2.1.41,"The FMI should employ automated mechanisms that allow account creation, modification, enabling, disabling and removal actions to be monitored and audited continuously, in order to notify appropriate staff when potential malicious behaviour or damage is detected. The FMI should implement adaptive access controls to prevent potential malicious behaviour or damage.",Innovating,Full Summarily,"DE.CM-03.03: The organization logs and reviews the activities of privileged users and accounts, and monitoring for anomalous behaviors is implemented.",DETECT / Continuous Monitoring / Personnel Activity Monitoring,DE.CM-03.03
2.3 Protection / 2.3.2.1 Protection of processes and assets / Change and patch management,2.3.2.1.42,"The FMI should have policies, procedures and controls in place for change management, which should include criteria for prioritising and classifying the changes (e.g. normal vs. emergency change). Prior to any change, the FMI should ensure that the change request is:
(a) reviewed to ensure that it meets FMI business needs;
(b) categorised and assessed for identifying potential risks and to ensure that it will not negatively impact confidentiality, integrity and availability, as well as the FMI’s systems and data;
(c) approved before it is implemented by the appropriate level of management.",Evolving,Full Summarily,"ID.RA-07.01: The organization defines and implements change management standards and procedures, to include emergency change procedures, that explicitly address risk identified both prior to and during a change, any new risk created post-change, as well as the reviewing and approving authorities (e.g., change advisory boards).",IDENTIFY / Risk Assessment / Change & Exception Management,ID.RA-07.01
2.3 Protection / 2.3.2.1 Protection of processes and assets / Change and patch management,2.3.2.1.42,"The FMI should have policies, procedures and controls in place for change management, which should include criteria for prioritising and classifying the changes (e.g. normal vs. emergency change). Prior to any change, the FMI should ensure that the change request is:
(a) reviewed to ensure that it meets FMI business needs;
(b) categorised and assessed for identifying potential risks and to ensure that it will not negatively impact confidentiality, integrity and availability, as well as the FMI’s systems and data;
(c) approved before it is implemented by the appropriate level of management.",Evolving,Full Summarily,"ID.RA-07.03: Technology projects and system change processes ensure that requisite changes in security posture, data classification and flows, architecture, support documentation, business processes, and business resilience plans are addressed.",IDENTIFY / Risk Assessment / Change & Exception Management,ID.RA-07.03
2.3 Protection / 2.3.2.1 Protection of processes and assets / Change and patch management,2.3.2.1.43,"The FMI should ensure that the cybersecurity team is involved throughout the life cycle of the change management process, as appropriate.",Evolving,Partial,"ID.RA-07.01: The organization defines and implements change management standards and procedures, to include emergency change procedures, that explicitly address risk identified both prior to and during a change, any new risk created post-change, as well as the reviewing and approving authorities (e.g., change advisory boards).",IDENTIFY / Risk Assessment / Change & Exception Management,ID.RA-07.01
2.3 Protection / 2.3.2.1 Protection of processes and assets / Change and patch management,2.3.2.1.44,"The FMI should put necessary procedures in place (e.g. code review and unit testing, etc.), guaranteeing that changes are implemented correctly and efficiently. The FMI should employ best practices when implementing changes.",Evolving,Full Summarily,"PR.PS-06.01: The organization implements Secure Systems Development Lifecycle processes for in-house software design, configuration, and development, employing best practices from secure-by-design methodologies (e.g., secure coding, code review, application security testing, etc.) during all phases of both traditional and agile projects.",PROTECT / Platform Security / Secure Systems Development Practices,PR.PS-06.01
2.3 Protection / 2.3.2.1 Protection of processes and assets / Change and patch management,2.3.2.1.44,"The FMI should put necessary procedures in place (e.g. code review and unit testing, etc.), guaranteeing that changes are implemented correctly and efficiently. The FMI should employ best practices when implementing changes.",Evolving,Full Summarily,"PR.PS-06.03: Functional, operational, resilience, and security requirements for system development and implementation projects are documented, agreed to by relevant stakeholders, and tracked and managed through development, testing, assurance, acceptance, and delivery.",PROTECT / Platform Security / Secure Systems Development Practices,PR.PS-06.03
2.3 Protection / 2.3.2.1 Protection of processes and assets / Change and patch management,2.3.2.1.44,"The FMI should put necessary procedures in place (e.g. code review and unit testing, etc.), guaranteeing that changes are implemented correctly and efficiently. The FMI should employ best practices when implementing changes.",Evolving,Full Summarily,"PR.PS-06.04: Systems development and testing tools, processes, and environments employ security mechanisms to protect and improve the integrity and confidentiality of both the SDLC process and the resulting product (e.g., secured code repositories, segmented environments, automated builds, etc.)",PROTECT / Platform Security / Secure Systems Development Practices,PR.PS-06.04
2.3 Protection / 2.3.2.1 Protection of processes and assets / Change and patch management,2.3.2.1.44,"The FMI should put necessary procedures in place (e.g. code review and unit testing, etc.), guaranteeing that changes are implemented correctly and efficiently. The FMI should employ best practices when implementing changes.",Evolving,Full Summarily,"PR.PS-06.05: A software security testing and validation strategy is developed and implemented in the development lifecycle of all software projects, defining testing requirements and plans; performing/automating testing, vulnerability scanning, and migration activities; and supporting code integrity verification (e.g., using digital signatures).",PROTECT / Platform Security / Secure Systems Development Practices,PR.PS-06.05
2.3 Protection / 2.3.2.1 Protection of processes and assets / Change and patch management,2.3.2.1.44,"The FMI should put necessary procedures in place (e.g. code review and unit testing, etc.), guaranteeing that changes are implemented correctly and efficiently. The FMI should employ best practices when implementing changes.",Evolving,Full Summarily,"PR.PS-06.06: The system development lifecycle remediates known critical vulnerabilities, and critical vulnerabilities discovered during testing, prior to production deployment.",PROTECT / Platform Security / Secure Systems Development Practices,PR.PS-06.06
2.3 Protection / 2.3.2.1 Protection of processes and assets / Change and patch management,2.3.2.1.45,"The FMI should test, validate and document changes to the information system before implementing them into production (this might include integration tests, non-regression tests and user acceptance tests, etc.). The changes to information systems include, but are not limited to, modifying hardware, software or firmware components and system and security configuration settings. The FMI should ensure that processes are in place to schedule change implementation and communicate to those impacted prior to implementation, including consulting them when necessary.",Evolving,Full,"ID.RA-07.03: Technology projects and system change processes ensure that requisite changes in security posture, data classification and flows, architecture, support documentation, business processes, and business resilience plans are addressed.",IDENTIFY / Risk Assessment / Change & Exception Management,ID.RA-07.03
2.3 Protection / 2.3.2.1 Protection of processes and assets / Change and patch management,2.3.2.1.46,"The FMI should have processes to identify, assess and approve genuine emergency changes. Post-implementation reviews should be conducted to validate that emergency procedures were appropriately followed and to determine the impact of the emergency change.",Evolving,Full,"ID.RA-07.01: The organization defines and implements change management standards and procedures, to include emergency change procedures, that explicitly address risk identified both prior to and during a change, any new risk created post-change, as well as the reviewing and approving authorities (e.g., change advisory boards).",IDENTIFY / Risk Assessment / Change & Exception Management,ID.RA-07.01
2.3 Protection / 2.3.2.1 Protection of processes and assets / Change and patch management,2.3.2.1.47,"The FMI should have a comprehensive patch management policy and processes that include: maintaining current knowledge of available patches; identifying appropriate patches for particular systems and analysing impacts if installed; assuring that patches are installed properly (e.g. by applying the four-eyes principle) and tested prior to and monitored after installation; and documenting all associated procedures, such as specific configurations required. The policies, procedures and controls must make use of the information AIM process described in the identification phase that provides information on the installed programs and binaries.",Evolving,Full Summarily,"PR.PS-01.08: End-user mobile or personal computing devices accessing the organization's network employ mechanisms to protect network, application, and data integrity, such as ""Mobile Device Management (MDM)"" and ""Mobile Application Management (MAM)"" technologies, device fingerprinting, storage containerization and encryption, integrity scanning, automated patch application, remote wipe, and data leakage protections.",PROTECT / Platform Security / Configuration Management,PR.PS-01.08
2.3 Protection / 2.3.2.1 Protection of processes and assets / Change and patch management,2.3.2.1.47,"The FMI should have a comprehensive patch management policy and processes that include: maintaining current knowledge of available patches; identifying appropriate patches for particular systems and analysing impacts if installed; assuring that patches are installed properly (e.g. by applying the four-eyes principle) and tested prior to and monitored after installation; and documenting all associated procedures, such as specific configurations required. The policies, procedures and controls must make use of the information AIM process described in the identification phase that provides information on the installed programs and binaries.",Evolving,Full Summarily,"PR.PS-02.01: The organization defines and implements controls to identify patches to technology assets, assess patch criticality and risk, test patches, and apply patches within risk/criticality-based target time frames.",PROTECT / Platform Security / Software Maintenance & Replacement,PR.PS-02.01
2.3 Protection / 2.3.2.1 Protection of processes and assets / Change and patch management,2.3.2.1.47,"The FMI should have a comprehensive patch management policy and processes that include: maintaining current knowledge of available patches; identifying appropriate patches for particular systems and analysing impacts if installed; assuring that patches are installed properly (e.g. by applying the four-eyes principle) and tested prior to and monitored after installation; and documenting all associated procedures, such as specific configurations required. The policies, procedures and controls must make use of the information AIM process described in the identification phase that provides information on the installed programs and binaries.",Evolving,Full Summarily,PR.PS-02.02: The organization establishes standards and practices for ongoing application management to ensure that applications remain secure and continue to meet organizational needs.,PROTECT / Platform Security / Software Maintenance & Replacement,PR.PS-02.02
2.3 Protection / 2.3.2.1 Protection of processes and assets / Change and patch management,2.3.2.1.47,"The FMI should have a comprehensive patch management policy and processes that include: maintaining current knowledge of available patches; identifying appropriate patches for particular systems and analysing impacts if installed; assuring that patches are installed properly (e.g. by applying the four-eyes principle) and tested prior to and monitored after installation; and documenting all associated procedures, such as specific configurations required. The policies, procedures and controls must make use of the information AIM process described in the identification phase that provides information on the installed programs and binaries.",Evolving,Full Summarily,"PR.PS-06.05: A software security testing and validation strategy is developed and implemented in the development lifecycle of all software projects, defining testing requirements and plans; performing/automating testing, vulnerability scanning, and migration activities; and supporting code integrity verification (e.g., using digital signatures).",PROTECT / Platform Security / Secure Systems Development Practices,PR.PS-06.05
2.3 Protection / 2.3.2.1 Protection of processes and assets / Change and patch management,2.3.2.1.48,The FMI should consider using standardised configuration of IT resources to facilitate its patch management process.,Evolving,Full,"PR.PS-01.01: The organization establishes and maintains standard system security configuration baselines, informed by industry standards and hardening guidelines, to facilitate the consistent application of security settings, configurations, and versions.",PROTECT / Platform Security / Configuration Management,PR.PS-01.01
2.3 Protection / 2.3.2.1 Protection of processes and assets / Change and patch management,2.3.2.1.49,The FMI should ensure that the installations of new patches have prior approval from the appropriate level of management.,Evolving,Full Summarily,"ID.RA-07.01: The organization defines and implements change management standards and procedures, to include emergency change procedures, that explicitly address risk identified both prior to and during a change, any new risk created post-change, as well as the reviewing and approving authorities (e.g., change advisory boards).",IDENTIFY / Risk Assessment / Change & Exception Management,ID.RA-07.01
2.3 Protection / 2.3.2.1 Protection of processes and assets / Change and patch management,2.3.2.1.49,The FMI should ensure that the installations of new patches have prior approval from the appropriate level of management.,Evolving,Full Summarily,"PR.PS-02.01: The organization defines and implements controls to identify patches to technology assets, assess patch criticality and risk, test patches, and apply patches within risk/criticality-based target time frames.",PROTECT / Platform Security / Software Maintenance & Replacement,PR.PS-02.01
2.3 Protection / 2.3.2.1 Protection of processes and assets / Change and patch management,2.3.2.1.50,"The FMI should have in place necessary procedures for recovering quickly when changes or patches fail. Any changes to the production environment must have an associated fall-back plan, when applicable.",Evolving,Full,"ID.RA-07.01: The organization defines and implements change management standards and procedures, to include emergency change procedures, that explicitly address risk identified both prior to and during a change, any new risk created post-change, as well as the reviewing and approving authorities (e.g., change advisory boards).",IDENTIFY / Risk Assessment / Change & Exception Management,ID.RA-07.01
2.3 Protection / 2.3.2.1 Protection of processes and assets / Change and patch management,2.3.2.1.51,The FMI should have policies and procedures to prohibit changes and patch installation to the information system that have not been pre-approved.,Evolving,Full,"DE.CM-09.03: The organization has policies, procedures, and tools in place to monitor for, detect, and block the use of unsupported or unauthorized software, hardware, or configuration changes.","DETECT / Continuous Monitoring / Hardware, Software, & Data Monitoring",DE.CM-09.03
2.3 Protection / 2.3.2.1 Protection of processes and assets / Change and patch management,2.3.2.1.52,The FMI should establish its change management process based on well-established and industry-recognised standards and best practices (e.g. the information technology infrastructure library).,Advancing,Full Summarily,"GV.RM-01.02: Technology and cybersecurity risk management strategies and frameworks are informed by applicable international, national, and financial services industry standards and guidelines.",GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01.02
